word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
being,1,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
believe,1,,1.902e-04,42,1780,2.221e-04,1.796e-04,1.059
bench,2,,1.656e-05,42,1780,1.500e-05,1.511e-05,1.096
beneficence,1,,4.305e-06,39,1781,3.824e-06,2.291e-06,1.879
best,1,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
better,1,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
between,3,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
bill,1,,4.175e-04,42,1780,4.400e-04,4.801e-04,0.870
bland,2,,4.246e-06,41,1780,3.937e-06,3.865e-06,1.098
blind,1,,2.501e-05,42,1780,3.013e-05,2.994e-05,0.835
blood,1,,1.489e-04,42,1780,1.612e-04,1.369e-04,1.088
body,1,,2.979e-04,42,1780,3.004e-04,2.486e-04,1.198
born,1,,8.710e-05,42,1780,9.099e-05,1.220e-04,0.714
borrows,1,,9.880e-07,37,1781,9.480e-07,7.659e-07,1.290
both,1,,4.471e-04,42,1780,4.405e-04,4.075e-04,1.097
botta's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
bound,1,,9.291e-05,42,1780,1.021e-04,9.162e-05,1.014
bringing,1,,3.497e-05,42,1780,3.612e-05,3.604e-05,0.970
britain,3,proper,1.357e-04,42,1780,8.431e-05,5.495e-05,2.469
british,3,proper,2.117e-04,42,1780,1.523e-04,1.142e-04,1.853
broke,1,,2.964e-05,42,1780,3.070e-05,3.148e-05,0.941
brother,1,,1.141e-04,42,1780,1.181e-04,1.015e-04,1.124
bully,1,,6.152e-07,31,1781,8.304e-07,1.260e-06,0.488
busi,1,,8.284e-07,37,1780,8.260e-07,9.228e-07,0.898
but,18,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
by,18,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
byers,1,proper,1.775e-07,25,1785,4.584e-07,7.818e-07,0.227
cabinet,2,proper,1.309e-05,42,1780,2.074e-05,2.101e-05,0.623
calamitous,1,,2.248e-06,40,1780,1.918e-06,7.659e-07,2.935
calhoun,1,,2.339e-06,29,1788,1.021e-05,7.125e-06,0.328
called,2,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
can,1,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
candidate,2,,1.234e-05,41,1780,1.425e-05,1.758e-05,0.702
cantons,1,proper,3.497e-06,38,1781,2.450e-06,1.858e-06,1.883
capacity,2,,4.143e-05,42,1780,3.952e-05,5.432e-05,0.763
cape,1,proper,3.668e-05,42,1780,3.050e-05,2.760e-05,1.329
capture,2,,2.551e-05,42,1780,1.466e-05,1.919e-05,1.329
care,1,,1.740e-04,42,1780,1.460e-04,1.549e-04,1.123
carroll,1,proper,3.794e-06,38,1782,5.853e-06,8.407e-06,0.451
carrollton,1,proper,2.580e-07,30,1783,6.635e-07,1.078e-06,0.239
case,4,,4.775e-04,42,1780,5.548e-04,6.424e-04,0.743
cases,5,,2.052e-04,42,1780,2.619e-04,3.449e-04,0.595
cast,1,,6.677e-05,42,1780,7.866e-05,7.132e-05,0.936
cause,1,,3.338e-04,42,1780,3.390e-04,2.669e-04,1.250
cautious,1,,1.017e-05,42,1780,9.775e-06,6.335e-06,1.605
cement,1,,5.908e-06,42,1780,5.785e-06,1.256e-05,0.470
certain,1,,3.609e-04,42,1780,3.010e-04,3.148e-04,1.147
certainly,2,,1.162e-04,42,1780,1.146e-04,1.055e-04,1.101
ces,1,,4.021e-06,41,1780,2.941e-06,1.328e-06,3.029
cession,1,,9.614e-06,41,1780,9.736e-06,4.863e-06,1.977
cessions,2,,1.176e-06,40,1780,1.429e-06,5.106e-07,2.303
champion,1,,6.661e-06,42,1780,6.385e-06,7.458e-06,0.893
chaplain,2,,1.035e-05,42,1780,7.905e-06,9.627e-06,1.075
character,2,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
charles,1,proper,1.141e-04,42,1780,1.092e-04,1.433e-04,0.797
charleston,2,proper,1.719e-05,42,1780,1.943e-05,1.939e-05,0.886
cherokee,1,proper,3.626e-06,41,1781,8.950e-06,5.491e-06,0.660
cherokees,1,proper,2.611e-06,37,1782,7.946e-06,2.690e-06,0.971
chief,1,proper,1.786e-04,42,1780,1.425e-04,1.575e-04,1.134
child,1,,1.104e-04,42,1780,1.287e-04,1.500e-04,0.736
chosen,2,,8.599e-05,42,1780,6.089e-05,4.845e-05,1.775
christians,1,proper,6.332e-05,41,1780,7.510e-05,3.178e-05,1.993
chronicle,1,proper,5.601e-06,41,1780,6.741e-06,7.146e-06,0.784
ciprocal,1,,2.794e-08,21,1789,2.209e-08,1.009e-08,2.770
circum,1,,2.464e-06,42,1780,2.062e-06,1.217e-06,2.024
citizens,1,,1.294e-04,42,1780,1.242e-04,1.047e-04,1.236
city,1,,3.057e-04,42,1780,3.389e-04,5.155e-04,0.593
civilized,1,,1.556e-05,42,1780,2.324e-05,1.944e-05,0.800
claim,1,,9.127e-05,42,1780,1.221e-04,1.695e-04,0.539
claimants,2,,7.330e-06,40,1781,8.844e-06,9.623e-06,0.762
claims,1,,7.808e-05,42,1780,1.048e-04,1.177e-04,0.663
clark,3,,1.867e-05,42,1780,2.343e-05,3.936e-05,0.474
clerk,1,,9.467e-05,42,1780,8.849e-05,1.180e-04,0.802
cluded,1,,3.919e-07,32,1787,4.761e-07,3.050e-07,1.285
co,1,,4.209e-05,42,1780,4.797e-05,7.224e-05,0.583
coincidence,1,,3.748e-06,40,1780,5.090e-06,4.207e-06,0.891
colors,1,,4.656e-06,40,1780,1.374e-05,2.967e-05,0.157
commencement,1,,3.168e-05,42,1780,4.547e-05,3.217e-05,0.985
commissioners,1,proper,1.104e-04,42,1780,1.022e-04,9.522e-05,1.159
committee,1,proper,4.974e-04,42,1780,4.258e-04,4.265e-04,1.166
common,2,,3.618e-04,42,1780,3.371e-04,2.879e-04,1.257
communica,1,,3.707e-07,32,1785,3.806e-07,2.163e-07,1.714
communication,1,,9.753e-05,42,1780,6.159e-05,5.328e-05,1.831
communications,1,,2.465e-05,42,1780,1.959e-05,1.679e-05,1.468
commutation,1,,3.834e-06,42,1780,3.551e-06,3.097e-06,1.238
commute,1,,8.007e-07,35,1782,5.052e-07,4.481e-07,1.787
compact,1,,1.715e-05,42,1780,2.184e-05,1.688e-05,1.016
con,1,,7.159e-05,42,1780,4.550e-05,3.716e-05,1.926
conceive,1,,4.776e-05,42,1780,3.653e-05,1.830e-05,2.611
concert,2,,1.177e-05,42,1780,1.194e-05,1.004e-05,1.173
concerted,1,,5.772e-06,42,1780,3.694e-06,2.024e-06,2.851
concession,2,,5.390e-06,41,1780,7.468e-06,6.913e-06,0.780
concessions,1,,5.946e-06,41,1780,5.218e-06,5.041e-06,1.179
conciliate,1,,3.295e-06,41,1780,3.515e-06,1.857e-06,1.774
concluded,1,,4.767e-05,42,1780,4.434e-05,2.956e-05,1.613
conference,1,,2.937e-05,42,1780,3.095e-05,4.423e-05,0.664
confidence,1,,7.733e-05,42,1780,8.773e-05,5.449e-05,1.419
confinement,1,,1.613e-05,42,1780,1.504e-05,9.872e-06,1.634
confirmed,1,,4.359e-05,42,1780,4.023e-05,3.107e-05,1.403
congratulation,1,,1.812e-06,42,1780,1.802e-06,1.743e-06,1.039
congress,1,proper,3.397e-04,42,1780,2.637e-04,2.075e-04,1.637
conscious,1,,1.966e-05,42,1780,2.258e-05,2.155e-05,0.913
consequence,1,,1.483e-04,42,1780,1.353e-04,7.607e-05,1.950
consequences,1,,5.686e-05,42,1780,5.404e-05,2.883e-05,1.972
considered,3,,1.998e-04,42,1780,2.013e-04,1.523e-04,1.312
consist,1,,3.594e-05,42,1780,3.218e-05,2.698e-05,1.332
consular,1,proper,2.963e-06,40,1780,2.978e-06,8.776e-06,0.338
consultation,1,,5.344e-06,41,1780,5.566e-06,7.462e-06,0.716
contrast,1,,1.120e-05,42,1780,1.869e-05,2.001e-05,0.560
contribute,1,,2.351e-05,42,1780,1.948e-05,1.344e-05,1.749
contributed,1,,2.087e-05,42,1780,2.182e-05,2.105e-05,0.991
conversation,2,,7.259e-05,42,1780,6.946e-05,4.670e-05,1.554
convicted,2,,2.670e-05,42,1780,1.534e-05,1.433e-05,1.863
convicts,1,,4.355e-06,41,1780,8.646e-06,7.315e-06,0.595
convinced,1,,4.552e-05,42,1780,3.902e-05,2.300e-05,1.979
corps,1,proper,6.426e-05,42,1780,2.610e-05,4.674e-05,1.375
cost,1,,4.829e-05,42,1780,7.291e-05,1.345e-04,0.359
could,5,,7.429e-04,42,1780,8.480e-04,7.745e-04,0.959
countries,1,,8.664e-05,42,1780,7.780e-05,6.254e-05,1.385
country,1,,5.606e-04,42,1780,6.018e-04,4.454e-04,1.259
counts,1,,7.775e-06,42,1780,9.325e-06,8.557e-06,0.909
court,1,proper,7.432e-04,42,1780,5.858e-04,6.320e-04,1.176
crawford,6,,6.534e-06,40,1780,1.041e-05,1.187e-05,0.551
crawford's,2,proper,0.000e+00,0,,0.000e+00,0.000e+00,
creek,1,proper,4.121e-05,42,1780,4.099e-05,5.498e-05,0.749
creeks,1,proper,7.074e-06,42,1780,7.357e-06,5.252e-06,1.347
culprit,1,,1.493e-06,37,1781,2.327e-06,1.676e-06,0.891
darker,1,,3.742e-06,40,1780,5.201e-06,7.583e-06,0.494
daughter,2,,6.848e-05,42,1780,7.774e-05,7.548e-05,0.907
day,4,,7.668e-04,42,1780,7.343e-04,7.330e-04,1.046
deadly,2,,6.752e-06,42,1780,1.074e-05,1.049e-05,0.644
deaf,1,,7.510e-06,41,1780,1.166e-05,1.425e-05,0.527
death,3,,3.328e-04,42,1780,3.467e-04,2.750e-04,1.210
debasement,1,,7.218e-07,33,1782,1.088e-06,6.179e-07,1.168
decided,1,,4.402e-05,42,1780,7.916e-05,8.510e-05,0.517
decision,1,,4.707e-05,42,1780,6.957e-05,6.932e-05,0.679
declared,1,,1.040e-04,42,1780,9.022e-05,7.560e-05,1.376
deeply,1,,3.113e-05,42,1780,4.654e-05,3.238e-05,0.961
deficient,1,,1.356e-05,42,1780,1.275e-05,9.135e-06,1.485
deliberately,1,,4.899e-06,42,1780,7.050e-06,6.750e-06,0.726
democracy,1,,8.501e-06,38,1780,9.079e-06,9.200e-06,0.924
dence,1,,4.303e-06,42,1780,3.516e-06,2.289e-06,1.880
denomination,1,,1.526e-05,42,1780,1.507e-05,8.541e-06,1.787
dent's,1,,0.000e+00,0,,0.000e+00,0.000e+00,
department,1,proper,1.456e-04,42,1780,1.141e-04,2.045e-04,0.712
dependence,1,,1.632e-05,42,1780,1.480e-05,8.761e-06,1.863
des,1,,2.181e-05,42,1780,2.505e-05,3.054e-05,0.714
desire,1,,1.172e-04,42,1780,1.253e-04,1.084e-04,1.082
determination,1,,4.136e-05,42,1780,3.407e-05,3.122e-05,1.325
determined,2,,1.202e-04,42,1780,1.047e-04,9.319e-05,1.290
