word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
believing,1,,1.836e-05,42,1780,2.442e-05,1.797e-05,1.022
belonging,1,,7.506e-05,42,1780,5.525e-05,5.146e-05,1.459
below,6,,8.516e-05,42,1780,9.911e-05,1.386e-04,0.614
bend,1,proper,1.197e-05,42,1780,1.137e-05,1.352e-05,0.886
best,1,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
between,4,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
bigdry,1,proper,2.532e-09,2,1814,5.803e-11,6.631e-11,38.177
billiards,1,,5.037e-07,36,1781,4.358e-07,7.071e-07,0.712
black,2,,9.760e-05,42,1780,1.077e-04,1.406e-04,0.694
blacksmith,1,,2.170e-06,41,1780,3.621e-06,6.555e-06,0.331
board,2,,2.247e-04,42,1780,1.821e-04,2.746e-04,0.818
boat,3,,4.621e-05,42,1780,5.259e-05,5.595e-05,0.826
boats,2,,4.140e-05,42,1780,3.678e-05,3.408e-05,1.215
bodies,1,,7.583e-05,42,1780,7.184e-05,5.591e-05,1.356
body,7,,2.979e-04,42,1780,3.004e-04,2.486e-04,1.198
bordering,1,,4.952e-06,41,1781,5.688e-06,5.291e-06,0.936
borders,1,,1.430e-05,42,1780,1.578e-05,1.432e-05,0.999
borrowed,1,,1.400e-05,42,1780,1.484e-05,1.221e-05,1.147
both,1,,4.471e-04,42,1780,4.405e-04,4.075e-04,1.097
bow,1,,1.980e-05,42,1780,2.482e-05,2.272e-05,0.871
box,2,,2.137e-05,42,1780,2.473e-05,5.526e-05,0.387
boy,1,,3.441e-05,42,1780,5.205e-05,7.634e-05,0.451
branch,1,,6.496e-05,42,1780,7.670e-05,7.404e-05,0.877
breast,1,,3.769e-05,42,1780,3.910e-05,2.983e-05,1.263
bring,1,,1.440e-04,42,1780,1.407e-04,1.183e-04,1.217
bringing,1,,3.497e-05,42,1780,3.612e-05,3.604e-05,0.970
buffaloe,5,,1.287e-06,35,1785,3.586e-07,5.472e-08,23.513
building,1,,6.951e-05,42,1780,7.406e-05,1.502e-04,0.463
burying,1,,4.380e-06,42,1780,4.266e-06,3.725e-06,1.176
but,2,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
by,20,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
cabin,1,,6.497e-06,39,1780,1.079e-05,1.242e-05,0.523
cache,1,,1.223e-07,27,1781,1.691e-07,7.821e-07,0.156
calculated,1,,4.384e-05,42,1780,5.021e-05,2.592e-05,1.692
called,2,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
came,4,,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
cameahwait,1,proper,2.661e-08,4,1806,2.387e-08,3.471e-09,7.667
cannonball,1,,1.772e-08,17,1798,3.807e-08,4.158e-08,0.426
canoes,3,,1.080e-05,40,1780,5.522e-06,4.645e-06,2.326
caparison,1,,3.929e-08,20,1798,8.137e-08,4.596e-08,0.855
captain,35,,1.433e-04,42,1780,1.213e-04,1.190e-04,1.204
captains,1,,1.594e-05,42,1780,1.149e-05,8.727e-06,1.826
carry,1,,9.350e-05,42,1780,8.483e-05,8.453e-05,1.106
carrying,2,,5.100e-05,42,1780,4.547e-05,5.503e-05,0.927
case,3,,4.775e-04,42,1780,5.548e-04,6.424e-04,0.743
catching,2,,4.451e-06,42,1780,4.436e-06,5.843e-06,0.762
ceremonies,1,,1.579e-05,42,1780,1.515e-05,9.674e-06,1.632
cession,1,,9.614e-06,41,1780,9.736e-06,4.863e-06,1.977
chaboneau,2,,1.809e-08,4,1806,2.483e-08,5.600e-09,3.231
changed,1,,4.365e-05,42,1780,5.265e-05,6.046e-05,0.722
character,12,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
charitons,1,proper,7.339e-10,2,1814,1.036e-10,3.233e-10,2.270
charity,1,,3.623e-05,42,1780,3.792e-05,2.654e-05,1.365
charles,1,,1.141e-04,42,1780,1.092e-04,1.433e-04,0.797
charrette,1,proper,1.183e-08,12,1798,1.737e-08,1.237e-08,0.957
chase,1,,1.188e-05,42,1780,1.784e-05,1.999e-05,0.594
cheyenne,1,proper,2.153e-07,15,1789,8.703e-08,2.424e-06,0.089
chief,2,,1.786e-04,42,1780,1.425e-04,1.575e-04,1.134
chiefs,1,,2.145e-05,42,1780,2.584e-05,1.538e-05,1.395
chien,1,proper,3.796e-07,28,1786,9.988e-07,1.099e-06,0.346
children,1,,2.245e-04,42,1780,2.561e-04,2.439e-04,0.920
clarke,16,proper,1.397e-05,42,1780,1.556e-05,1.600e-05,0.873
clarke's,2,proper,0.000e+00,0,,0.000e+00,0.000e+00,
clear,2,,8.942e-05,42,1780,1.028e-04,1.187e-04,0.753
clothing,1,,2.421e-05,42,1780,1.885e-05,2.632e-05,0.920
coats,1,,7.852e-06,42,1780,7.095e-06,7.676e-06,1.023
cold,5,,7.983e-05,42,1780,9.322e-05,1.003e-04,0.796
columbia,1,proper,2.638e-05,40,1781,3.159e-05,4.550e-05,0.580
command,1,,1.352e-04,42,1780,1.080e-04,9.915e-05,1.364
commandant,1,,8.368e-06,41,1780,6.400e-06,5.240e-06,1.597
communication,1,,9.753e-05,42,1780,6.159e-05,5.328e-05,1.831
company,1,,1.978e-04,42,1780,2.417e-04,4.534e-04,0.436
complaints,1,,2.738e-05,42,1780,1.906e-05,1.300e-05,2.106
composed,1,,6.499e-05,42,1780,6.808e-05,5.906e-05,1.100
conception,1,,1.251e-05,42,1780,1.750e-05,2.391e-05,0.523
conduct,1,,1.965e-04,42,1780,1.494e-04,8.009e-05,2.453
confidence,2,,7.733e-05,42,1780,8.773e-05,5.449e-05,1.419
confluence,1,,2.761e-06,41,1781,2.346e-06,1.867e-06,1.479
consisted,2,,2.297e-05,42,1780,2.511e-05,2.240e-05,1.025
constitute,1,,2.701e-05,42,1780,3.442e-05,3.674e-05,0.735
construction,1,,5.824e-05,42,1780,7.802e-05,1.187e-04,0.491
consumption,1,,1.553e-05,42,1780,2.326e-05,2.509e-05,0.619
containing,1,,5.894e-05,42,1780,6.310e-05,7.382e-05,0.798
contest,1,,2.455e-05,42,1780,2.918e-05,2.549e-05,0.963
continuation,1,,9.509e-06,42,1780,9.006e-06,8.802e-06,1.080
continue,1,,1.050e-04,42,1780,8.426e-05,6.396e-05,1.642
continues,1,,2.812e-05,42,1780,2.624e-05,2.266e-05,1.241
controversy,1,,2.766e-05,42,1780,3.329e-05,2.858e-05,0.968
convenient,2,,4.728e-05,42,1780,3.646e-05,3.310e-05,1.428
corporal,1,,7.920e-06,42,1780,5.028e-06,6.660e-06,1.189
council,9,,1.799e-04,42,1780,1.162e-04,1.196e-04,1.505
country,13,,5.606e-04,42,1780,6.018e-04,4.454e-04,1.259
course,2,,2.191e-04,42,1780,3.030e-04,3.000e-04,0.730
courses,1,,9.474e-06,42,1780,1.119e-05,2.054e-05,0.461
covered,1,,7.746e-05,42,1780,8.207e-05,8.610e-05,0.900
covering,1,,1.886e-05,42,1780,2.037e-05,2.796e-05,0.674
creeks,6,,7.074e-06,42,1780,7.357e-06,5.252e-06,1.347
