word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
balsaniifera,1,,0.000e+00,0,,0.000e+00,0.000e+00,
banded,1,,5.168e-07,33,1783,8.502e-07,1.975e-06,0.262
bands,2,,1.258e-05,42,1780,1.320e-05,2.033e-05,0.619
bank,1,,8.811e-05,42,1780,2.267e-04,1.997e-04,0.441
barriugton's,1,,0.000e+00,0,,0.000e+00,0.000e+00,
base,8,,5.762e-05,42,1780,5.057e-05,6.937e-05,0.831
bases,1,,6.219e-06,40,1780,5.417e-06,7.971e-06,0.780
be,5,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
beautiful,1,,5.984e-05,42,1780,1.145e-04,1.092e-04,0.548
became,1,,1.232e-04,42,1780,1.553e-04,1.598e-04,0.771
become,1,,1.952e-04,42,1780,2.208e-04,2.108e-04,0.926
bed,4,,6.295e-05,42,1780,7.503e-05,8.489e-05,0.742
beds,2,,1.394e-05,42,1780,2.030e-05,3.042e-05,0.458
bee,1,,1.120e-05,42,1780,9.285e-06,1.600e-05,0.700
been,8,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,4,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
began,2,,1.130e-04,42,1780,1.044e-04,1.084e-04,1.043
being,3,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
beingentirely,1,,1.152e-09,2,1798,1.750e-09,7.166e-10,1.608
beings,1,,2.800e-05,42,1780,3.304e-05,1.873e-05,1.495
belly,1,,1.032e-05,42,1780,6.750e-06,4.694e-06,2.199
belong,1,,4.259e-05,42,1780,4.164e-05,3.828e-05,1.113
belonging,1,,7.506e-05,42,1780,5.525e-05,5.146e-05,1.459
below,2,,8.516e-05,42,1780,9.911e-05,1.386e-04,0.614
beneath,2,,3.272e-05,42,1780,5.491e-05,5.294e-05,0.618
best,1,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
between,4,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
beyond,3,,1.033e-04,42,1780,1.297e-04,1.284e-04,0.805
bifasciate,1,,0.000e+00,0,1823,5.374e-08,1.012e-08,0.000
bill,4,,4.175e-04,42,1780,4.400e-04,4.801e-04,0.870
billows,1,,3.122e-06,39,1780,4.359e-06,2.728e-06,1.144
bird,1,,1.974e-05,42,1780,2.898e-05,3.672e-05,0.537
bison's,1,,0.000e+00,0,,0.000e+00,0.000e+00,
