position,B1_number,B1_gillogly_table1,B1_nara_straight,B1_pamphlet_encoder_key,B1_pamphlet_straight,B3_number,B3_gillogly_table1,B3_nara_straight,B3_pamphlet_encoder_key,B3_pamphlet_straight
277,68,T,T,T,T,71,S,S,S,S
278,232,A,A,W,W,36,A,A,A,A
279,431,H,H,H,O,45,A,A,A,A
280,960,H,H,B,H,83,A,A,A,A
281,50,T,T,T,T,76,T,T,T,T
282,29,T,T,T,T,89,E,E,E,E
283,81,A,A,A,A,92,C,C,C,C
284,216,S,S,A,A,31,O,O,O,O
285,321,O,O,O,D,65,C,C,C,C
286,603,T,A,E,A,70,T,T,T,T
287,14,T,T,T,T,83,A,A,A,A
288,612,E,H,S,H,96,R,R,R,R
289,81,A,A,A,A,27,A,A,A,A
290,360,F,F,F,H,33,E,E,E,E
291,36,A,A,A,A,44,N,N,N,N
292,51,A,A,A,A,50,T,T,T,T
293,62,S,S,S,S,61,T,T,T,T
294,194,C,C,B,B,24,A,A,A,A
295,78,S,S,S,S,112,R,R,R,R
296,60,T,T,T,T,136,O,O,O,O
297,200,A,A,C,C,149,T,T,T,T
298,314,I,I,I,R,176,L,L,M,M
299,676,F,J,H,J,180,S,S,T,T
300,112,R,R,R,R,194,C,C,B,B
301,4,C,C,C,C,143,O,O,O,O
302,28,A,A,A,A,171,T,T,A,A
303,18,B,B,B,B,205,S,S,H,H
304,61,T,T,T,T,296,F,F,F,T
305,136,O,O,O,O,87,T,T,T,T
306,247,T,T,D,D,12,O,O,O,O
307,819,L,V,O,V,44,N,N,N,N
308,921,H,H,T,T,51,A,A,A,A
309,1060,H,H,T,W,89,E,E,E,E
310,464,D,D,D,H,98,A,A,A,A
311,895,T,C,O,C,34,T,T,T,T
312,10,N,N,N,N,41,T,T,T,T
313,6,H,H,H,H,208,A,A,M,M
314,66,W,W,W,W,173,S,S,T,T
315,119,T,T,T,T,66,W,W,W,W
316,38,S,S,S,S,9,B,B,B,B
317,41,T,T,T,T,35,S,S,S,S
318,49,E,E,E,E,16,T,T,T,T
319,602,A,O,H,O,95,U,U,U,I
320,423,I,I,I,R,8,I,I,I,I
321,962,E,E,T,H,113,G,G,G,G
