word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
beside,1,,2.181e-05,42,1780,2.703e-05,2.969e-05,0.735
best,1,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
bestowed,1,,2.268e-05,42,1780,2.526e-05,1.389e-05,1.633
better,1,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
beyond,1,,1.033e-04,42,1780,1.297e-04,1.284e-04,0.805
bias,1,proper,5.257e-06,40,1780,5.301e-06,4.202e-06,1.251
birth,1,,5.178e-05,42,1780,5.093e-05,4.008e-05,1.292
bladed,1,,2.492e-07,26,1782,1.901e-07,4.234e-07,0.588
blankets,1,,4.853e-06,41,1780,3.983e-06,5.949e-06,0.816
blas,2,proper,1.740e-06,29,1781,1.093e-06,6.294e-07,2.764
bleaching,1,,1.234e-06,35,1783,1.833e-06,2.143e-06,0.576
blood,2,,1.489e-04,42,1780,1.612e-04,1.369e-04,1.088
bodies,1,,7.583e-05,42,1780,7.184e-05,5.591e-05,1.356
bold,1,,2.687e-05,42,1780,3.354e-05,2.482e-05,1.082
bolted,1,,8.796e-07,32,1781,1.432e-06,2.885e-06,0.305
border,1,,1.294e-05,42,1780,1.258e-05,2.267e-05,0.571
borders,1,,1.430e-05,42,1780,1.578e-05,1.432e-05,0.999
borrowed,1,,1.400e-05,42,1780,1.484e-05,1.221e-05,1.147
bosom,1,,2.784e-05,42,1780,4.210e-05,2.033e-05,1.369
botanist,1,,2.405e-06,38,1781,1.790e-06,2.379e-06,1.011
both,1,,4.471e-04,42,1780,4.405e-04,4.075e-04,1.097
bound,1,,9.291e-05,42,1780,1.021e-04,9.162e-05,1.014
bowers,1,,3.024e-06,39,1782,4.015e-06,3.519e-06,0.859
boy,1,,3.441e-05,42,1780,5.205e-05,7.634e-05,0.451
braggart,2,,1.148e-07,25,1791,2.101e-07,2.847e-07,0.403
branches,1,,6.751e-05,42,1780,6.737e-05,6.097e-05,1.107
brands,1,,1.192e-06,37,1784,1.461e-06,2.969e-06,0.402
braves,2,,6.655e-07,36,1782,8.512e-07,1.077e-06,0.618
break,1,,4.243e-05,42,1780,4.365e-05,4.228e-05,1.004
breed,1,,9.174e-06,42,1780,1.045e-05,1.258e-05,0.729
bring,2,,1.440e-04,42,1780,1.407e-04,1.183e-04,1.217
broken,1,,5.415e-05,42,1780,7.096e-05,7.179e-05,0.754
brood,1,,2.223e-06,40,1780,3.264e-06,5.985e-06,0.371
buffalo,5,,3.872e-06,39,1781,1.337e-05,2.519e-05,0.154
buffaloes,2,,8.238e-07,30,1790,1.067e-06,1.176e-06,0.700
bugle,3,,6.220e-07,32,1787,1.197e-06,1.535e-06,0.405
buoyancy,1,,2.666e-07,26,1783,1.393e-06,1.248e-06,0.214
burnt,1,,2.912e-05,42,1780,2.472e-05,1.402e-05,2.077
bushes,1,,5.008e-06,39,1780,5.785e-06,7.288e-06,0.687
bustle,1,,3.207e-06,39,1780,5.499e-06,2.831e-06,1.133
busy,1,,1.203e-05,42,1780,1.671e-05,2.049e-05,0.587
but,16,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
butterflies,1,,9.129e-07,36,1780,1.174e-06,2.265e-06,0.403
by,23,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
called,1,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
camp,5,,5.607e-05,42,1780,4.599e-05,5.987e-05,0.937
campaigning,1,,7.081e-08,21,1785,1.104e-07,3.836e-07,0.185
campaignings,1,,2.203e-10,1,1811,2.966e-09,6.941e-09,0.032
camping,1,,1.255e-07,22,1789,2.216e-07,1.637e-06,0.077
can,1,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
canadian,1,proper,6.416e-06,42,1780,4.485e-06,1.151e-05,0.557
captain,1,proper,1.433e-04,42,1780,1.213e-04,1.190e-04,1.204
captured,1,,2.052e-05,42,1780,1.329e-05,2.294e-05,0.895
caste,1,,4.653e-07,32,1780,3.145e-06,3.870e-06,0.120
catch,1,,1.146e-05,42,1780,1.325e-05,2.043e-05,0.561
catching,1,,4.451e-06,42,1780,4.436e-06,5.843e-06,0.762
caused,1,,4.194e-05,42,1780,5.519e-05,7.663e-05,0.547
certain,1,,3.609e-04,42,1780,3.010e-04,3.148e-04,1.147
chance,1,,2.944e-05,42,1780,3.238e-05,3.910e-05,0.753
change,1,,1.148e-04,42,1780,1.440e-04,1.549e-04,0.741
changing,1,,1.329e-05,42,1780,1.633e-05,1.937e-05,0.686
character,1,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
cheerful,1,,1.315e-05,42,1780,1.782e-05,1.492e-05,0.881
children,1,,2.245e-04,42,1780,2.561e-04,2.439e-04,0.920
citizen,1,,4.679e-05,42,1780,3.848e-05,4.214e-05,1.110
civilisation,2,,2.304e-07,24,1798,1.334e-06,1.445e-06,0.159
claim,1,,9.127e-05,42,1780,1.221e-04,1.695e-04,0.539
clamour,2,,4.378e-06,42,1780,2.801e-06,6.777e-07,6.461
clanaour,1,,0.000e+00,0,,0.000e+00,0.000e+00,
clay,1,,2.594e-05,42,1780,4.541e-05,4.536e-05,0.572
close,1,,9.136e-05,42,1780,1.153e-04,1.394e-04,0.656
clouds,1,,2.390e-05,42,1780,3.008e-05,2.499e-05,0.956
clumps,1,,6.171e-07,32,1785,7.637e-07,1.132e-06,0.545
coat,1,,1.626e-05,42,1780,2.033e-05,2.218e-05,0.733
comanches,1,proper,4.802e-08,12,1789,1.273e-07,7.227e-07,0.066
come,2,,3.187e-04,42,1780,3.529e-04,3.626e-04,0.879
comfort,1,,4.306e-05,42,1780,4.879e-05,3.724e-05,1.156
command,1,,1.352e-04,42,1780,1.080e-04,9.915e-05,1.364
commander,1,,6.461e-05,42,1780,3.665e-05,3.846e-05,1.680
commissioner,5,proper,2.838e-05,42,1780,3.291e-05,6.281e-05,0.452
commissioners,1,,1.104e-04,42,1780,1.022e-04,9.522e-05,1.159
commit,1,,3.317e-05,42,1780,2.553e-05,1.742e-05,1.903
companion,1,,2.172e-05,42,1780,2.965e-05,2.564e-05,0.847
company,5,,1.978e-04,42,1780,2.417e-04,4.534e-04,0.436
complete,2,,7.571e-05,42,1780,8.565e-05,1.188e-04,0.638
completely,1,,3.561e-05,42,1780,4.331e-05,4.176e-05,0.853
comrades,1,,2.585e-06,39,1780,4.848e-06,7.124e-06,0.363
conflicts,1,,3.166e-06,40,1780,5.271e-06,4.710e-06,0.672
confluence,1,,2.761e-06,41,1781,2.346e-06,1.867e-06,1.479
connecticut,2,proper,6.098e-05,42,1780,3.787e-05,3.341e-05,1.825
consequently,1,,5.716e-05,42,1780,6.121e-05,4.422e-05,1.293
consists,1,,4.582e-05,42,1780,5.023e-05,5.452e-05,0.841
continent,1,proper,3.851e-05,42,1780,3.443e-05,2.965e-05,1.299
cook,1,,2.083e-05,42,1780,1.783e-05,3.003e-05,0.694
corps,1,,6.426e-05,42,1780,2.610e-05,4.674e-05,1.375
could,5,,7.429e-04,42,1780,8.480e-04,7.745e-04,0.959
count,9,,6.502e-05,42,1780,5.891e-05,4.994e-05,1.302
count's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
countries,1,,8.664e-05,42,1780,7.780e-05,6.254e-05,1.385
country,6,,5.606e-04,42,1780,6.018e-04,4.454e-04,1.259
couple,1,,6.723e-06,41,1780,9.061e-06,1.341e-05,0.501
courage,1,,3.961e-05,42,1780,4.148e-05,3.259e-05,1.215
course,1,,2.191e-04,42,1780,3.030e-04,3.000e-04,0.730
crammed,1,,5.418e-07,38,1780,9.299e-07,1.008e-06,0.537
creature,1,,3.292e-05,42,1780,3.551e-05,2.372e-05,1.388
creed,1,,8.702e-06,40,1781,1.552e-05,1.254e-05,0.694
creek,2,proper,4.121e-05,42,1780,4.099e-05,5.498e-05,0.749
creole,1,proper,5.371e-07,30,1787,1.068e-06,1.109e-06,0.484
cried,1,,2.575e-05,41,1780,3.858e-05,3.923e-05,0.656
cross,1,,4.803e-05,42,1780,6.725e-05,8.441e-05,0.569
cruise,1,,4.527e-06,39,1780,5.298e-06,4.660e-06,0.971
current,1,,3.870e-05,42,1780,4.379e-05,8.019e-05,0.483
cut,1,,8.873e-05,42,1780,9.662e-05,1.217e-04,0.729
danger,1,,1.124e-04,42,1780,9.924e-05,7.648e-05,1.470
dangerous,3,,6.286e-05,42,1780,5.260e-05,4.276e-05,1.470
dark,1,,5.656e-05,42,1780,8.671e-05,9.528e-05,0.594
dash,1,,2.414e-06,40,1781,4.511e-06,5.867e-06,0.412
days,3,,2.864e-04,42,1780,2.919e-04,3.044e-04,0.941
deacons,1,,5.046e-06,39,1782,5.415e-06,3.416e-06,1.477
debatable,1,,8.655e-08,20,1783,4.884e-07,1.143e-06,0.076
deep,1,,8.432e-05,42,1780,1.322e-04,1.189e-04,0.709
defence,1,,8.389e-05,42,1780,8.230e-05,4.283e-05,1.958
defensive,1,,6.854e-06,41,1780,5.673e-06,4.927e-06,1.391
degree,1,,1.883e-04,42,1780,1.648e-04,1.141e-04,1.650
delaware,1,proper,4.109e-05,42,1780,3.235e-05,2.799e-05,1.468
delights,1,,9.010e-06,42,1780,8.985e-06,5.449e-06,1.654
dell,2,,1.123e-06,36,1783,2.089e-06,2.220e-06,0.506
departed,1,,2.147e-05,42,1780,2.689e-05,1.713e-05,1.253
departure,2,,3.367e-05,42,1780,3.411e-05,2.607e-05,1.292
descended,1,,1.963e-05,42,1780,2.354e-05,1.560e-05,1.258
desert,1,,2.092e-05,42,1780,2.669e-05,2.168e-05,0.965
destined,1,,1.886e-05,42,1780,2.498e-05,1.669e-05,1.130
determined,2,,1.202e-04,42,1780,1.047e-04,9.319e-05,1.290
diagonal,1,,1.509e-06,37,1781,1.561e-06,2.464e-06,0.613
did,1,,5.241e-04,42,1780,6.036e-04,6.086e-04,0.861
died,1,,1.209e-04,42,1780,1.299e-04,1.425e-04,0.849
disappearing,1,,8.456e-07,36,1785,1.577e-06,2.824e-06,0.299
disappointed,1,proper,1.745e-05,42,1780,1.792e-05,1.189e-05,1.467
disappointment,1,,1.416e-05,42,1780,1.497e-05,1.093e-05,1.295
discharge,1,,7.650e-05,42,1780,6.587e-05,6.714e-05,1.139
disposed,1,,5.914e-05,42,1780,6.386e-05,4.477e-05,1.321
disquiet,1,,1.782e-06,41,1780,1.207e-06,7.209e-07,2.472
distance,1,,1.253e-04,42,1780,1.293e-04,1.205e-04,1.040
distant,1,,5.760e-05,42,1780,6.723e-05,5.074e-05,1.135
distinguished,1,,9.154e-05,42,1780,1.066e-04,7.106e-05,1.288
do,1,,8.530e-04,42,1780,1.032e-03,1.106e-03,0.771
double,1,,4.783e-05,42,1780,5.288e-05,6.484e-05,0.738
down,4,,2.904e-04,42,1780,3.604e-04,4.089e-04,0.710
dozed,1,,7.375e-08,24,1794,1.591e-07,2.968e-07,0.248
dozing,1,,2.301e-07,31,1781,4.357e-07,5.569e-07,0.413
drifting,1,,4.798e-07,31,1783,1.067e-06,3.374e-06,0.142
driven,1,,3.227e-05,42,1780,3.784e-05,4.111e-05,0.785
dubbed,1,,1.982e-07,28,1785,3.027e-07,4.317e-07,0.459
during,2,,3.203e-04,42,1780,3.597e-04,4.679e-04,0.685
duties,2,,1.454e-04,42,1780,1.679e-04,1.334e-04,1.090
each,2,,5.437e-04,42,1780,5.388e-04,6.330e-04,0.859
easily,1,,8.642e-05,42,1780,8.504e-05,8.268e-05,1.045
east,1,,1.303e-04,42,1780,1.289e-04,1.496e-04,0.871
eight,1,,1.539e-04,42,1780,1.382e-04,1.477e-04,1.042
elders,1,,1.427e-05,42,1780,1.381e-05,9.039e-06,1.578
elk,1,,6.282e-06,41,1780,2.443e-06,3.964e-06,1.585
employ,1,,4.132e-05,42,1780,3.642e-05,3.076e-05,1.343
employment,1,,4.377e-05,42,1780,4.657e-05,4.334e-05,1.010
encampments,2,,1.075e-06,37,1780,1.043e-06,1.155e-06,0.931
encumbrance,1,,3.253e-07,30,1780,7.450e-07,8.663e-07,0.376
end,2,,2.640e-04,42,1780,2.375e-04,2.737e-04,0.965
english,1,proper,1.995e-04,42,1780,2.031e-04,2.205e-04,0.905
englishman,1,proper,8.320e-06,42,1780,9.397e-06,8.977e-06,0.927
enjoy,1,,5.946e-05,42,1780,5.034e-05,3.063e-05,1.941
enquiries,1,,7.125e-06,42,1780,1.785e-06,6.381e-07,11.166
entertained,1,,3.602e-05,42,1780,3.492e-05,2.023e-05,1.781
equipage,1,,4.826e-06,42,1780,3.203e-06,2.603e-06,1.854
erect,1,,3.094e-05,42,1780,2.307e-05,2.185e-05,1.416
escapes,1,,4.568e-06,42,1780,5.262e-06,5.945e-06,0.768
escort,3,,4.233e-06,42,1780,4.450e-06,5.696e-06,0.743
establishments,1,,1.187e-05,42,1780,1.631e-05,1.272e-05,0.933
europe,1,proper,1.260e-04,42,1780,1.106e-04,9.300e-05,1.355
even,1,,4.640e-04,42,1780,5.572e-04,4.884e-04,0.950
every,3,,1.063e-03,42,1780,9.820e-04,6.860e-04,1.549
evidently,1,,3.366e-05,42,1780,4.226e-05,4.225e-05,0.797
excited,1,,3.855e-05,42,1780,4.798e-05,2.762e-05,1.395
exclamations,1,,1.558e-06,37,1780,2.108e-06,1.361e-06,1.145
excursion,1,,4.976e-06,42,1780,6.022e-06,5.921e-06,0.840
excursions,1,,4.220e-06,41,1780,4.483e-06,4.009e-06,1.052
execution,1,,1.383e-04,42,1780,1.041e-04,8.259e-05,1.675
expecting,1,,7.571e-06,42,1780,8.427e-06,7.269e-06,1.042
expedition,1,,5.563e-05,42,1780,4.134e-05,3.831e-05,1.452
expeditions,1,,5.586e-06,42,1780,5.329e-06,6.186e-06,0.903
exploits,1,,6.299e-06,42,1780,6.116e-06,3.652e-06,1.725
explore,1,,4.944e-06,42,1780,4.776e-06,3.499e-06,1.413
explored,1,,4.489e-06,42,1780,5.280e-06,4.914e-06,0.914
exploring,1,,2.297e-06,41,1780,4.552e-06,4.315e-06,0.532
express,1,,8.012e-05,42,1780,8.320e-05,7.629e-05,1.050
extend,1,,6.721e-05,42,1780,5.218e-05,4.295e-05,1.565
extends,1,,2.350e-05,42,1780,2.325e-05,2.227e-05,1.055
extreme,1,,4.165e-05,42,1780,4.453e-05,4.485e-05,0.928
eye,1,,1.027e-04,42,1780,1.450e-04,1.142e-04,0.899
eyes,1,,1.255e-04,42,1780,1.665e-04,1.735e-04,0.723
fact,2,,1.352e-04,42,1780,2.371e-04,3.191e-04,0.424
factotum,1,,4.938e-08,18,1787,1.265e-07,1.811e-07,0.273
faithful,3,,6.303e-05,42,1780,6.560e-05,4.518e-05,1.395
fall,1,,1.137e-04,42,1780,1.223e-04,1.245e-04,0.913
falsehood,1,,1.166e-05,42,1780,1.423e-05,7.625e-06,1.529
familiarly,1,,2.384e-06,39,1780,3.715e-06,2.764e-06,0.862
family,1,,1.668e-04,42,1780,1.746e-04,1.656e-04,1.007
far,4,,3.211e-04,42,1780,3.837e-04,3.728e-04,0.861
farm,1,,2.480e-05,42,1780,3.187e-05,6.457e-05,0.384
fatigue,1,,1.794e-05,42,1780,1.259e-05,8.583e-06,2.090
feebly,1,,1.852e-06,38,1782,2.827e-06,3.879e-06,0.477
fell,2,,8.279e-05,42,1780,8.850e-05,8.201e-05,1.009
fellow,2,,6.926e-05,42,1780,7.630e-05,6.225e-05,1.113
felt,1,,8.230e-05,42,1780,1.363e-04,1.181e-04,0.697
fertile,1,,1.670e-05,42,1780,1.989e-05,1.532e-05,1.090
few,1,,2.972e-04,42,1780,3.732e-04,3.625e-04,0.820
fierce,1,,1.125e-05,42,1780,1.636e-05,1.516e-05,0.742
