word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
battalions,1,,9.027e-06,41,1780,5.532e-06,4.058e-06,2.225
battle,1,,7.152e-05,42,1780,8.160e-05,8.759e-05,0.817
battleground,1,,1.508e-08,11,1790,4.191e-08,9.143e-08,0.165
battlements,1,,1.226e-06,34,1780,2.174e-06,1.435e-06,0.855
be,11,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
bearing,1,,3.562e-05,42,1780,4.731e-05,6.431e-05,0.554
beauties,2,,1.517e-05,42,1780,1.440e-05,7.748e-06,1.957
beauty,1,,6.157e-05,42,1780,8.923e-05,7.430e-05,0.829
because,1,,3.397e-04,42,1780,3.571e-04,3.122e-04,1.088
beds,1,,1.394e-05,42,1780,2.030e-05,3.042e-05,0.458
been,17,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,1,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
began,1,,1.130e-04,42,1780,1.044e-04,1.084e-04,1.043
behind,2,,5.588e-05,42,1780,6.656e-05,8.248e-05,0.677
behold,1,,5.299e-05,42,1780,5.084e-05,2.507e-05,2.113
being,1,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
beloav,1,,9.508e-10,3,1812,3.984e-10,1.239e-09,0.767
below,2,,8.516e-05,42,1780,9.911e-05,1.386e-04,0.614
bend,1,,1.197e-05,42,1780,1.137e-05,1.352e-05,0.886
beneath,2,,3.272e-05,42,1780,5.491e-05,5.294e-05,0.618
bestow'd,1,,8.321e-07,35,1785,3.240e-07,1.209e-07,6.880
bestowed,1,,2.268e-05,42,1780,2.526e-05,1.389e-05,1.633
better,1,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
between,1,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
beyond,1,,1.033e-04,42,1780,1.297e-04,1.284e-04,0.805
birmingham,1,proper,5.066e-06,40,1780,4.158e-06,5.464e-06,0.927
black,1,,9.760e-05,42,1780,1.077e-04,1.406e-04,0.694
blannerhassett's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
blasts,1,,1.814e-06,39,1780,1.971e-06,1.795e-06,1.010
block,1,,9.723e-06,42,1780,1.080e-05,2.737e-05,0.355
blow,1,,2.551e-05,42,1780,3.015e-05,3.059e-05,0.834
boat,3,,4.621e-05,42,1780,5.259e-05,5.595e-05,0.826
body,1,,2.979e-04,42,1780,3.004e-04,2.486e-04,1.198
bomb,1,,1.441e-06,38,1780,1.076e-06,1.280e-06,1.126
bones,1,,2.994e-05,41,1780,3.077e-05,3.049e-05,0.982
boundless,1,,7.434e-06,41,1780,9.405e-06,5.616e-06,1.324
braddock,2,proper,1.374e-06,37,1780,1.664e-06,1.815e-06,0.757
braddock's,3,,0.000e+00,0,,0.000e+00,0.000e+00,
brave,3,,2.811e-05,42,1780,3.038e-05,2.858e-05,0.983
breaking,2,,2.125e-05,42,1780,2.413e-05,2.696e-05,0.788
brick,1,,1.081e-05,42,1780,1.374e-05,2.943e-05,0.367
bridges,1,,1.512e-05,42,1780,1.546e-05,2.480e-05,0.610
britain,1,proper,1.357e-04,42,1780,8.431e-05,5.495e-05,2.469
british,3,proper,2.117e-04,42,1780,1.523e-04,1.142e-04,1.853
brought,1,,2.812e-04,42,1780,2.718e-04,2.511e-04,1.120
bugle,1,,6.220e-07,32,1787,1.197e-06,1.535e-06,0.405
builders,1,,1.875e-06,40,1780,2.634e-06,7.514e-06,0.249
built,5,,6.561e-05,42,1780,6.530e-05,9.027e-05,0.727
burned,1,,1.133e-05,42,1780,1.366e-05,2.314e-05,0.490
burthened,1,,9.476e-07,39,1780,8.597e-07,2.070e-07,4.577
bustle,1,,3.207e-06,39,1780,5.499e-06,2.831e-06,1.133
busy,1,,1.203e-05,42,1780,1.671e-05,2.049e-05,0.587
but,19,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
by,20,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
calculated,1,,4.384e-05,42,1780,5.021e-05,2.592e-05,1.692
called,6,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
calling,1,,3.532e-05,42,1780,3.958e-05,3.683e-05,0.959
came,1,,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
can,1,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
candour,1,,1.269e-05,42,1780,5.764e-06,9.189e-07,13.811
canoe,1,,8.588e-06,40,1780,6.702e-06,6.527e-06,1.316
carriage,1,,2.280e-05,42,1780,2.926e-05,3.649e-05,0.625
carriages,1,,1.358e-05,42,1780,1.308e-05,1.221e-05,1.113
castlemaiirs,1,,0.000e+00,0,,0.000e+00,0.000e+00,
casual,1,,4.163e-06,42,1780,4.790e-06,4.407e-06,0.945
cave,1,,1.200e-05,41,1780,1.101e-05,9.904e-06,1.212
caverns,2,,2.904e-06,40,1780,3.638e-06,2.218e-06,1.309
celebrated,1,,5.455e-05,42,1780,6.206e-05,3.781e-05,1.443
celerity,1,,3.015e-06,40,1780,2.660e-06,1.477e-06,2.041
century,1,,4.794e-05,42,1780,6.460e-05,8.489e-05,0.565
challenge,1,,9.790e-06,42,1780,9.461e-06,8.579e-06,1.141
changed,1,,4.365e-05,42,1780,5.265e-05,6.046e-05,0.722
charitably,1,,9.566e-07,38,1780,8.917e-07,5.180e-07,1.847
checked,1,,8.844e-06,42,1780,9.939e-06,9.659e-06,0.916
cherished,1,,6.116e-06,42,1780,1.355e-05,9.441e-06,0.648
chief,1,,1.786e-04,42,1780,1.425e-04,1.575e-04,1.134
choice,1,,5.968e-05,42,1780,4.782e-05,3.949e-05,1.511
churches,1,,6.067e-05,42,1780,7.160e-05,5.687e-05,1.067
cinders,1,,8.385e-07,33,1785,9.906e-07,1.463e-06,0.573
circulation,1,,2.119e-05,42,1780,3.753e-05,4.400e-05,0.482
circumstance,1,,7.506e-05,42,1780,6.651e-05,2.820e-05,2.661
citizens,1,,1.294e-04,42,1780,1.242e-04,1.047e-04,1.236
city,5,,3.057e-04,42,1780,3.389e-04,5.155e-04,0.593
claim,1,,9.127e-05,42,1780,1.221e-04,1.695e-04,0.539
clang,1,,2.640e-07,28,1786,6.929e-07,8.156e-07,0.324
classical,1,,9.031e-06,41,1780,1.353e-05,1.459e-05,0.619
clime,1,,3.074e-06,41,1780,4.488e-06,2.670e-06,1.151
clothed,1,,1.241e-05,42,1780,1.755e-05,1.318e-05,0.941
coal,2,,2.375e-05,41,1780,3.995e-05,9.411e-05,0.252
collection,1,,5.003e-05,42,1780,4.691e-05,6.628e-05,0.755
colonel,2,proper,1.172e-04,42,1780,6.945e-05,8.079e-05,1.451
colour,1,,7.187e-05,42,1780,4.789e-05,1.268e-05,5.670
colours,1,,2.963e-05,42,1780,1.846e-05,4.983e-06,5.946
combination,1,,1.928e-05,42,1780,2.452e-05,8.048e-05,0.240
come,1,,3.187e-04,42,1780,3.529e-04,3.626e-04,0.879
comfort,2,,4.306e-05,42,1780,4.879e-05,3.724e-05,1.156
commanded,1,,5.788e-05,42,1780,4.734e-05,2.809e-05,2.061
commanding,1,,4.664e-05,42,1780,2.635e-05,3.973e-05,1.174
common,2,,3.618e-04,42,1780,3.371e-04,2.879e-04,1.257
commonlv,1,,3.445e-08,18,1792,1.217e-08,1.713e-08,2.012
commotion,1,,3.656e-06,41,1781,4.233e-06,3.012e-06,1.214
comparison,1,,2.667e-05,42,1780,3.369e-05,3.460e-05,0.771
compass,1,,1.479e-05,42,1780,1.523e-05,1.105e-05,1.338
completed,1,,3.101e-05,42,1780,4.207e-05,5.743e-05,0.540
conceive,1,,4.776e-05,42,1780,3.653e-05,1.830e-05,2.611
confident,1,,1.309e-05,42,1780,1.476e-05,1.150e-05,1.138
consecrated,1,,1.103e-05,40,1781,1.333e-05,8.603e-06,1.282
consequence,1,,1.483e-04,42,1780,1.353e-04,7.607e-05,1.950
consequently,1,,5.716e-05,42,1780,6.121e-05,4.422e-05,1.293
consider,1,,1.471e-04,42,1780,1.238e-04,8.478e-05,1.735
considerable,2,,1.542e-04,42,1780,1.342e-04,1.053e-04,1.465
considered,1,,1.998e-04,42,1780,2.013e-04,1.523e-04,1.312
consigned,1,,5.638e-06,42,1780,6.123e-06,4.236e-06,1.331
consonants,1,,1.416e-06,35,1780,1.905e-06,1.710e-06,0.828
contained,1,,8.938e-05,42,1780,8.650e-05,7.489e-05,1.193
contains,1,,6.355e-05,42,1780,7.138e-05,7.259e-05,0.875
continually,1,,3.524e-05,42,1780,3.425e-05,2.185e-05,1.613
contrast,1,,1.120e-05,42,1780,1.869e-05,2.001e-05,0.560
contribute,1,,2.351e-05,42,1780,1.948e-05,1.344e-05,1.749
convenient,1,,4.728e-05,42,1780,3.646e-05,3.310e-05,1.428
corn,1,,5.155e-05,42,1780,5.505e-05,6.393e-05,0.806
cost,1,,4.829e-05,42,1780,7.291e-05,1.345e-04,0.359
could,6,,7.429e-04,42,1780,8.480e-04,7.745e-04,0.959
country,8,,5.606e-04,42,1780,6.018e-04,4.454e-04,1.259
countrymen,1,,2.730e-05,42,1780,2.836e-05,1.458e-05,1.873
courage,1,,3.961e-05,42,1780,4.148e-05,3.259e-05,1.215
course,1,,2.191e-04,42,1780,3.030e-04,3.000e-04,0.730
courts,1,,1.337e-04,42,1780,1.047e-04,1.023e-04,1.307
covered,2,,7.746e-05,42,1780,8.207e-05,8.610e-05,0.900
coverts,1,,1.135e-06,34,1781,1.447e-06,2.055e-06,0.552
crestfallen,1,,3.530e-08,12,1787,5.036e-08,1.916e-07,0.184
cultivated,2,,2.707e-05,42,1780,3.541e-05,2.969e-05,0.912
curiosities,1,,4.318e-06,41,1780,3.207e-06,2.818e-06,1.532
curious,1,,3.900e-05,42,1780,3.810e-05,3.621e-05,1.077
dark,1,,5.656e-05,42,1780,8.671e-05,9.528e-05,0.594
dashing,1,,1.572e-06,37,1781,3.854e-06,3.749e-06,0.419
dawned,1,,7.464e-07,36,1780,2.058e-06,2.330e-06,0.320
day,2,,7.668e-04,42,1780,7.343e-04,7.330e-04,1.046
days,1,,2.864e-04,42,1780,2.919e-04,3.044e-04,0.941
decay,1,,1.380e-05,42,1780,1.673e-05,1.462e-05,0.944
decked,1,,1.358e-06,38,1781,2.226e-06,1.871e-06,0.726
deeds,1,,3.435e-05,42,1780,3.312e-05,3.029e-05,1.134
deep,1,,8.432e-05,42,1780,1.322e-04,1.189e-04,0.709
deer,1,,1.289e-05,42,1780,1.213e-05,1.331e-05,0.969
defence,2,,8.389e-05,42,1780,8.230e-05,4.283e-05,1.958
deities,1,,4.209e-06,40,1780,4.487e-06,2.842e-06,1.481
delayed,1,,1.106e-05,42,1780,9.891e-06,1.046e-05,1.057
delight,1,,3.783e-05,42,1780,4.219e-05,2.898e-05,1.305
delighted,1,,1.352e-05,41,1780,1.806e-05,1.327e-05,1.018
delightful,1,,1.668e-05,42,1780,2.468e-05,1.693e-05,0.985
deplore,1,,2.711e-06,40,1780,3.016e-06,1.881e-06,1.441
deposit,2,,1.432e-05,42,1780,1.466e-05,3.750e-05,0.382
description,1,,8.293e-05,42,1780,9.147e-05,7.907e-05,1.049
desert,1,,2.092e-05,42,1780,2.669e-05,2.168e-05,0.965
designated,1,,1.216e-05,42,1780,1.667e-05,2.338e-05,0.520
desperate,1,,1.468e-05,42,1780,1.799e-05,1.384e-05,1.060
despising,1,,2.028e-06,39,1780,1.942e-06,9.131e-07,2.222
destined,2,,1.886e-05,42,1780,2.498e-05,1.669e-05,1.130
detached,1,,1.721e-05,42,1780,1.333e-05,1.242e-05,1.386
device,1,,5.878e-06,42,1780,6.010e-06,1.850e-05,0.318
devil's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
devoted,2,,2.795e-05,42,1780,4.872e-05,4.855e-05,0.576
dictates,1,,1.078e-05,42,1780,9.306e-06,3.661e-06,2.944
difficult,1,,6.518e-05,42,1780,7.360e-05,7.004e-05,0.931
direction,1,,8.486e-05,42,1780,1.013e-04,1.249e-04,0.679
directions,1,,4.140e-05,42,1780,3.559e-05,3.616e-05,1.145
dirty,1,,6.343e-06,40,1780,6.908e-06,8.122e-06,0.781
disaster,1,,6.111e-06,41,1780,5.097e-06,8.191e-06,0.746
dispersed,1,,1.503e-05,42,1780,1.246e-05,6.483e-06,2.318
display,1,,2.164e-05,42,1780,2.424e-05,1.950e-05,1.110
displayed,2,,2.323e-05,42,1780,2.680e-05,1.766e-05,1.315
disposed,1,,5.914e-05,42,1780,6.386e-05,4.477e-05,1.321
distance,3,,1.253e-04,42,1780,1.293e-04,1.205e-04,1.040
distant,1,,5.760e-05,42,1780,6.723e-05,5.074e-05,1.135
distributed,1,,2.004e-05,42,1780,2.300e-05,2.598e-05,0.771
diversify,1,,7.894e-07,36,1783,7.112e-07,3.677e-07,2.147
divinely,1,,3.229e-06,40,1780,3.332e-06,2.682e-06,1.204
dove,1,,4.446e-06,41,1780,5.923e-06,5.298e-06,0.839
down,2,,2.904e-04,42,1780,3.604e-04,4.089e-04,0.710
drawn,1,,1.068e-04,42,1780,1.032e-04,9.128e-05,1.170
dresses,1,,3.389e-06,39,1780,5.364e-06,6.198e-06,0.547
du,2,proper,2.202e-05,42,1780,1.960e-05,2.216e-05,0.993
dust,1,,2.245e-05,42,1780,3.014e-05,2.981e-05,0.753
dwellings,1,,4.515e-06,42,1780,8.792e-06,8.960e-06,0.504
dwindled,1,,9.002e-07,37,1780,1.213e-06,1.162e-06,0.775
e,1,,2.000e-04,42,1780,1.362e-04,1.802e-04,1.110
early,1,,1.174e-04,42,1780,1.576e-04,1.849e-04,0.635
easily,1,,8.642e-05,42,1780,8.504e-05,8.268e-05,1.045
eastern,1,,4.900e-05,42,1780,5.247e-05,6.251e-05,0.784
echoes,2,,1.726e-06,36,1782,3.587e-06,4.172e-06,0.414
edge,1,,1.823e-05,42,1780,2.477e-05,3.952e-05,0.461
eight,1,,1.539e-04,42,1780,1.382e-04,1.477e-04,1.042
either,2,,3.368e-04,42,1780,3.088e-04,2.680e-04,1.257
elated,1,,3.071e-06,41,1780,2.285e-06,1.404e-06,2.188
embellishing,1,,4.353e-07,32,1781,4.480e-07,2.600e-07,1.674
embracing,1,,6.576e-06,41,1780,1.335e-05,1.375e-05,0.478
eminence,2,,1.763e-05,42,1780,1.728e-05,9.542e-06,1.847
eminences,1,,1.866e-06,40,1781,1.648e-06,8.115e-07,2.300
emits,1,,1.399e-06,38,1780,1.088e-06,7.717e-07,1.813
enclosed,1,,1.862e-05,42,1780,1.805e-05,1.202e-05,1.550
