word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
been,6,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,3,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
beg,1,,4.095e-05,42,1780,2.949e-05,2.530e-05,1.618
being,6,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
belonging,1,,7.506e-05,42,1780,5.525e-05,5.146e-05,1.459
below,1,,8.516e-05,42,1780,9.911e-05,1.386e-04,0.614
beneficial,1,,2.287e-05,42,1780,2.429e-05,1.684e-05,1.358
best,2,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
better,3,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
bound,2,,9.291e-05,42,1780,1.021e-04,9.162e-05,1.014
boundless,1,,7.434e-06,41,1780,9.405e-06,5.616e-06,1.324
box,3,,2.137e-05,42,1780,2.473e-05,5.526e-05,0.387
bracing,1,,3.639e-07,32,1781,8.593e-07,1.969e-06,0.185
buffalo,2,,3.872e-06,39,1781,1.337e-05,2.519e-05,0.154
buffaloes,1,,8.238e-07,30,1790,1.067e-06,1.176e-06,0.700
buford's,3,proper,0.000e+00,0,,0.000e+00,0.000e+00,
buried,1,,2.407e-05,42,1780,2.629e-05,2.583e-05,0.932
business,3,,1.966e-04,42,1780,1.917e-04,2.643e-04,0.744
but,10,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
by,16,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
called,1,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
came,1,,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
can,5,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
candle,1,,7.047e-06,42,1780,7.647e-06,9.057e-06,0.778
cannot,1,,0.000e+00,0,,0.000e+00,0.000e+00,
capacity,1,,4.143e-05,42,1780,3.952e-05,5.432e-05,0.763
captain,3,,1.433e-04,42,1780,1.213e-04,1.190e-04,1.204
care,1,,1.740e-04,42,1780,1.460e-04,1.549e-04,1.123
carefully,1,,3.185e-05,42,1780,3.824e-05,5.977e-05,0.533
carried,1,,1.512e-04,42,1780,1.429e-04,1.491e-04,1.014
carry,3,,9.350e-05,42,1780,8.483e-05,8.453e-05,1.106
case,2,,4.775e-04,42,1780,5.548e-04,6.424e-04,0.743
cases,1,,2.052e-04,42,1780,2.619e-04,3.449e-04,0.595
catastrophe,1,,4.525e-06,41,1780,6.219e-06,4.266e-06,1.061
cave,2,,1.200e-05,41,1780,1.101e-05,9.904e-06,1.212
certainly,1,,1.162e-04,42,1780,1.146e-04,1.055e-04,1.101
character,2,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
charge,4,,1.148e-04,42,1780,1.257e-04,1.595e-04,0.720
cheerfully,1,,9.782e-06,42,1780,1.293e-05,9.002e-06,1.087
cherished,1,,6.116e-06,42,1780,1.355e-05,9.441e-06,0.648
choosing,1,,8.316e-06,42,1780,7.564e-06,5.296e-06,1.570
chose,1,,2.014e-05,42,1780,1.864e-05,1.439e-05,1.399
cipher,1,,1.245e-06,35,1781,1.274e-06,2.026e-06,0.614
cleft,1,,5.127e-06,38,1780,3.754e-06,3.532e-06,1.451
comfortable,1,,1.592e-05,42,1780,1.740e-05,1.830e-05,0.870
commenced,1,,3.905e-05,42,1780,6.991e-05,6.445e-05,0.606
common,2,,3.618e-04,42,1780,3.371e-04,2.879e-04,1.257
communication,1,,9.753e-05,42,1780,6.159e-05,5.328e-05,1.831
companions,2,,2.202e-05,42,1780,2.701e-05,1.904e-05,1.156
company,3,,1.978e-04,42,1780,2.417e-04,4.534e-04,0.436
compensation,1,,5.168e-05,42,1780,4.644e-05,5.636e-05,0.917
compliments,1,,1.166e-05,42,1780,5.765e-06,4.050e-06,2.880
comply,1,,2.095e-05,42,1780,1.438e-05,1.206e-05,1.738
conceal,1,,1.748e-05,42,1780,1.626e-05,1.014e-05,1.725
concealed,1,,2.279e-05,42,1780,2.413e-05,1.713e-05,1.330
concealment,1,,4.954e-06,42,1780,6.797e-06,4.891e-06,1.013
concerning,2,,1.274e-04,42,1780,9.196e-05,7.098e-05,1.795
conclude,1,,4.213e-05,42,1780,3.047e-05,1.695e-05,2.486
conclusion,1,,4.169e-05,42,1780,5.684e-05,5.876e-05,0.709
conditions,1,,4.580e-05,42,1780,3.959e-05,9.885e-05,0.463
conduct,2,,1.965e-04,42,1780,1.494e-04,8.009e-05,2.453
confided,2,,4.476e-06,40,1781,7.519e-06,4.965e-06,0.901
confidence,2,,7.733e-05,42,1780,8.773e-05,5.449e-05,1.419
connection,2,,3.343e-05,42,1780,3.629e-05,9.392e-05,0.356
consequence,2,,1.483e-04,42,1780,1.353e-04,7.607e-05,1.950
considered,2,,1.998e-04,42,1780,2.013e-04,1.523e-04,1.312
consisted,2,,2.297e-05,42,1780,2.511e-05,2.240e-05,1.025
contains,2,,6.355e-05,42,1780,7.138e-05,7.259e-05,0.875
contents,3,,2.855e-05,42,1780,2.903e-05,3.642e-05,0.784
contingency,1,,3.776e-06,41,1780,5.208e-06,4.819e-06,0.784
correct,1,,4.493e-05,42,1780,6.625e-05,6.236e-05,0.720
could,1,,7.429e-04,42,1780,8.480e-04,7.745e-04,0.959
country,2,,5.606e-04,42,1780,6.018e-04,4.454e-04,1.259
county,2,,4.053e-04,42,1780,3.145e-04,4.538e-04,0.893
course,1,,2.191e-04,42,1780,3.030e-04,3.000e-04,0.730
covered,1,,7.746e-05,42,1780,8.207e-05,8.610e-05,0.900
covers,1,,7.374e-06,42,1780,8.877e-06,1.618e-05,0.456
cupidity,1,,1.127e-06,34,1781,2.708e-06,1.526e-06,0.738
danger,1,,1.124e-04,42,1780,9.924e-05,7.648e-05,1.470
dangerous,1,,6.286e-05,42,1780,5.260e-05,4.276e-05,1.470
dangers,4,,2.385e-05,42,1780,2.204e-05,1.562e-05,1.527
date,1,,9.391e-05,42,1780,6.558e-05,1.160e-04,0.809
day,1,,7.668e-04,42,1780,7.343e-04,7.330e-04,1.046
days,4,,2.864e-04,42,1780,2.919e-04,3.044e-04,0.941
deal,1,,4.164e-05,42,1780,4.363e-05,6.331e-05,0.658
dear,4,,1.371e-04,42,1780,1.189e-04,1.015e-04,1.351
death,2,,3.328e-04,42,1780,3.467e-04,2.750e-04,1.210
december,2,proper,9.244e-05,42,1780,7.859e-05,1.131e-04,0.817
decided,2,,4.402e-05,42,1780,7.916e-05,8.510e-05,0.517
delegate,1,,1.348e-05,42,1780,7.249e-06,1.038e-05,1.299
delivered,1,,1.226e-04,42,1780,1.005e-04,8.291e-05,1.479
demands,1,,3.364e-05,42,1780,3.324e-05,3.428e-05,0.981
departure,1,,3.367e-05,42,1780,3.411e-05,2.607e-05,1.292
deposing,1,,6.735e-07,35,1784,5.286e-07,3.545e-07,1.900
deposit,3,,1.432e-05,42,1780,1.466e-05,3.750e-05,0.382
deposited,3,,2.249e-05,42,1780,2.827e-05,2.978e-05,0.755
depository,2,,2.013e-06,38,1780,3.566e-06,1.987e-06,1.013
describes,1,,1.461e-05,42,1780,1.518e-05,1.638e-05,0.892
design,1,,8.128e-05,42,1780,6.767e-05,4.320e-05,1.882
designated,1,,1.216e-05,42,1780,1.667e-05,2.338e-05,0.520
desired,1,,6.628e-05,42,1780,6.342e-05,6.085e-05,1.089
destination,1,,1.037e-05,42,1780,9.835e-06,9.593e-06,1.082
details,1,,1.269e-05,42,1780,2.696e-05,3.917e-05,0.324
determine,1,,6.524e-05,42,1780,4.633e-05,5.239e-05,1.245
determined,4,,1.202e-04,42,1780,1.047e-04,9.319e-05,1.290
deterred,1,,2.914e-06,42,1780,3.227e-06,1.993e-06,1.462
devise,1,,1.716e-05,42,1780,2.011e-05,1.307e-05,1.313
did,1,,5.241e-04,42,1780,6.036e-04,6.086e-04,0.861
difficult,1,,6.518e-05,42,1780,7.360e-05,7.004e-05,0.931
difficulty,1,,7.529e-05,42,1780,8.531e-05,7.116e-05,1.058
dilemma,1,,2.614e-06,41,1780,2.938e-06,2.183e-06,1.198
diligently,1,,8.060e-06,42,1780,7.637e-06,4.438e-06,1.816
disclosing,1,,1.371e-06,37,1780,1.647e-06,1.467e-06,0.935
discover,1,,4.366e-05,42,1780,3.893e-05,2.451e-05,1.781
discovered,2,,8.409e-05,42,1780,7.794e-05,6.273e-05,1.341
discussed,1,,1.100e-05,42,1780,1.727e-05,2.598e-05,0.423
dismissal,1,,1.710e-06,35,1780,2.990e-06,4.861e-06,0.352
dispatched,1,,1.082e-05,42,1780,2.912e-06,4.464e-06,2.423
disposition,1,,7.576e-05,42,1780,6.670e-05,4.181e-05,1.812
distance,1,,1.253e-04,42,1780,1.293e-04,1.205e-04,1.040
distributed,1,,2.004e-05,42,1780,2.300e-05,2.598e-05,0.771
distributing,1,,4.134e-06,42,1780,5.105e-06,6.166e-06,0.670
divide,1,,2.333e-05,42,1780,2.292e-05,2.001e-05,1.166
do,3,,8.530e-04,42,1780,1.032e-03,1.106e-03,0.771
done,2,,2.803e-04,42,1780,2.957e-04,3.043e-04,0.921
doubtless,3,,2.496e-05,42,1780,3.712e-05,3.956e-05,0.631
during,2,,3.203e-04,42,1780,3.597e-04,4.679e-04,0.685
duties,1,,1.454e-04,42,1780,1.679e-04,1.334e-04,1.090
each,8,,5.437e-04,42,1780,5.388e-04,6.330e-04,0.859
early,2,,1.174e-04,42,1780,1.576e-04,1.849e-04,0.635
easily,2,,8.642e-05,42,1780,8.504e-05,8.268e-05,1.045
efforts,1,,4.597e-05,42,1780,6.653e-05,5.514e-05,0.834
eight,2,,1.539e-04,42,1780,1.382e-04,1.477e-04,1.042
