draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
40,223.0,-58.2,5.64,20.0,16.0,14.6,18.5,N-S,19.5,36.1,13.3,15.9,185.7,17.7,67.5,12.7,17.5,0,,0,24.38,5.85
41,218.4,-59.3,5.32,20.0,16.0,12.5,17.3,E-W,17.2,36.6,14.5,18.4,183.7,17.0,69.0,12.6,19.4,0,,0,23.2,5.93
42,218.7,-58.0,5.48,20.0,16.0,12.6,16.2,E-W,21.6,41.3,14.4,16.5,186.4,17.6,70.7,13.8,18.3,0,,0,18.75,2.59
43,222.5,-59.3,5.75,16.0,20.0,12.3,16.6,N-S,20.4,35.9,14.3,17.5,187.4,19.0,79.3,12.7,19.6,0,,0,19.92,3.31
44,218.2,-58.7,5.66,16.0,20.0,11.7,16.1,E-W,16.6,37.2,12.9,17.2,183.6,19.2,78.0,12.3,17.8,0,,0,17.34,1.19
45,222.9,-59.6,5.59,16.0,20.0,13.8,17.3,N-S,18.5,40.4,12.6,17.7,186.8,17.0,78.3,12.0,21.3,0,,1,16.88,-0.4
46,220.2,-58.6,5.08,16.0,20.0,11.0,15.3,E-W,20.1,39.2,13.8,18.5,185.6,19.1,70.9,13.5,21.7,0,,0,18.52,3.17
47,220.1,-58.8,5.6,16.0,20.0,14.5,19.0,E-W,16.2,38.4,14.3,17.5,189.0,17.8,76.0,11.2,19.2,0,,0,19.45,0.46
48,219.6,-57.8,5.41,16.0,20.0,11.6,15.4,N-S,16.7,36.9,13.1,19.3,184.7,17.5,76.2,12.9,19.1,0,,0,19.92,4.54
49,222.8,-58.0,5.6,16.0,20.0,14.2,18.6,N-S,18.5,38.9,14.3,17.2,184.8,17.5,78.1,11.9,18.9,0,,0,20.39,1.8
50,220.0,-57.6,5.2,16.0,20.0,14.0,17.0,E-W,21.7,39.0,14.2,17.7,185.9,16.5,73.5,12.2,19.8,0,,0,18.98,2.0
51,220.6,-59.0,5.06,16.0,20.0,12.2,16.2,E-W,18.9,37.6,14.1,16.5,184.6,16.5,79.6,12.7,18.9,0,,0,18.75,2.6
52,218.7,-58.5,5.05,20.0,16.0,11.6,16.6,N-S,17.5,36.5,13.5,16.1,185.8,19.4,73.7,14.4,19.7,0,,0,19.69,3.13
53,220.7,-58.2,5.33,16.0,20.0,11.4,15.7,E-W,21.3,35.9,14.4,17.0,189.3,16.1,69.0,11.2,19.2,0,,0,20.39,4.73
54,219.5,-58.0,5.72,20.0,16.0,14.9,19.4,N-S,20.3,37.8,14.0,16.4,185.1,17.0,65.2,12.8,20.1,0,,0,23.44,3.99
55,219.7,-59.7,5.35,16.0,20.0,13.4,17.9,N-S,20.2,39.8,13.8,16.2,185.8,17.3,65.2,14.2,20.4,0,,1,17.58,-0.36
56,222.9,-58.2,5.39,20.0,16.0,11.8,15.9,E-W,17.8,38.6,14.3,16.6,186.2,18.1,64.8,11.4,20.8,0,,0,20.62,4.69
57,223.2,-59.1,5.01,20.0,16.0,10.8,14.4,N-S,20.9,39.8,12.9,18.8,188.6,19.3,79.9,12.4,20.8,0,,0,19.92,5.57
58,219.4,-58.3,5.63,16.0,20.0,11.4,15.3,N-S,17.5,38.3,14.1,16.2,187.9,19.2,66.2,12.5,20.6,0,,0,18.52,3.21
59,219.8,-57.9,5.25,16.0,20.0,13.3,16.5,E-W,21.6,36.7,14.3,18.2,184.9,18.7,75.1,13.0,21.1,0,,0,20.16,3.69
60,221.4,-58.0,5.43,20.0,16.0,12.5,16.8,E-W,17.4,36.1,13.7,16.4,187.9,18.3,71.6,13.3,20.9,0,,0,20.62,3.79
61,222.7,-59.1,5.63,16.0,20.0,15.2,19.9,N-S,16.7,37.6,13.9,16.9,183.9,17.5,79.8,12.5,19.7,0,,0,21.56,1.61
62,222.8,-58.9,5.62,20.0,16.0,15.1,19.4,N-S,17.0,37.4,13.8,18.2,188.5,18.2,66.5,12.4,17.9,0,,0,21.56,2.15
63,222.0,-59.6,5.22,16.0,20.0,11.9,16.9,N-S,16.2,38.2,13.0,18.2,185.2,18.9,64.0,12.4,18.6,0,,0,18.05,1.18
64,218.4,-59.8,5.18,20.0,16.0,15.2,18.6,N-S,19.5,39.9,13.8,18.4,186.4,16.6,62.3,12.9,19.0,0,,0,18.75,0.2
65,221.0,-59.4,5.48,20.0,16.0,14.6,18.4,N-S,19.7,38.7,13.3,15.9,188.1,16.9,78.1,11.8,17.8,0,,1,18.05,-0.37
66,223.0,-59.4,5.63,20.0,16.0,15.3,18.7,E-W,17.5,39.5,13.5,18.3,187.0,16.3,77.5,12.1,18.6,0,,0,20.39,1.69
67,218.5,-60.1,5.67,20.0,16.0,16.1,19.5,N-S,19.5,38.2,12.9,18.2,189.3,19.9,76.3,13.9,21.6,0,,1,18.52,-1.03
