draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
318,226.3,-56.1,4.61,16.0,20.0,13.3,17.2,E-W,19.5,39.0,13.7,16.8,188.0,19.9,74.8,12.7,19.9,0,,0,19.45,2.24
319,214.6,-56.5,3.96,16.0,20.0,11.8,15.6,E-W,17.8,37.2,14.2,16.4,183.8,17.6,72.5,11.1,19.4,0,,0,19.45,3.82
320,218.0,-56.7,4.69,20.0,16.0,12.7,16.5,E-W,21.2,38.6,13.7,16.8,187.6,18.1,79.4,13.1,20.4,0,,0,19.45,2.99
321,209.0,-58.3,4.9,20.0,16.0,11.2,15.3,N-S,21.4,37.9,13.0,16.1,189.1,17.2,73.5,12.0,19.4,0,,0,17.11,1.78
322,233.1,-60.9,4.83,16.0,20.0,11.2,15.4,N-S,18.3,36.9,14.6,17.1,184.8,17.6,62.8,13.0,17.9,0,,0,31.17,15.77
323,220.5,-59.1,4.61,20.0,16.0,13.1,18.1,N-S,16.9,38.3,14.2,18.5,183.7,16.3,72.3,11.6,20.7,0,,0,21.56,3.51
324,215.3,-56.5,4.43,20.0,16.0,15.1,19.0,E-W,17.1,38.2,12.4,17.8,188.4,19.9,66.6,11.7,17.9,0,,1,18.28,-0.71
325,210.3,-59.5,4.55,16.0,20.0,11.9,16.4,N-S,20.5,37.7,12.9,17.7,186.2,17.6,79.9,11.6,19.8,1,2.5,1,2.58,-13.85
326,223.9,-60.5,4.6,16.0,20.0,13.6,18.3,N-S,21.9,37.1,12.4,16.3,187.1,16.1,64.9,12.2,18.6,0,,1,17.58,-0.68
327,223.7,-59.7,4.34,20.0,16.0,13.9,18.8,N-S,21.1,37.1,14.7,16.6,188.9,16.9,72.4,13.0,17.5,0,,0,21.33,2.57
328,229.5,-57.6,4.26,16.0,20.0,14.0,17.4,N-S,21.7,36.0,14.4,17.5,184.4,17.7,72.8,12.8,19.4,0,,0,29.77,12.39
329,232.7,-59.7,4.52,16.0,20.0,11.2,15.2,N-S,19.1,39.6,12.8,16.7,188.2,17.3,76.4,11.7,18.7,0,,0,24.38,9.13
330,225.5,-57.2,4.49,16.0,20.0,12.8,16.2,N-S,19.4,37.5,13.0,19.1,184.3,17.1,74.3,12.3,18.1,0,,0,26.95,10.72
331,233.0,-60.7,4.12,16.0,20.0,13.8,18.7,E-W,19.4,39.1,13.7,18.9,184.0,16.4,76.4,12.6,20.3,0,,0,31.17,12.43
332,230.0,-59.3,4.7,16.0,20.0,11.3,15.0,N-S,21.6,34.7,13.5,18.7,187.9,18.1,72.9,12.7,21.3,0,,0,25.08,10.12
333,231.5,-58.6,4.85,16.0,20.0,16.5,19.9,N-S,18.7,39.8,12.6,18.4,184.7,18.8,67.0,13.8,21.4,0,,0,32.11,12.19
334,232.3,-57.4,4.41,20.0,16.0,12.2,16.3,N-S,19.8,38.7,14.8,17.0,186.8,16.9,71.3,13.5,17.9,0,,0,33.05,16.79
335,232.4,-57.3,5.0,20.0,16.0,15.2,18.7,E-W,17.3,39.3,13.2,18.4,183.9,17.7,67.3,11.9,20.3,0,,0,35.86,17.16
336,209.7,-57.0,4.78,20.0,16.0,14.4,18.9,N-S,17.3,36.1,13.4,18.7,186.1,18.0,78.2,13.8,19.8,0,,0,19.22,0.29
337,231.0,-58.4,4.05,16.0,20.0,13.7,17.4,N-S,21.9,38.0,13.0,16.9,186.7,17.8,75.1,14.0,20.9,0,,0,33.28,15.91
338,214.2,-60.6,4.59,20.0,16.0,12.4,15.9,E-W,16.4,39.7,14.0,18.5,186.4,19.8,69.2,13.2,21.6,1,3.28,0,18.52,2.65
