draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
50,199.8,-60.3,5.22,16.0,20.0,15.8,19.9,E-W,19.4,36.3,13.4,18.6,184.9,16.1,65.6,13.5,21.4,1,0.62,1,0.7,-19.18
51,196.9,-51.9,5.72,16.0,20.0,14.3,18.8,N-S,16.4,38.4,13.8,16.1,185.0,19.5,68.0,11.9,20.9,1,0.0,1,0.0,-18.83
52,193.0,-52.4,5.29,16.0,20.0,14.1,17.2,E-W,16.5,37.0,13.4,17.0,185.9,17.2,71.8,12.5,21.1,1,3.44,1,1.17,-16.03
53,187.0,-56.3,5.04,16.0,20.0,14.4,18.0,E-W,22.0,39.5,13.0,17.2,184.0,19.3,67.0,12.5,18.6,1,5.94,1,6.09,-11.86
54,189.5,-52.5,5.54,20.0,16.0,14.6,19.3,E-W,21.6,37.0,13.6,15.9,188.4,19.2,76.6,13.7,21.7,1,2.03,1,1.64,-17.65
55,203.8,-60.2,5.75,20.0,16.0,15.0,18.7,N-S,20.7,36.3,13.4,17.2,188.3,18.5,64.9,13.6,18.7,1,2.81,1,2.81,-15.91
56,207.0,-55.0,5.51,16.0,20.0,13.7,17.1,N-S,20.9,38.8,13.3,18.7,188.9,18.2,62.7,12.1,21.6,1,2.81,1,2.81,-14.27
57,191.6,-50.9,5.19,20.0,16.0,12.4,15.8,N-S,21.8,37.5,13.8,18.2,186.5,19.8,63.9,12.4,19.4,1,0.0,1,0.0,-15.83
58,203.5,-57.1,5.72,16.0,20.0,11.1,15.0,N-S,19.3,37.6,14.2,17.3,188.7,19.9,74.6,13.7,18.3,1,0.0,1,0.0,-15.04
59,198.7,-60.0,5.16,20.0,16.0,13.4,16.7,E-W,19.5,39.1,14.8,17.1,187.9,16.2,76.7,12.2,19.5,1,3.28,1,3.28,-13.41
60,202.5,-55.7,5.68,16.0,20.0,10.9,15.5,N-S,19.2,37.7,13.1,16.4,188.8,19.0,72.9,11.7,19.9,1,5.62,1,5.62,-9.92
61,188.8,-56.2,5.19,20.0,16.0,12.5,16.0,N-S,16.8,37.5,13.5,16.6,186.5,18.8,62.5,11.7,19.6,1,3.12,1,7.97,-8.01
62,195.2,-52.9,5.08,20.0,16.0,11.1,14.8,E-W,20.3,37.0,13.2,18.8,184.0,19.3,70.2,13.1,21.3,1,3.12,1,3.05,-11.78
63,185.6,-60.3,5.65,20.0,16.0,13.8,17.7,N-S,19.8,36.7,12.9,16.5,186.2,17.1,64.7,12.4,18.8,1,5.94,1,2.11,-15.55
64,204.6,-51.5,5.33,16.0,20.0,10.2,14.5,E-W,19.1,39.1,14.1,18.4,184.1,19.3,69.8,13.1,21.0,1,0.0,1,0.0,-14.48
65,207.5,-60.8,5.47,16.0,20.0,14.0,17.8,N-S,21.0,37.4,13.9,18.1,189.3,16.7,72.5,12.6,18.8,1,0.94,1,0.94,-16.87
66,202.8,-58.6,5.04,20.0,16.0,11.0,14.6,N-S,19.9,36.3,14.0,17.2,189.0,19.4,61.3,12.2,19.5,1,6.72,1,6.8,-7.78
67,184.9,-55.6,5.0,16.0,20.0,11.2,15.8,E-W,17.9,40.7,12.7,17.4,187.9,17.1,62.0,12.3,19.0,1,5.31,1,5.39,-10.37
68,191.4,-60.3,5.51,16.0,20.0,14.6,18.8,N-S,21.4,37.5,14.0,17.4,185.5,18.5,74.3,12.3,20.0,1,1.25,1,0.94,-17.89
69,204.6,-58.4,5.79,20.0,16.0,11.5,16.0,E-W,17.6,37.9,13.1,17.9,183.9,17.3,70.4,11.4,18.4,1,0.31,1,0.47,-15.55
70,188.6,-59.6,5.55,20.0,16.0,13.1,17.6,N-S,17.7,38.0,13.4,17.4,187.4,19.6,79.9,13.0,18.8,1,2.34,1,1.88,-15.77
71,198.8,-52.1,5.02,20.0,16.0,11.5,15.0,N-S,20.9,39.0,13.3,17.2,186.2,18.2,68.1,12.7,18.5,1,3.44,1,3.52,-11.5
72,187.5,-55.8,5.28,20.0,16.0,15.4,19.3,N-S,19.0,36.6,14.9,18.3,186.8,19.6,77.9,11.2,17.1,1,1.25,1,1.17,-18.11
73,189.6,-52.4,5.36,20.0,16.0,13.6,18.2,E-W,17.9,36.6,13.2,18.8,187.5,17.3,61.6,12.4,19.2,1,5.62,1,5.62,-12.61
74,208.3,-53.8,5.79,16.0,20.0,15.5,18.8,N-S,17.2,36.2,13.6,17.2,185.9,18.2,71.9,13.0,19.1,0,,1,18.05,-0.76
