draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
242,225.9,-60.6,2.65,16.0,20.0,14.0,17.7,N-S,21.5,36.8,13.2,18.9,183.7,17.4,63.3,11.3,18.3,0,,0,28.36,10.71
243,220.4,-58.5,2.55,20.0,16.0,14.0,17.4,N-S,20.9,35.3,14.3,18.4,186.1,18.3,66.1,13.9,21.5,0,,0,23.91,6.49
244,218.5,-57.9,3.26,20.0,16.0,12.5,15.6,N-S,20.6,38.9,14.0,17.0,186.0,16.7,74.2,13.0,19.5,0,,0,20.62,5.07
245,227.6,-56.1,3.41,20.0,16.0,14.6,18.9,N-S,16.2,36.5,14.0,18.8,184.9,17.4,63.2,12.9,19.3,0,,0,36.56,17.63
246,218.1,-57.7,2.84,20.0,16.0,11.2,15.7,E-W,21.4,39.8,12.9,18.2,188.0,18.9,66.6,12.6,21.4,0,,0,18.98,3.26
247,208.9,-58.0,3.75,20.0,16.0,14.9,19.4,E-W,20.7,40.8,13.7,16.8,185.2,16.9,69.3,12.7,18.5,1,5.47,1,5.39,-14.04
248,232.7,-60.3,3.38,20.0,16.0,10.1,14.1,N-S,21.3,37.6,13.5,17.4,189.4,19.2,61.9,13.3,21.5,0,,0,27.42,13.35
249,232.3,-56.3,2.91,16.0,20.0,15.7,19.3,N-S,16.4,38.0,12.7,18.0,185.4,19.5,60.6,12.2,20.5,0,,0,35.62,16.3
250,222.1,-60.3,2.99,16.0,20.0,14.7,19.1,E-W,20.2,36.8,14.2,18.3,188.3,19.7,75.3,11.5,18.7,0,,0,21.09,1.98
251,231.9,-56.3,3.52,16.0,20.0,16.0,19.7,N-S,18.5,38.8,13.3,16.8,188.8,19.7,69.9,13.3,18.8,0,,0,29.06,9.35
252,231.4,-58.5,2.78,20.0,16.0,14.1,18.1,N-S,18.2,37.6,13.8,18.3,186.9,16.6,66.0,14.1,21.9,0,,0,41.72,23.62
253,210.2,-57.2,3.55,16.0,20.0,12.4,16.6,E-W,21.0,36.5,14.6,16.9,188.1,19.8,70.1,12.1,17.7,1,2.97,1,3.05,-13.57
254,225.8,-59.5,3.7,16.0,20.0,14.0,18.0,N-S,16.0,40.4,12.9,16.3,185.6,17.9,60.2,12.4,17.6,0,,1,17.81,-0.19
255,217.0,-60.5,2.65,16.0,20.0,12.4,15.9,N-S,16.8,39.3,14.1,17.9,187.8,16.9,68.2,14.2,20.5,1,6.25,1,6.33,-9.58
256,222.7,-60.8,3.37,16.0,20.0,14.8,18.1,E-W,19.5,38.2,13.9,19.0,188.8,19.8,62.1,11.4,19.1,0,,0,20.39,2.24
257,233.5,-57.7,2.59,20.0,16.0,14.3,17.9,N-S,21.7,37.5,13.1,16.6,184.6,16.4,68.8,13.0,19.3,0,,0,35.86,17.98
258,229.8,-56.9,3.69,16.0,20.0,15.3,19.2,N-S,20.7,37.2,13.2,16.0,188.9,17.0,67.2,12.9,18.8,0,,0,27.89,8.65
259,212.5,-58.5,3.23,20.0,16.0,10.1,14.1,N-S,19.0,35.8,12.6,17.7,186.7,16.1,70.6,12.0,19.5,0,,0,19.69,5.55
