draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
123,181.4,-56.2,3.72,20.0,16.0,11.0,15.9,N-S,16.3,36.8,14.6,16.6,183.6,16.1,62.1,11.5,17.6,1,5.47,1,5.62,-10.29
124,168.2,-59.9,2.85,16.0,20.0,11.4,15.1,N-S,17.6,39.2,13.1,15.8,188.2,17.3,63.8,11.4,17.3,1,6.72,1,7.03,-8.02
125,174.2,-52.3,3.16,20.0,16.0,11.8,16.3,N-S,20.5,39.1,12.6,18.4,186.5,18.3,76.5,11.8,18.9,1,6.56,1,6.8,-9.46
126,177.4,-52.6,3.69,20.0,16.0,11.7,16.1,N-S,19.4,37.8,13.1,18.0,188.2,16.2,73.8,12.8,18.8,1,4.53,1,4.69,-11.44
127,170.5,-55.0,3.45,16.0,20.0,14.4,19.1,E-W,16.2,38.7,14.3,16.2,184.1,16.6,76.7,12.0,17.6,1,8.28,1,8.44,-10.63
128,161.0,-59.7,2.81,20.0,16.0,11.7,14.7,N-S,19.1,38.6,12.9,18.5,188.9,17.4,61.1,12.1,21.2,1,6.88,1,6.8,-7.9
129,179.0,-51.2,3.25,16.0,20.0,14.8,19.5,N-S,20.3,36.7,12.8,16.7,183.9,17.6,60.4,11.9,17.3,1,5.47,1,5.62,-13.86
130,159.4,-55.6,3.11,16.0,20.0,10.3,14.0,N-S,17.2,36.1,13.2,18.6,186.4,19.4,71.9,10.7,17.6,1,5.31,1,5.39,-8.64
131,159.4,-51.6,3.48,20.0,16.0,10.7,14.2,N-S,20.4,37.8,13.1,18.8,184.0,17.8,78.1,12.9,20.7,1,5.62,1,5.62,-8.53
132,167.5,-59.2,3.38,16.0,20.0,14.5,17.7,E-W,16.2,37.8,12.6,18.8,186.4,16.1,69.5,13.7,20.8,1,8.91,1,9.14,-8.51
133,177.0,-57.4,3.39,20.0,16.0,15.9,19.1,E-W,19.1,37.1,13.0,17.0,189.0,17.2,69.4,13.0,20.8,1,4.06,1,4.22,-14.9
134,163.8,-58.3,3.5,20.0,16.0,12.2,15.8,E-W,18.8,38.9,13.8,17.5,187.8,19.6,76.3,11.5,17.2,1,5.78,1,5.86,-9.91
135,178.9,-53.7,3.34,16.0,20.0,12.4,16.7,E-W,21.0,36.3,13.2,16.7,189.1,18.4,62.7,12.5,18.9,1,3.12,1,3.05,-13.61
136,180.9,-58.7,3.52,20.0,16.0,10.9,14.2,E-W,17.3,36.6,13.8,16.7,186.5,19.6,62.9,12.0,20.8,1,4.53,1,4.69,-9.49
137,163.8,-60.1,2.87,20.0,16.0,14.7,18.4,N-S,19.8,37.3,13.1,17.4,184.3,16.9,63.3,11.3,19.7,1,6.72,1,6.8,-11.58
138,163.1,-57.5,2.55,20.0,16.0,15.1,19.0,E-W,18.3,37.9,13.2,17.9,183.9,17.2,70.9,12.5,18.8,1,7.03,1,7.03,-11.94
139,173.5,-55.5,3.25,20.0,16.0,12.8,16.7,E-W,20.1,38.1,13.2,17.6,185.4,18.5,61.8,11.1,18.5,1,5.16,1,5.39,-11.26
140,171.7,-54.8,3.01,20.0,16.0,14.1,18.8,N-S,21.1,36.8,13.3,17.4,189.2,17.2,79.8,13.2,20.4,1,5.62,1,5.86,-12.94
141,174.7,-57.7,2.76,20.0,16.0,11.8,16.0,N-S,21.4,37.6,12.8,17.2,187.0,16.3,63.5,12.1,19.2,1,5.62,1,6.33,-9.64
142,171.5,-58.1,2.82,20.0,16.0,13.1,17.2,N-S,18.3,36.7,13.5,16.1,186.2,16.6,65.2,13.1,20.2,1,6.41,1,6.56,-10.67
143,175.5,-51.3,3.76,20.0,16.0,11.2,15.9,N-S,18.0,38.0,13.0,18.0,185.8,17.3,66.1,13.3,19.0,1,2.97,1,2.81,-13.11
144,167.9,-59.0,3.29,16.0,20.0,12.2,16.2,E-W,18.3,37.9,14.0,18.5,185.0,16.4,66.3,12.0,17.1,1,5.16,1,5.16,-11.06
145,162.7,-58.7,2.51,20.0,16.0,14.8,18.0,E-W,21.2,39.5,14.5,17.1,189.2,16.4,64.5,12.3,16.6,1,7.34,1,7.5,-10.45
146,181.4,-55.2,2.62,20.0,16.0,12.3,15.3,N-S,22.0,36.2,14.4,17.5,185.7,19.2,64.9,13.9,20.6,1,5.78,1,5.86,-9.45
147,169.9,-54.1,3.53,16.0,20.0,14.7,18.8,N-S,18.7,35.9,13.3,17.0,188.4,16.8,70.4,12.3,20.8,1,6.09,1,6.09,-12.68
148,166.3,-54.6,2.56,16.0,20.0,14.4,19.2,E-W,20.8,40.0,14.0,18.0,188.0,19.5,72.9,12.0,17.9,1,7.03,1,10.31,-8.9
149,167.0,-50.4,3.07,20.0,16.0,12.6,17.4,E-W,19.3,37.8,12.8,16.1,188.1,18.3,69.1,14.2,18.5,1,3.91,1,3.98,-13.42
150,182.2,-51.8,3.25,20.0,16.0,13.2,17.6,E-W,20.5,37.6,13.8,17.9,184.8,17.6,65.0,11.7,19.5,1,6.09,1,3.28,-14.31
151,168.0,-57.2,3.51,20.0,16.0,12.3,16.1,E-W,19.8,37.7,12.7,17.5,184.7,16.3,79.2,12.4,18.1,1,3.91,1,3.98,-12.09
152,172.7,-50.3,3.36,20.0,16.0,13.3,16.8,N-S,17.9,40.1,12.6,18.6,189.2,19.7,76.5,11.3,17.9,1,6.41,1,6.56,-10.24
153,177.8,-50.4,2.81,16.0,20.0,13.0,16.3,E-W,21.7,37.6,12.3,18.4,187.3,19.5,68.6,12.0,19.5,1,6.72,1,7.03,-9.22
154,174.8,-51.5,2.89,16.0,20.0,12.3,17.2,E-W,16.3,36.6,13.4,18.4,184.6,18.5,78.3,13.3,20.5,1,6.88,1,7.03,-10.18
155,173.9,-51.0,3.49,20.0,16.0,15.6,19.0,E-W,17.8,38.1,12.6,17.7,183.8,19.7,77.2,11.2,18.3,1,7.66,1,8.44,-10.56
156,160.7,-50.0,3.06,16.0,20.0,12.3,16.9,N-S,19.5,36.6,13.3,16.7,189.0,16.4,76.0,12.0,17.8,1,5.31,1,10.31,-6.64
157,161.2,-56.4,2.84,16.0,20.0,12.6,16.5,N-S,17.4,36.2,14.1,17.9,187.2,16.3,69.9,12.7,17.2,1,5.78,1,5.86,-10.68
158,179.2,-55.9,3.32,20.0,16.0,12.1,16.3,E-W,16.7,40.0,13.9,17.9,184.5,19.2,62.6,13.4,21.6,1,8.59,1,9.38,-6.88
159,181.1,-56.3,2.58,16.0,20.0,14.6,18.9,E-W,21.5,40.5,13.9,17.5,185.9,19.2,67.2,12.3,19.6,1,6.25,1,6.56,-12.32
160,161.0,-57.3,2.93,20.0,16.0,14.7,19.5,E-W,19.4,36.4,13.9,18.7,188.7,18.8,78.3,11.6,20.3,1,4.84,1,4.92,-14.57
161,175.3,-58.4,3.57,16.0,20.0,13.8,17.1,E-W,16.9,38.8,13.1,16.8,184.7,18.3,65.9,11.0,17.3,1,5.94,1,8.44,-8.64
162,178.5,-51.8,3.43,20.0,16.0,10.3,14.8,N-S,18.0,38.1,12.9,18.3,184.9,19.4,77.8,14.1,21.9,1,6.25,1,6.33,-8.52
