draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
148,219.5,-59.9,3.91,20.0,16.0,12.1,15.5,N-S,19.4,36.1,13.3,19.1,184.9,18.7,60.7,13.9,20.1,0,,0,22.03,6.56
149,219.8,-57.6,4.14,20.0,16.0,15.8,19.6,E-W,21.1,36.5,13.2,17.4,187.8,18.5,62.0,12.0,18.6,0,,0,20.62,1.02
150,222.1,-58.8,4.42,20.0,16.0,14.1,17.4,E-W,16.2,38.9,14.2,16.6,187.4,19.0,78.5,13.0,21.1,0,,0,20.62,3.25
151,224.0,-60.4,4.56,20.0,16.0,13.9,18.7,N-S,16.4,37.1,14.8,17.9,185.6,19.4,72.5,11.9,20.7,0,,0,22.97,4.27
152,218.1,-59.3,4.37,16.0,20.0,10.5,14.6,E-W,17.0,39.7,13.7,18.0,187.7,19.4,67.9,11.0,17.0,0,,0,17.81,3.24
153,221.1,-59.6,4.39,16.0,20.0,9.9,14.4,N-S,19.4,35.5,13.0,16.5,186.6,18.6,79.0,12.6,17.8,0,,0,18.98,4.55
154,222.0,-59.4,4.57,20.0,16.0,13.7,16.7,N-S,21.0,39.6,13.4,18.0,185.2,16.1,78.0,13.9,19.8,0,,0,19.22,2.5
155,220.0,-58.1,4.71,16.0,20.0,12.2,16.1,N-S,17.2,36.5,14.5,17.5,184.5,18.8,64.5,13.6,21.8,0,,0,20.62,4.48
156,218.8,-58.2,4.32,20.0,16.0,12.1,15.8,N-S,20.2,39.7,14.0,16.5,187.9,16.2,67.0,12.9,20.5,0,,0,19.45,3.67
157,219.2,-60.2,4.46,16.0,20.0,12.1,16.1,E-W,20.9,36.2,13.3,17.0,183.9,19.4,62.8,13.2,19.4,0,,0,18.98,2.86
158,223.3,-59.3,4.41,16.0,20.0,14.5,19.3,N-S,18.4,39.1,12.4,17.4,188.4,17.4,63.8,12.4,17.5,0,,1,17.58,-1.74
159,218.7,-59.5,3.96,16.0,20.0,16.3,19.7,E-W,17.2,38.7,12.8,15.9,189.3,19.3,79.6,11.7,17.4,0,,1,16.88,-2.81
160,219.2,-59.6,4.71,20.0,16.0,13.2,17.8,N-S,19.4,37.0,12.5,16.7,188.0,18.4,69.5,12.3,20.3,0,,0,19.22,1.38
161,218.9,-58.1,4.39,20.0,16.0,12.0,16.1,N-S,18.0,38.3,13.4,18.0,183.6,17.0,74.9,11.6,18.6,0,,0,23.2,7.09
162,221.4,-57.7,4.56,16.0,20.0,15.1,18.8,E-W,20.2,39.4,14.3,16.4,186.4,18.1,68.0,13.1,18.1,0,,0,18.98,0.15
163,222.3,-60.0,4.58,20.0,16.0,11.8,15.9,N-S,16.9,39.3,14.9,18.0,186.4,17.8,76.9,11.9,20.7,0,,0,21.33,5.48
164,220.2,-58.9,4.05,20.0,16.0,16.2,19.4,N-S,19.5,37.0,12.8,17.2,185.4,16.5,71.1,13.5,21.9,0,,0,20.62,1.26
165,219.2,-59.5,4.06,16.0,20.0,9.4,14.1,E-W,17.2,37.2,13.7,18.1,184.7,16.7,66.9,13.1,21.1,0,,0,19.92,5.85
166,221.6,-59.0,4.0,16.0,20.0,13.9,18.7,E-W,18.1,36.1,14.0,17.8,189.1,17.6,61.8,13.0,19.8,0,,0,21.33,2.65
167,222.1,-59.7,4.37,20.0,16.0,10.0,14.3,E-W,21.9,39.0,13.7,17.5,189.0,19.2,64.2,14.5,19.6,0,,0,19.92,5.61
168,219.3,-59.1,4.02,16.0,20.0,16.4,19.9,N-S,20.9,36.0,14.0,16.4,187.8,17.2,63.1,14.0,19.8,0,,0,19.92,0.07
169,223.2,-58.3,4.3,20.0,16.0,12.8,16.7,N-S,17.2,36.2,12.9,17.5,185.7,18.4,73.6,11.6,18.0,0,,0,23.44,6.78
170,221.0,-60.4,4.88,16.0,20.0,9.8,14.0,N-S,19.4,38.8,13.0,18.9,183.7,19.5,65.7,12.6,21.6,0,,0,17.58,3.55
171,220.5,-60.0,3.88,20.0,16.0,15.1,18.5,N-S,16.5,37.2,13.7,18.0,189.4,17.6,72.6,12.5,21.6,0,,0,22.27,3.72
172,222.5,-59.4,3.96,16.0,20.0,14.8,19.0,N-S,18.9,39.0,12.6,17.9,188.7,18.2,62.4,11.7,17.2,0,,1,17.81,-1.22
173,222.3,-57.5,3.99,20.0,16.0,12.0,16.1,E-W,19.7,39.4,13.2,18.2,184.9,17.0,66.3,12.3,21.0,0,,0,27.89,11.82
174,221.7,-59.0,4.49,16.0,20.0,11.3,14.9,N-S,19.9,36.3,14.3,17.9,184.7,16.9,63.7,12.6,19.0,0,,0,20.39,5.53
175,220.7,-59.0,3.82,16.0,20.0,15.7,20.0,N-S,18.0,36.7,12.7,16.2,187.6,17.5,62.0,11.8,17.8,0,,1,18.52,-1.48
176,220.7,-58.0,4.67,16.0,20.0,12.8,16.5,N-S,19.0,37.5,12.9,18.8,185.3,16.4,65.3,13.3,19.2,0,,0,18.98,2.53
177,220.3,-59.1,4.59,20.0,16.0,13.7,18.4,N-S,20.3,39.9,13.4,16.8,184.0,16.3,70.1,13.0,19.1,0,,0,25.55,7.15
178,222.6,-60.3,4.94,16.0,20.0,11.4,16.1,N-S,16.6,39.0,13.1,18.4,187.6,19.6,65.3,13.4,19.5,0,,0,18.28,2.18
