route,from,to,n_samples_over_150m,max_excess_m
R5c,Guillestre,Chateau-Ville-Vieille,9,401.4961076597883
R5c,Ristolas,L'Echalp,4,174.05345241229952
R5c,L'Echalp,Refuge du Viso,2,155.5074279696596
R6,Cavaillon,Pertuis,35,402.70717252200984
R6,Pertuis,Manosque,2,178.44660523007525
R6,Manosque,Sisteron,60,812.419411988589
R6,Sisteron,Tallard,63,822.8383302630307
R6,Tallard,Le Lauzet-Ubaye,58,621.7989032321381
R6,Le Lauzet-Ubaye,Barcelonnette,37,1191.6600749187812
R6,Jausiers,Larche,29,1071.6039262456925
R6,Pietraporzio,Vinadio,20,1024.480776120545
R6,Demonte,Borgo San Dalmazzo,18,501.76376527959815
R6v,Cavaillon,Pertuis,35,402.70717252200984
R6v,Pertuis,Manosque,2,178.44660523007525
R6v,Manosque,Sisteron,60,812.419411988589
R6v,Sisteron,Tallard,63,822.8383302630307
R6v,Tallard,Chorges,26,418.60289368938027
R6v,Chorges,Embrun,48,378.32067623745195
R6v,Embrun,Guillestre,31,1072.6641524995075
R6v,Col de Vars,Jausiers,11,510.4870977478349
R6v,Jausiers,Larche,29,1071.6039262456925
R6v,Pietraporzio,Vinadio,20,1024.480776120545
R6v,Demonte,Borgo San Dalmazzo,18,501.76376527959815
R7,Island (i): Isere-Rhone confluence,Vienne,38,208.57670212068217
R7,Vienne,Lyon,2,181.55122827844184
R7,Bourgoin-Jallieu,Les Echelles,54,457.0327165181197
R7,Les Echelles,Chambery,41,678.3198505068528
R7,Chambery,Annecy,121,1072.4181215764552
R7,Annecy,Geneva,73,916.8696443590163
R7,Geneva,Villeneuve (Vaud),168,1599.6584293410701
R7,Villeneuve (Vaud),Saint-Maurice (Valais),17,594.4764603439764
R7,Martigny,Orsieres,23,1361.078105827363
R7,Orsieres,Bourg-Saint-Pierre,5,283.83144612446495
R7,Col du Grand-Saint-Bernard,Saint-Rhemy-en-Bosses,2,221.6758975886305
R7,Etroubles,Aosta,14,436.3524703305129
R7,Chatillon (Aosta),Pont-Saint-Martin,61,992.8319842525508
