year,pdsi_strasbourg_cell,pdsi_mean_3x3,pdsi_mean_5x5,pdsi_48.25N_7.25E,pdsi_48.25N_7.75E,pdsi_48.25N_8.25E,pdsi_48.75N_7.25E,pdsi_48.75N_7.75E,pdsi_48.75N_8.25E,pdsi_49.25N_7.25E,pdsi_49.25N_7.75E,pdsi_49.25N_8.25E,pdsi_basel_47.75N_7.75E,pdsi_colmar_48.25N_7.25E,pdsi_freiburg_47.75N_7.75E,pdsi_karlsruhe_49.25N_8.25E,pdsi_nancy_48.75N_6.25E,pdsi_stuttgart_48.75N_9.25E,pdsi_strasbourg_cell_rank_wettest1,pdsi_strasbourg_cell_rank_driest1,pdsi_strasbourg_cell_pctile_1500_1600,pdsi_mean_3x3_rank_wettest1,pdsi_mean_3x3_rank_driest1,pdsi_mean_3x3_pctile_1500_1600,pdsi_mean_5x5_rank_wettest1,pdsi_mean_5x5_rank_driest1,pdsi_mean_5x5_pctile_1500_1600
1525,-2.588,-2.517,-2.858,-2.838,-2.817,-2.832,-3.656,-2.588,-2.277,-2.307,-2.469,-0.872,-3.229,-2.838,-3.229,-0.872,-4.507,-3.263,88,14,0.139,87,15,0.149,91,11,0.109
1526,1.631,2.832,2.360,1.191,2.239,3.010,3.362,1.631,3.257,1.931,4.373,4.495,1.191,1.191,1.191,4.495,3.212,2.895,15,87,0.861,5,97,0.960,7,95,0.941
1527,2.298,2.418,2.215,1.947,2.420,2.226,2.227,2.298,2.100,2.184,2.906,3.457,1.735,1.947,1.735,3.457,1.768,2.818,8,94,0.931,8,94,0.931,8,94,0.931
1528,3.783,4.016,3.681,3.603,3.890,3.795,3.928,3.783,3.677,3.601,5.111,4.758,3.175,3.603,3.175,4.758,3.373,2.622,4,98,0.970,2,100,0.990,2,100,0.990
1529,4.496,3.756,3.458,4.304,4.374,3.559,3.509,4.496,2.907,4.331,4.238,2.086,3.730,4.304,3.730,2.086,3.012,3.831,1,101,1.000,3,99,0.980,3,99,0.980
1530,0.004,-0.608,-0.243,0.964,-0.457,-0.293,-1.283,0.004,-0.670,-0.019,-2.604,-1.115,0.551,0.964,0.551,-1.115,-1.933,2.007,46,56,0.554,58,44,0.436,52,50,0.495
1531,1.541,0.603,0.652,1.223,1.803,-0.482,0.120,1.541,-0.138,1.830,0.256,-0.724,-0.114,1.223,-0.114,-0.724,-0.082,1.126,18,84,0.832,38,64,0.634,37,65,0.644
1532,-4.166,-4.426,-4.004,-3.801,-4.419,-4.076,-5.089,-4.166,-5.864,-4.009,-4.135,-4.279,-4.958,-3.801,-4.958,-4.279,-6.121,-4.138,94,8,0.079,97,5,0.050,97,5,0.050
1533,0.022,-0.171,0.018,-0.592,0.329,-1.534,-0.404,0.022,-0.588,0.260,0.774,0.194,-1.175,-0.592,-1.175,0.194,0.629,-0.101,45,57,0.564,49,53,0.525,47,55,0.545
1534,-2.848,-3.214,-2.776,-3.100,-2.977,-3.733,-4.212,-2.848,-3.318,-2.662,-3.496,-2.580,-3.524,-3.100,-3.524,-2.580,-4.170,-0.597,89,13,0.129,92,10,0.099,90,12,0.119
1535,-0.287,-0.625,-0.625,-1.402,-0.139,-1.852,0.472,-0.287,-0.709,-0.271,0.418,-1.854,-2.270,-1.402,-2.270,-1.854,0.474,0.272,53,49,0.485,59,43,0.426,56,46,0.455
1536,-2.958,-3.086,-2.658,-3.603,-3.175,-3.634,-2.441,-2.958,-4.454,-2.709,-2.152,-2.645,-4.361,-3.603,-4.361,-2.645,-3.376,-0.590,92,10,0.099,90,12,0.119,89,13,0.129
1537,0.763,0.595,0.740,-0.297,0.926,-0.120,1.245,0.763,-0.027,0.861,1.690,0.315,-0.644,-0.297,-0.644,0.315,0.849,1.077,32,70,0.693,39,63,0.624,33,69,0.683
1538,-2.576,-2.359,-1.924,-2.654,-3.361,-2.511,-2.069,-2.576,-2.381,-2.300,-2.644,-0.738,-3.081,-2.654,-3.081,-0.738,-3.021,0.711,87,15,0.149,85,17,0.168,81,21,0.208
1539,0.441,0.535,0.780,-0.078,-0.004,-0.466,0.272,0.441,1.196,0.941,0.288,2.229,-1.517,-0.078,-1.517,2.229,0.573,2.659,38,64,0.634,40,62,0.614,31,71,0.703
1540,-2.008,-2.592,-2.237,-2.423,-2.517,-3.665,-2.635,-2.008,-1.735,-1.703,-3.578,-3.066,-4.094,-2.423,-4.094,-3.066,-3.382,-0.890,79,23,0.228,88,14,0.139,85,17,0.168
1541,-1.228,-1.033,-0.906,-1.925,-1.238,-0.534,1.257,-1.228,-1.711,-1.507,-0.057,-2.352,-2.259,-1.925,-2.259,-2.352,-0.858,-0.005,70,32,0.317,68,34,0.337,68,34,0.337
1542,-0.382,-0.580,-0.067,-0.489,-0.498,-0.372,0.526,-0.382,-1.304,-0.656,-0.645,-1.403,0.161,-0.489,0.161,-1.403,0.389,2.103,55,47,0.465,56,46,0.455,49,53,0.525
1543,-2.257,-2.073,-1.712,-2.108,-2.427,-2.322,-2.321,-2.257,-1.800,-2.266,-1.391,-1.767,-1.786,-2.108,-1.786,-1.767,-2.429,-0.360,84,18,0.178,79,22,0.223,77,25,0.248
1544,-1.146,-0.696,-0.634,-0.995,-0.687,-1.134,-0.333,-1.146,-1.307,-1.272,0.865,-0.257,-0.831,-0.995,-0.831,-0.257,-0.907,0.515,66,36,0.356,62,40,0.396,60,42,0.416
1545,1.593,0.773,0.883,0.697,1.331,-0.381,0.282,1.593,1.189,1.396,0.743,0.111,0.582,0.697,0.582,0.111,0.995,0.909,17,85,0.842,34,68,0.673,29,73,0.723
1546,-1.514,-2.080,-1.937,-1.757,-1.817,-2.216,-1.902,-1.514,-1.821,-1.714,-3.123,-2.856,-1.919,-1.757,-1.919,-2.856,-2.900,-1.147,73,29,0.287,81,21,0.208,82,20,0.198
1547,-2.259,-2.498,-2.271,-2.876,-2.519,-2.726,-2.383,-2.259,-3.039,-2.313,-2.491,-1.872,-2.603,-2.876,-2.603,-1.872,-2.318,-1.251,85,17,0.168,86,16,0.158,86,16,0.158
1548,-1.168,-1.258,-0.916,-1.629,-1.362,-2.055,-1.037,-1.168,-1.283,-1.254,-1.232,-0.303,-2.167,-1.629,-2.167,-0.303,-0.754,-0.283,69,33,0.327,72,30,0.297,69,33,0.327
1549,0.312,0.652,0.740,-0.186,0.428,0.375,1.943,0.312,1.122,0.333,0.821,0.717,-0.351,-0.186,-0.351,0.717,0.985,1.929,42,60,0.594,36,66,0.653,34,68,0.673
1550,-0.321,0.062,0.362,-0.037,0.063,0.386,0.428,-0.321,0.373,-0.082,-0.221,-0.029,0.293,-0.037,0.293,-0.029,0.156,2.174,54,48,0.475,46,56,0.554,42,60,0.594
1551,-0.738,-0.923,-0.658,-1.138,-1.243,-0.895,-1.091,-0.738,-1.153,-0.786,-0.421,-0.838,-1.550,-1.138,-1.550,-0.838,-1.079,-0.132,59,43,0.426,67,35,0.347,61,41,0.406
1552,-2.228,-1.815,-1.414,-2.208,-2.434,-1.164,-1.578,-2.228,-1.803,-1.996,-2.069,-0.856,-2.099,-2.208,-2.099,-0.856,-1.228,0.078,83,19,0.188,76,26,0.257,73,29,0.287
1553,0.620,0.350,0.614,-0.086,0.042,0.441,1.143,0.620,1.532,0.722,-0.740,-0.525,0.735,-0.086,0.735,-0.525,0.890,1.065,36,66,0.653,42,60,0.594,38,64,0.634
1554,-2.062,-2.073,-1.863,-2.559,-2.193,-1.627,-1.366,-2.062,-1.521,-2.434,-2.619,-2.278,-1.819,-2.559,-1.819,-2.278,-2.169,-0.344,81,21,0.208,79,22,0.223,80,22,0.218
1555,-0.255,-0.639,-0.532,-1.246,-1.019,-1.313,-0.245,-0.255,0.663,-0.522,-0.827,-0.988,-0.662,-1.246,-0.662,-0.988,0.171,-0.804,52,50,0.495,60,42,0.416,54,48,0.475
1556,-4.316,-4.751,-4.443,-4.905,-5.016,-4.412,-4.341,-4.316,-3.586,-4.527,-6.356,-5.302,-4.715,-4.905,-4.715,-5.302,-5.056,-4.343,96,6,0.059,98,4,0.040,98,4,0.040
1557,-4.398,-3.819,-3.552,-5.092,-4.300,-3.168,-3.317,-4.398,-3.957,-4.010,-2.742,-3.389,-4.439,-5.092,-4.439,-3.389,-2.406,-2.653,97,5,0.050,96,6,0.059,96,6,0.059
1558,-1.926,-1.893,-1.773,-3.557,-2.777,-2.741,-1.927,-1.926,-0.499,-1.682,-1.530,-0.400,-1.925,-3.557,-1.925,-0.400,-0.879,-3.948,78,24,0.238,77,25,0.248,78,24,0.238
1559,-1.897,-1.899,-1.795,-2.895,-2.144,-2.528,-1.466,-1.897,-1.026,-1.705,-2.131,-1.300,-2.270,-2.895,-2.270,-1.300,-1.423,-1.883,77,25,0.248,78,24,0.238,79,23,0.228
