Jefferson/03-02-02-0140	Thomas Jefferson to Joel Barlow, 24 January 1810
Jefferson/03-02-02-0144	John Barnes to Thomas Jefferson, 25 January 1810
Jefferson/03-02-02-0148	Thomas Jefferson to David Campbell, 28 January 1810
Jefferson/03-02-02-0152	Caesar A. Rodney to Thomas Jefferson, 31 January 1810
Jefferson/03-02-02-0156	Wilson Cary Nicholas to Thomas Jefferson, 4 February 1810
Jefferson/03-02-02-0160	Eli Alexander to Thomas Jefferson, 6 February 1810
Jefferson/03-02-02-0192	Thomas Jefferson to James Martin, 18 February 1810
Jefferson/03-02-02-0195	Walter Jones to Thomas Jefferson, 19 February 1810
Jefferson/03-02-02-0198	William B. W. Allone to Thomas Jefferson, 20 February 1810
Jefferson/03-02-02-0201	ERR <urlopen error [Errno 104] Connection reset by peer>
Jefferson/03-02-02-0204	Thomas Jefferson to William G. D. Worthington, 24 February 1810
Jefferson/03-02-02-0284	Thomas Jefferson to Robert Fulton, 16 April 1810
Jefferson/03-02-02-0287	Thomas Jefferson to Thomas Jefferson Randolph, 16 April 1810
Jefferson/03-02-02-0290	Thomas Jefferson to Gilbert C. Russell, 18 April 1810
Jefferson/03-02-02-0293	Thomas Jefferson to John Adlum, 20 April 1810
Jefferson/03-02-02-0296	Thomas Jefferson to John Wayles Eppes, 21 April 1810
Jefferson/03-02-02-0299	Archibald Fisher to Thomas Jefferson, 23 April 1810
Jefferson/03-02-02-0302	John Harvie to Thomas Jefferson, 27 April 1810
Jefferson/03-02-02-0305	Littleton W. Tazewell to Thomas Jefferson, 29 April 1810
Jefferson/03-02-02-0312	Thomas Jefferson to William C. C. Claiborne, 3 May 1810
Jefferson/03-02-02-0316	James H. Hooe to Thomas Jefferson, 4 May 1810
Jefferson/03-02-02-0320	Thomas Jefferson to Joseph Scott, 5 May 1810
Jefferson/03-02-02-0324	William Thornton to Thomas Jefferson, 7 May 1810
Jefferson/03-02-02-0328	Thomas Jefferson’s Account with John H. Craven, [after 9 May 1 …
Jefferson/03-02-02-0332	Thomas Jefferson to James H. Hooe, 10 May 1810
Jefferson/03-02-02-0336	John Strode to Thomas Jefferson, 12 May 1810
Jefferson/03-03-02-0080	George Jefferson to Thomas Jefferson, 28 September 1810
Jefferson/03-03-02-0100	Thomas Jefferson to Henry Wheaton, 9 October 1810
Jefferson/03-03-02-0120	Thomas Jefferson to William Wardlaw, 22 October 1810
Jefferson/03-03-02-0140	Thomas Jefferson to John Wayles Eppes and William B. Giles, 12 …
Jefferson/03-03-02-0160	Thomas Jefferson to Charles Holt, 23 November 1810
Jefferson/03-03-02-0180	David Bailie Warden to Thomas Jefferson, 11 December 1810
Jefferson/03-03-02-0200	Samuel H. Smith to Thomas Jefferson, 30 December 1810
Jefferson/03-06-02-0280	Thomas Jefferson to Thomas Voigt, 30 July 1813
Jefferson/03-06-02-0300	Thomas Jefferson’s Account with the Mutual Assurance Society …
Jefferson/03-06-02-0320	John L. E. W. Shecut to Thomas Jefferson, 12 August 1813
Jefferson/03-06-02-0340	Thomas Jefferson to Caspar Wistar, 17 August 1813
Jefferson/03-06-02-0360	Josiah Meigs to Thomas Jefferson, 25 August 1813
Jefferson/03-06-02-0380	Thomas Jefferson to Charles Johnston, 7 September 1813
Jefferson/03-06-02-0400	George Logan to Thomas Jefferson, 18 September 1813
Jefferson/03-06-02-0420	Thomas Law to Thomas Jefferson, 1 October 1813
Madison/03-02-02-0143	From James Madison to Robert R. Livingston, 9 December 1809
Madison/03-02-02-0146	To James Madison from William Bentley, 11 December 1809
Madison/03-02-02-0149	To James Madison from the Georgia General Assembly, 12 Decembe …
Madison/03-02-02-0152	To James Madison from William DuBourg, 15 December 1809
