legion,database,province,count,dated_count,pre70,b70_107,b108_140,later141,undated,notes
X Gemina,EDCS,Venetia et Histria / Regio X,13,13,2,0,1,10,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Pannonia inferior,12,11,0,3,5,3,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Dalmatia,12,12,0,0,1,11,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Lusitania,8,2,1,1,0,0,6,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Africa proconsularis,8,2,0,0,0,2,6,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Germania superior,8,8,0,8,0,0,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Latium et Campania / Regio I,7,6,3,1,0,2,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Barbaricum,7,0,0,0,0,0,7,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Samnium / Regio IV,6,5,1,1,1,2,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Numidia,6,2,0,0,1,1,4,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Asia,4,2,0,0,0,2,2,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Gallia Narbonensis,4,2,1,0,1,0,2,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Aemilia / Regio VIII,4,4,1,0,0,3,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Syria,3,2,0,0,0,2,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Achaia,3,3,2,0,1,0,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Liguria / Regio IX,2,2,0,0,0,2,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Baetica,2,1,1,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Mauretania Tingitana,2,1,0,0,1,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Galatia,2,1,0,0,0,1,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Umbria / Regio VI,2,2,0,0,1,1,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Moesia inferior,2,2,0,0,1,1,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Alpes Cottiae,1,1,0,1,0,0,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Etruria / Regio VII,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Macedonia,1,1,0,0,1,0,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Aquitania / Aquitanica,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Belgica,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Dacia,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Bruttium et Lucania / Regio III,1,1,0,1,0,0,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Apulia et Calabria / Regio II,1,1,1,0,0,0,0,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Lugudunensis,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Mauretania Caesariensis,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,Lycia et Pamphylia,1,0,0,0,0,0,1,regex q=(^|[^IVX])X ?/? ?Gem (mode=r); total hits 485; ids not in index 0
X Gemina,EDCS,ALL,485,251,43,44,25,139,234,regex q=(^|[^IVX])X ?/? ?Gem; date band = midpoint of EDCS date range; includes tile stamps/graffiti (categories not filtered)
II Augusta,EDCS,Britannia,1246,129,2,3,22,102,1117,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Roma,56,44,2,4,3,35,12,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Africa proconsularis,38,18,0,1,1,16,20,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Provincia incerta,26,24,0,2,8,14,2,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Numidia,21,8,0,0,1,7,13,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Latium et Campania / Regio I,20,19,3,2,5,9,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Gallia Narbonensis,16,7,1,0,2,4,9,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Moesia inferior,15,15,0,0,0,15,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Pannonia inferior,14,14,0,0,2,12,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Germania superior,13,12,0,3,3,6,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Dacia,13,13,0,0,3,10,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Mauretania Caesariensis,10,6,0,0,0,6,4,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,unknown,9,1,0,0,0,1,8,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Umbria / Regio VI,9,9,3,1,2,3,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Moesia superior,8,8,1,0,0,7,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Alpes Poeninae,7,7,0,0,0,7,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Etruria / Regio VII,7,6,2,1,0,3,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Asia,6,5,0,0,0,5,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Apulia et Calabria / Regio II,6,4,0,0,1,3,2,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Hispania citerior,6,4,1,0,1,2,2,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Dalmatia,6,6,1,0,0,5,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Syria,5,4,0,2,1,1,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Baetica,5,3,1,0,0,2,2,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Aemilia / Regio VIII,5,2,0,1,0,1,3,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Liguria / Regio IX,4,2,1,0,0,1,2,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Samnium / Regio IV,4,2,0,0,0,2,2,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Pannonia superior,4,3,0,1,1,1,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Germania inferior,3,2,0,0,0,2,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Venetia et Histria / Regio X,3,3,1,2,0,0,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Thracia,3,3,0,0,0,3,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Galatia,3,2,1,1,0,0,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Noricum,3,3,0,0,0,3,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Alpes Maritimae,2,2,0,0,0,2,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Lugudunensis,2,2,0,0,0,2,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Bruttium et Lucania / Regio III,2,2,0,1,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Palaestina,2,2,0,1,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Picenum / Regio V,2,2,0,0,0,2,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Macedonia,2,2,0,2,0,0,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Transpadana / Regio XI,1,1,1,0,0,0,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Achaia,1,0,0,0,0,0,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Lusitania,1,0,0,0,0,0,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Mauretania Tingitana,1,1,0,0,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Aquitania / Aquitanica,1,1,0,0,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Pontus et Bithynia,1,1,0,0,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Sicilia,1,1,0,0,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Sardinia,1,1,0,0,1,0,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Belgica,1,0,0,0,0,0,1,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,Cappadocia,1,1,0,0,0,1,0,regex q=(^|[^IVXL])II ?/? ?Aug (mode=r); total hits 1616; ids not in index 0
II Augusta,EDCS,ALL,1616,407,21,28,57,301,1209,regex q=(^|[^IVXL])II ?/? ?Aug; date band = midpoint of EDCS date range; includes tile stamps/graffiti (categories not filtered)
XX Valeria Victrix,EDCS,Britannia,550,117,0,5,16,96,433,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Roma,38,31,4,4,5,18,7,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Baetica,21,13,2,1,3,7,8,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Latium et Campania / Regio I,18,15,1,2,4,8,3,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Hispania citerior,14,8,0,1,1,6,6,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Africa proconsularis,13,2,0,0,0,2,11,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Numidia,13,2,0,0,0,2,11,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Asia,8,7,0,0,2,5,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Mauretania Caesariensis,8,1,0,0,0,1,7,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Dalmatia,8,7,0,2,2,3,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Etruria / Regio VII,7,7,0,2,1,4,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Venetia et Histria / Regio X,6,6,0,2,2,2,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Gallia Narbonensis,6,1,0,1,0,0,5,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Samnium / Regio IV,6,5,1,0,1,3,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Provincia incerta,6,4,0,0,0,4,2,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Lusitania,5,0,0,0,0,0,5,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Pannonia superior,5,4,0,0,0,4,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Aquitania / Aquitanica,5,2,2,0,0,0,3,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Aemilia / Regio VIII,5,4,0,2,1,1,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Palaestina,4,4,0,1,1,2,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Dacia,4,4,0,0,0,4,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Moesia inferior,4,4,0,0,1,3,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Sardinia,4,4,0,0,1,3,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Umbria / Regio VI,4,4,1,0,2,1,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Lugudunensis,3,1,0,0,0,1,2,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Moesia superior,3,3,0,0,0,3,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Noricum,3,3,0,0,1,2,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Picenum / Regio V,3,3,0,0,2,1,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Germania inferior,3,3,0,0,0,3,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Germania superior,2,2,0,0,0,2,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Mauretania Tingitana,2,1,0,0,1,0,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Belgica,2,1,0,0,0,1,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Syria,2,2,0,2,0,0,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Sicilia,2,1,0,0,0,1,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Achaia,2,2,0,0,1,1,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Galatia,2,1,0,0,0,1,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Macedonia,2,1,1,0,0,0,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Thracia,2,2,0,0,0,2,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Regnum Bospori,2,2,0,0,0,2,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Liguria / Regio IX,1,1,0,0,1,0,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Bruttium et Lucania / Regio III,1,1,0,0,0,1,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Arabia,1,0,0,0,0,0,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Aegyptus,1,0,0,0,0,0,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Cappadocia,1,0,0,0,0,0,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Pannonia inferior,1,1,0,0,0,1,0,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,Apulia et Calabria / Regio II,1,0,0,0,0,0,1,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic) (mode=r); total hits 804; ids not in index 0
XX Valeria Victrix,EDCS,ALL,804,287,12,25,49,201,517,regex q=(^|[^X])XX ?/? ?(Val|Vic|val|vic); date band = midpoint of EDCS date range; includes tile stamps/graffiti (categories not filtered)
