draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
84,223.4,-59.7,3.1,16.0,20.0,12.3,15.7,N-S,21.7,40.3,13.5,18.1,189.2,19.9,74.6,10.8,18.4,0,,0,18.52,2.82
85,220.6,-59.9,3.65,20.0,16.0,12.3,16.0,E-W,17.1,37.6,13.4,17.2,183.5,18.7,67.8,13.2,17.5,0,,0,20.86,4.87
86,219.5,-58.9,3.19,16.0,20.0,15.1,18.4,E-W,17.0,37.9,13.2,17.5,184.4,18.5,72.6,13.2,18.7,0,,0,19.22,0.8
87,220.7,-59.7,2.83,16.0,20.0,10.3,14.1,N-S,18.4,40.6,13.3,16.1,185.5,19.6,72.5,13.5,21.0,1,8.75,1,8.91,-5.21
88,218.1,-58.4,2.75,16.0,20.0,13.8,18.7,E-W,17.6,39.8,14.0,17.3,184.4,18.5,71.0,11.1,19.2,0,,0,19.22,0.54
89,220.5,-58.6,3.34,20.0,16.0,14.9,19.5,E-W,19.3,38.1,14.1,18.3,186.2,17.0,65.5,13.4,19.6,0,,0,21.56,2.07
90,220.5,-59.4,3.18,16.0,20.0,12.6,17.4,E-W,19.8,38.6,12.5,16.2,185.2,19.2,68.6,11.7,19.8,0,,1,17.34,-0.02
91,220.6,-60.4,2.52,20.0,16.0,14.3,18.9,E-W,16.6,39.5,13.9,17.7,184.8,18.9,60.3,11.7,20.7,0,,0,20.86,1.98
92,223.4,-60.4,2.76,20.0,16.0,14.1,17.2,N-S,16.9,36.7,13.5,17.3,185.9,17.0,72.4,14.1,20.2,0,,0,30.94,13.7
93,220.3,-58.4,3.53,20.0,16.0,16.1,19.2,N-S,20.1,38.6,13.5,17.6,188.0,16.3,67.9,12.6,20.1,0,,0,20.16,1.0
94,222.2,-60.3,3.14,20.0,16.0,13.6,17.8,E-W,16.5,40.5,13.8,17.3,185.1,18.4,76.3,11.9,20.9,0,,0,20.16,2.34
95,218.9,-58.8,3.51,20.0,16.0,11.4,14.8,N-S,16.8,37.6,12.8,19.0,186.8,17.4,74.7,12.2,20.4,0,,0,21.8,7.0
96,221.3,-58.6,3.68,16.0,20.0,16.2,19.3,E-W,17.4,36.4,14.0,18.9,184.9,17.1,71.5,11.3,18.6,0,,0,22.27,2.97
97,219.6,-59.8,2.99,20.0,16.0,10.2,14.7,E-W,21.9,38.0,12.9,16.4,185.1,16.4,71.1,12.4,19.4,0,,0,18.98,4.25
98,222.9,-58.0,3.01,16.0,20.0,10.9,15.1,N-S,20.4,38.4,14.5,17.0,185.0,17.7,73.6,11.4,18.3,0,,0,23.91,8.82
99,223.9,-59.8,3.48,20.0,16.0,15.9,18.9,N-S,20.2,40.7,13.6,18.8,188.5,17.5,69.5,12.8,19.0,0,,0,20.39,1.49
100,220.5,-58.9,2.67,20.0,16.0,13.9,18.3,N-S,18.3,38.2,12.3,17.0,183.8,16.3,79.6,11.6,19.8,0,,0,19.69,1.36
101,221.9,-60.4,2.91,16.0,20.0,12.3,16.0,N-S,18.9,40.4,14.0,17.5,188.0,16.9,75.4,13.0,19.6,0,,0,19.22,3.24
102,219.0,-58.6,3.44,20.0,16.0,14.3,17.5,N-S,16.4,37.9,13.5,17.1,188.2,19.3,65.4,12.1,19.1,0,,0,20.62,3.17
103,218.1,-58.0,3.36,20.0,16.0,12.1,16.6,N-S,19.8,40.5,13.9,18.4,186.7,18.1,79.8,11.3,20.7,0,,0,19.69,3.08
104,223.9,-57.5,2.78,16.0,20.0,15.0,19.8,E-W,20.0,35.9,13.3,17.6,185.3,18.2,62.7,12.0,19.1,0,,0,24.38,4.53
105,220.7,-57.5,2.57,20.0,16.0,13.4,18.0,N-S,22.0,38.8,13.5,17.2,189.0,19.1,63.1,12.3,18.7,0,,0,20.62,2.59
106,222.9,-59.7,2.6,16.0,20.0,15.5,19.7,E-W,20.1,40.5,13.0,18.6,184.1,16.6,65.3,13.7,21.1,0,,0,29.3,9.62
107,222.4,-59.0,3.04,20.0,16.0,10.5,15.1,N-S,20.8,36.9,13.7,18.1,185.8,19.4,64.9,12.3,18.5,0,,0,25.78,10.71
108,221.6,-57.7,3.56,16.0,20.0,13.9,17.7,E-W,18.5,38.4,13.5,18.1,184.9,17.8,62.2,12.5,18.8,0,,0,19.69,2.0
109,222.9,-58.2,3.33,20.0,16.0,12.9,16.5,N-S,21.0,38.4,14.5,18.6,185.8,18.6,70.3,12.0,17.5,0,,0,25.31,8.83
110,219.5,-59.0,2.51,20.0,16.0,12.6,17.2,N-S,17.8,37.8,13.4,17.6,184.4,19.6,73.5,11.2,18.4,0,,0,20.62,3.38
111,218.6,-59.6,2.66,16.0,20.0,11.0,14.1,E-W,17.7,40.5,13.8,16.8,184.7,16.6,60.9,13.1,17.9,1,6.88,1,7.03,-7.11
112,219.7,-59.3,3.5,16.0,20.0,14.2,17.6,E-W,21.9,36.5,12.7,17.2,186.1,17.7,66.8,12.0,17.5,0,,0,18.75,1.17
113,219.1,-59.3,2.54,20.0,16.0,11.2,15.9,E-W,20.6,36.7,14.0,17.4,184.7,18.4,66.2,12.2,17.6,0,,0,22.03,6.14
114,218.1,-59.4,3.75,16.0,20.0,11.2,16.1,E-W,17.7,38.6,13.4,17.4,185.6,19.5,73.9,12.5,20.0,0,,0,18.28,2.17
115,222.4,-59.2,3.0,16.0,20.0,12.4,16.8,N-S,19.5,35.9,13.9,17.5,185.7,18.4,79.3,11.1,20.2,0,,0,21.33,4.49
116,222.9,-57.9,2.73,20.0,16.0,11.6,15.3,E-W,16.4,39.4,13.7,17.7,187.4,16.6,66.0,12.4,19.6,0,,0,22.03,6.74
