draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
314,153.2,-56.2,5.34,20.0,16.0,16.2,19.6,E-W,16.1,37.2,12.8,16.6,184.1,17.2,79.9,14.0,19.9,1,0.16,1,0.23,-19.37
315,146.5,-55.6,5.51,20.0,16.0,12.1,15.3,N-S,17.3,38.2,14.4,18.5,188.2,17.5,64.3,12.3,17.3,0,,0,20.16,4.87
316,138.5,-57.7,5.24,20.0,16.0,15.3,18.6,N-S,18.4,40.7,13.7,17.5,185.1,17.3,65.1,12.9,17.9,0,,0,21.33,2.71
317,142.6,-58.5,5.67,16.0,20.0,11.1,14.3,E-W,20.0,35.9,13.6,18.2,184.5,18.0,75.4,11.3,18.0,0,,0,25.08,10.78
318,147.0,-55.7,5.69,16.0,20.0,15.3,19.9,N-S,21.4,38.5,14.4,19.0,188.2,18.4,63.1,12.8,21.6,0,,0,23.44,3.54
319,137.2,-57.2,5.05,16.0,20.0,12.3,16.4,N-S,18.1,40.0,14.4,18.2,187.1,16.3,71.7,12.5,21.8,0,,0,21.33,4.88
320,134.7,-57.9,5.5,16.0,20.0,15.0,19.6,N-S,20.3,40.9,13.5,16.1,184.9,18.9,76.2,11.8,20.6,1,2.81,1,2.58,-17.07
321,142.9,-52.3,5.21,20.0,16.0,11.2,15.0,E-W,16.8,38.2,13.1,19.1,186.2,18.6,60.6,12.0,19.1,0,,0,25.31,10.32
322,156.9,-58.4,5.74,16.0,20.0,11.5,16.3,N-S,20.0,37.7,13.6,16.3,183.6,19.8,73.2,12.6,19.9,1,1.25,1,1.17,-15.12
323,148.4,-55.7,5.2,20.0,16.0,15.4,19.4,E-W,17.6,36.1,12.4,17.4,186.0,19.3,74.8,13.2,20.1,1,2.66,1,2.58,-16.86
324,136.3,-56.0,5.33,20.0,16.0,13.7,16.8,N-S,16.7,34.9,13.3,15.8,188.2,18.5,69.5,12.3,17.7,1,2.03,1,1.64,-15.17
325,148.1,-51.9,5.16,20.0,16.0,14.5,19.5,N-S,19.0,36.5,14.9,17.1,185.5,16.9,67.3,11.3,20.4,0,,0,21.33,1.86
326,151.8,-55.9,5.03,20.0,16.0,12.1,16.5,N-S,21.7,38.4,13.1,18.4,187.0,18.1,79.1,13.6,18.5,1,1.09,1,1.17,-15.37
327,143.8,-57.8,5.36,20.0,16.0,11.5,15.3,E-W,17.8,36.9,12.1,16.7,183.9,16.9,69.3,12.1,18.9,0,,0,22.73,7.47
328,155.6,-53.5,5.57,20.0,16.0,10.1,15.1,N-S,17.3,40.7,13.7,18.2,184.8,17.1,77.6,11.5,20.7,1,1.25,1,1.41,-13.71
329,141.6,-53.2,5.41,16.0,20.0,12.5,16.1,N-S,17.8,37.9,13.1,16.4,186.6,19.8,74.4,13.7,21.1,0,,0,21.33,5.18
330,135.5,-55.8,5.27,20.0,16.0,9.5,14.3,N-S,17.8,35.9,13.9,16.4,186.8,18.7,67.6,11.4,18.5,1,2.97,1,2.81,-11.45
331,145.6,-55.5,5.5,16.0,20.0,15.9,19.1,N-S,21.2,38.3,14.5,16.9,187.1,16.9,77.0,11.6,20.2,0,,0,20.62,1.49
332,153.9,-52.9,5.29,16.0,20.0,12.9,17.1,N-S,19.4,39.3,14.4,18.5,185.3,19.3,65.0,12.3,19.3,1,0.0,1,0.0,-17.08
333,144.9,-57.4,5.08,16.0,20.0,13.7,17.2,N-S,16.7,38.5,13.6,16.3,184.4,16.1,70.4,12.3,19.1,0,,0,24.84,7.63
334,143.8,-57.9,5.13,20.0,16.0,14.3,18.3,N-S,18.0,37.4,13.4,18.7,188.6,19.6,73.9,12.7,21.5,0,,0,21.56,3.22
335,139.9,-60.7,5.71,16.0,20.0,11.5,16.0,N-S,17.9,38.8,12.7,17.1,189.0,19.1,76.0,11.9,20.3,0,,0,19.22,3.19
336,151.2,-51.1,5.09,20.0,16.0,15.8,19.3,E-W,17.4,36.3,13.9,17.9,183.6,19.6,62.2,12.6,20.7,1,0.0,1,0.0,-19.25
337,138.4,-50.8,5.3,20.0,16.0,9.8,14.6,N-S,21.2,36.7,13.8,17.3,188.6,17.7,72.4,11.9,18.6,0,,0,19.92,5.36
338,146.2,-58.6,5.56,20.0,16.0,15.6,18.8,N-S,18.2,37.0,13.2,17.5,185.8,20.0,74.8,12.8,18.5,0,,0,21.8,2.99
339,157.9,-55.0,5.21,20.0,16.0,13.4,16.8,N-S,17.3,39.0,14.5,18.8,185.2,19.7,64.5,12.6,19.0,1,0.0,1,0.0,-16.82
340,142.7,-58.1,5.49,20.0,16.0,10.9,14.7,N-S,20.1,39.7,13.7,18.2,185.5,19.9,69.4,11.9,17.3,0,,0,24.38,9.69
341,138.1,-58.3,5.77,16.0,20.0,12.7,17.0,N-S,17.7,35.3,14.3,17.7,189.2,17.6,69.0,13.3,18.7,0,,0,18.52,1.56
342,135.3,-59.1,5.34,16.0,20.0,13.8,17.2,E-W,18.4,37.3,13.5,17.5,183.6,17.9,76.9,12.2,19.6,0,,0,18.28,1.05
343,138.3,-55.1,5.17,20.0,16.0,10.9,15.1,E-W,17.1,38.7,13.7,16.9,189.1,17.2,64.0,12.4,18.5,0,,0,20.86,5.8
