draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
386,247.8,-52.7,3.51,16.0,20.0,12.6,15.8,N-S,16.8,39.0,12.8,17.3,187.6,17.8,70.8,12.3,17.4,0,,0,30.23,14.4
387,240.3,-58.9,3.39,20.0,16.0,11.2,15.4,E-W,16.5,39.2,14.5,18.6,183.9,18.8,72.7,13.2,18.3,0,,0,31.17,15.76
388,233.9,-52.9,3.48,16.0,20.0,15.0,19.0,E-W,21.1,37.7,12.6,17.4,184.7,17.1,60.1,12.2,17.9,0,,0,33.52,14.52
389,235.2,-55.6,3.76,16.0,20.0,15.9,19.8,E-W,20.4,36.5,13.0,18.5,187.4,18.2,74.6,12.4,20.6,0,,0,38.67,18.89
390,246.3,-52.2,3.31,20.0,16.0,11.4,16.2,E-W,20.9,37.5,13.0,16.0,184.9,16.4,60.2,12.8,21.6,0,,0,35.39,19.23
391,251.9,-53.7,3.38,20.0,16.0,9.9,14.2,E-W,17.8,37.8,13.5,16.2,185.3,16.1,65.7,13.4,21.2,0,,0,33.28,19.1
392,246.2,-55.2,3.17,16.0,20.0,10.5,15.0,E-W,21.4,38.0,14.2,17.9,184.6,17.1,77.8,11.9,20.0,0,,0,33.98,18.95
393,249.6,-58.0,3.23,20.0,16.0,10.9,14.3,E-W,20.2,37.1,13.5,16.2,184.4,19.9,80.0,13.9,19.9,0,,0,32.58,18.26
394,258.2,-55.4,3.21,16.0,20.0,15.5,19.5,E-W,20.3,39.7,14.5,17.6,185.5,16.3,73.2,13.0,21.4,0,,0,33.98,14.45
395,240.1,-58.3,2.73,16.0,20.0,12.3,15.7,E-W,16.8,37.7,13.9,17.9,188.1,19.3,74.4,12.0,18.7,0,,0,37.03,21.36
396,257.3,-53.2,3.72,20.0,16.0,11.7,15.0,E-W,18.9,38.5,14.1,17.7,184.7,18.3,70.4,13.2,18.8,0,,0,28.59,13.6
397,252.6,-60.1,3.63,20.0,16.0,10.0,14.7,N-S,18.2,40.4,13.8,18.5,186.7,19.4,65.7,11.0,16.9,0,,0,27.19,12.48
398,237.7,-50.5,3.43,16.0,20.0,15.2,18.9,E-W,21.8,41.2,13.9,17.2,186.2,19.4,74.3,12.3,18.3,0,,0,34.69,15.75
399,238.0,-55.6,3.28,16.0,20.0,15.6,18.9,N-S,17.7,36.6,14.2,17.0,189.0,17.6,72.6,12.9,17.7,0,,0,33.05,14.17
