draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
236,257.5,-55.8,5.59,20.0,16.0,11.0,14.3,N-S,16.6,40.2,14.0,15.7,189.0,18.7,68.4,11.9,20.4,0,,0,31.64,17.31
237,240.7,-51.3,5.18,20.0,16.0,14.7,17.9,E-W,16.3,37.2,14.3,18.9,189.1,19.9,66.3,12.1,18.0,0,,0,32.11,14.17
238,247.7,-52.2,5.16,20.0,16.0,15.6,19.5,N-S,21.5,38.1,13.0,15.8,189.3,16.6,63.6,11.6,19.7,0,,0,32.58,13.06
239,257.5,-56.7,5.3,20.0,16.0,13.4,17.3,N-S,19.3,38.8,12.8,18.8,187.7,16.9,73.7,12.9,18.7,0,,0,28.12,10.86
240,253.1,-50.5,5.4,20.0,16.0,11.3,14.7,N-S,16.9,37.8,13.6,17.0,189.3,18.7,71.2,13.3,21.8,0,,0,35.62,20.97
241,256.7,-55.0,5.25,20.0,16.0,14.3,19.3,N-S,19.1,39.4,12.6,17.2,183.7,16.0,78.7,13.3,19.3,0,,0,27.89,8.61
242,256.9,-50.3,5.33,16.0,20.0,15.1,19.0,E-W,19.3,38.7,13.4,18.0,187.1,17.6,79.8,12.8,21.7,0,,0,34.45,15.5
243,237.8,-57.4,5.36,20.0,16.0,12.8,17.4,E-W,19.4,35.2,12.9,16.0,187.1,16.3,75.0,12.7,22.1,0,,0,38.44,21.04
244,242.7,-59.8,5.14,16.0,20.0,12.6,17.5,E-W,21.2,36.0,12.7,17.6,187.6,17.5,63.8,13.6,20.0,0,,0,35.39,17.91
245,237.7,-50.3,5.71,20.0,16.0,12.7,16.2,N-S,17.0,38.8,13.3,18.5,188.8,16.3,67.3,12.4,21.6,0,,0,38.44,22.27
246,234.0,-52.3,5.26,16.0,20.0,14.0,18.3,E-W,16.3,37.6,12.7,18.5,186.1,17.5,66.5,12.2,16.9,0,,0,30.47,12.19
247,252.8,-54.2,5.13,16.0,20.0,11.4,15.6,N-S,17.2,36.8,14.4,16.4,186.1,19.3,73.8,12.5,19.4,0,,0,31.17,15.58
248,240.6,-59.6,5.6,20.0,16.0,14.7,17.9,E-W,19.4,37.6,12.6,17.5,187.6,18.6,71.7,11.3,18.3,0,,0,30.23,12.36
249,242.5,-60.8,5.72,20.0,16.0,14.1,18.2,N-S,20.6,37.7,12.3,17.9,183.7,19.9,67.6,12.6,19.4,0,,0,30.7,12.46
250,258.2,-55.6,5.12,16.0,20.0,12.3,17.0,E-W,20.4,38.9,13.9,18.7,188.6,18.6,69.0,12.7,18.1,0,,0,28.59,11.55
251,253.3,-52.5,5.16,20.0,16.0,12.0,15.2,N-S,19.0,38.4,12.3,15.8,184.0,17.1,67.1,10.7,19.2,0,,0,28.12,12.91
252,255.9,-51.6,5.1,16.0,20.0,13.4,16.6,N-S,16.4,39.3,13.1,17.9,187.8,19.1,76.6,12.0,18.2,0,,0,29.06,12.48
253,256.4,-54.1,5.54,16.0,20.0,14.7,19.3,N-S,18.3,39.1,14.0,17.5,184.8,19.5,75.5,12.5,18.8,0,,0,28.59,9.27
254,251.0,-56.9,5.13,20.0,16.0,15.0,18.4,N-S,18.7,39.3,14.1,18.8,185.4,19.5,67.2,12.4,21.8,0,,0,34.22,15.8
255,247.2,-50.4,5.71,16.0,20.0,11.5,14.6,N-S,19.2,35.7,14.2,16.8,189.3,17.1,61.2,13.0,19.1,0,,0,32.34,17.71
256,257.3,-56.8,5.14,20.0,16.0,14.2,17.5,E-W,17.7,37.2,14.6,18.4,186.5,17.6,61.1,13.7,18.9,0,,0,28.12,10.66
257,253.2,-58.6,5.09,16.0,20.0,12.2,16.4,N-S,20.4,39.7,14.1,17.4,187.2,17.9,71.6,13.0,18.4,0,,0,29.3,12.92
258,243.4,-56.1,5.14,20.0,16.0,15.7,18.8,N-S,18.8,39.2,13.5,17.0,186.1,19.7,73.2,14.2,22.0,0,,0,37.03,18.19
259,248.7,-57.6,5.75,20.0,16.0,14.5,18.7,N-S,16.2,38.5,13.1,16.5,188.4,19.0,64.8,12.6,21.7,0,,0,35.86,17.15
260,241.3,-57.4,5.29,16.0,20.0,14.4,18.6,N-S,16.6,37.2,13.9,17.0,189.0,19.9,64.5,11.9,19.8,0,,0,33.28,14.71
261,249.6,-59.7,5.72,20.0,16.0,13.5,16.6,E-W,20.3,35.3,12.5,18.1,184.2,16.7,62.2,12.5,18.9,0,,0,28.12,11.56
262,234.5,-51.1,5.56,20.0,16.0,9.9,14.4,E-W,17.8,35.0,13.4,17.7,184.6,20.0,75.2,13.2,19.8,0,,0,34.45,20.07
