QUERY: silverstar AND date within "1946-01-01 1950-12-31" | total 76 | showing years 1946-1950
  1949/08/17 | Het Rotterdamsch parool | p4 | MMSARO02:164873041:mpeg21:a00085 | SCHEEPVAART
  1949/09/21 | Het Rotterdamsch parool | p3 | MMSARO02:164873071:mpeg21:a00046 | SCHEEPVAART
  1947/09/05 | Algemeen Handelsblad | p | KBNRC01:000062018:mpeg21:a0034 | De Amerikaanse lening aan Luxemburg EEN INTERVIEW MET PIERRE WERNER
  1949/09/21 | Het vrĳe volk : democratisch-socialistisch dagblad | p2 | ddd:010950202:mpeg21:a0119 | Scheepvaartberichten
  1947/08/16 | De Nederlandsche transportcourant | p3 | MMKB19:000824187:mpeg21:a00053 | SCHEEPSTIJDINGEN
  1947/08/12 | De Nederlandsche transportcourant | p3 | MMKB19:000824183:mpeg21:a00038 | SCHEEPSTIJDINGEN
  1947/08/30 | De Nederlandsche transportcourant | p3 | MMKB19:000824199:mpeg21:a00038 | SCHEEPSTIJDINGEN
  1947/08/26 | De Nederlandsche transportcourant | p3 | MMKB19:000824195:mpeg21:a00040 | SCHEEPSTIJDINGEN
  1947/08/23 | De Nederlandsche transportcourant | p3 | MMKB19:000824193:mpeg21:a00035 | SCHEEPSTIJDINGEN
  1947/08/09 | De Nederlandsche transportcourant | p3 | MMKB19:000824181:mpeg21:a00046 | SCHEEPSTIJDINGEN
  1947/09/20 | De Nederlandsche transportcourant | p3 | MMKB19:000824216:mpeg21:a00025 | SCHEEPSTIJDINGEN
  1947/09/13 | De Nederlandsche transportcourant | p3 | MMKB19:000824210:mpeg21:a00030 | SCHEEPSTIJDINGEN
  1947/09/06 | De Nederlandsche transportcourant | p3 | MMKB19:000824204:mpeg21:a00035 | SCHEEPSTIJDINGEN
  1947/09/04 | De Nederlandsche transportcourant | p3 | MMKB19:000824202:mpeg21:a00041 | SCHEEPSTIJDINGEN
  1947/09/02 | De Nederlandsche transportcourant | p3 | MMKB19:000824200:mpeg21:a00038 | SCHEEPSTIJDINGEN
  -> 76 in range
QUERY: lijken AND schip AND drijvend AND aangetroffen AND date within "1947-06-01 1948-06-30" | total 0 | showing years 1947-1948
  -> 0 in range
QUERY: onbemand AND schip AND aangetroffen AND date within "1947-06-01 1948-06-30" | total 1 | showing years 1947-1948
  1948/02/10 | Harlinger courant | p2 | MMTRES04:211345012:mpeg21:a00007 | TERSCHELLING.
  -> 1 in range
QUERY: malakka AND straat AND (wrak OR drijvend OR lijken OR ontploffing OR explosie) AND date within "1947-06-01 1948-06-30" | total 16 | showing years 1947-1948
  1948/03/09 | Nieuwsblad van het Zuiden | p3 | MMKB19:000614058:mpeg21:a00042 | De wereld rond
  1948/03/09 | Zutphensch dagblad voor Achterhoek en Veluwezoom | p1 | MMRAZ03:179293058:mpeg21:a00023 | NIEUWS IN FLITSEN
  1948/03/09 | Deventer dagblad | p1 | MMHCO02:163894058:mpeg21:a00023 | NIEUWS IN FLITSEN
  1947/07/26 | Ons Noorden | p2 | MMRHCG04:235371173:mpeg21:a00021 | REPUBLIJKFINSE BERICHTEN. Zware gevechten in alle gebieden
  1947/07/04 | De Maasbode | p1 | MMKB15:000549004:mpeg21:a00006 | „DE DEUR BLIJFT OPEN”
  1948/03/10 | Nieuwe Winterswijksche courant | p1 | MMECAL02:180035030:mpeg21:a00001 | ’s Lands wijs
  1948/02/02 | Bredasche courant | p | MMSAB03:000068239:mpeg21:a0069 | SCHEEPVAART
  1948/01/14 | De Maasbode | p3 | MMKB15:000554011:mpeg21:a00036 | Financiën
  1948/01/14 | De Nederlandsche transportcourant | p2 | MMKB19:003646011:mpeg21:a00015 | SCHEEPSTIJDINGEN
