QUERY: "nederlandsch schip" AND pacific AND "S.O.S." AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: doodenschip AND date within "1940-01-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 8 
1940/02/09 | De Tĳd : godsdienstig-staatkundig dagblad | p3 | ddd:010989195:mpeg21:a0075 | Toen Paus Pius XI stierf 10 FEBRUARI 1939 (Van onzen Romeinschen correspondent) | Koninklijke Bibliotheek C 236
1940/02/09 | Nieuwe Haarlemsche courant | p9 | MMNHA03:179203016:mpeg21:a00149 | Toen Paus Pius XI stierf | Noord-Hollands Archief

QUERY: "geheimzinnig S.O.S." | collection: DDD_artikel | numberOfRecords: 19 
1936/02/04 | De avondpost | p2 | MMKB27:017932057:mpeg21:a00025 | Geheimzinnig S.O.S. | Koninklijke Bibliotheek
1936/02/05 | De Gooi- en Eemlander : nieuws- en advertentieblad | p9 | ddd:011172128:mpeg21:a0166 | BUITENLAND. | Koninklijke Bibliotheek MM03C-101523
1939/05/17 | Algemeen handelsblad voor Nederlandsch-Indië | p7 | MMKB19:000477038:mpeg21:a00103 | S.O.S.-Sein opgevangen. | Koninklijke Bibliotheek
1936/02/05 | Bredasche courant | p | MMSAB03:000066253:mpeg21:a0091 | Geheimzinnig S.O.S. VAN ONDERZEEëR OF VLIEGTUIG ? | Stadsarchief Breda
1971/03/29 | Suriname : koloniaal nieuws- en advertentieblad | p1 | ddd:011195552:mpeg21:a0034 | GEHEIMZINNIG S.O.S. | Koninklijke Bibliotheek C 82
1971/03/29 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p3 | ddd:010470123:mpeg21:a0068 | Geheimzinnig s.o.s. | KB C 251
1954/08/20 | Nieuwsblad van het Noorden | p1 | ddd:010888328:mpeg21:a0007 | Geheimzinnig S.O.S. | Koninklijke Bibliotheek 649-1334
1959/11/30 | Het Binnenhof | p10 | MMKB19:002056052:mpeg21:a00138 | Geheimzinnig S.O.S. op Noordzee | Koninklijke Bibliotheek
1925/05/06 | De Sumatra post | p11 | ddd:010970056:mpeg21:a0126 | Zware stormen. | Koninklijke Bibliotheek 1634 C1
1931/03/30 | Algemeen Handelsblad | p6 | ddd:010661309:mpeg21:a0233 | VEREENIGDE STATEN. GEHEIMZINNIG S.O.S. Noodseln van onbekende passagiersboot. | KB C 21
1931/04/02 | Limburgsch dagblad | p5 | ddd:010930309:mpeg21:a0168 | GEHEIMZINNIG S.O.S. Noodsein van onbekende passagiersboot. | Koninklijke Bibliotheek C 101
1931/04/02 | De Limburger | p5 | MMKB23:001218075:mpeg21:a00120 | GEHEIMZINNIG S.O.S. Noodsein van onbekende passagiersboot. | Archief De Domijnen
1939/08/03 | De avondpost | p9 | MMKB27:021096056:mpeg21:a00110 | BUITENLAND Geheimzinnig S.O.S. Olietanker zou in Golf van Mexico in nood verkeeren | Koninklijke Bibliotheek
1939/11/02 | Algemeen handelsblad voor Nederlandsch-Indië | p1 | MMKB19:000471028:mpeg21:a00001 | Nieuws, | Koninklijke Bibliotheek
1929/11/23 | Het nieuws van den dag voor Nederlandsch-Indië | p5 | ddd:010221623:mpeg21:a0156 | TELEGRAMMEN. HET BRITSCHE RIJK. Geheimzinnig S.O.S.-teeken. | KB C55
1925/05/14 | Sumatra-bode | p5 | MMKB19:002120101:mpeg21:a00014 | Telegrammen. | Koninklijke Bibliotheek
1939/11/02 | Algemeen handelsblad voor Nederlandsch-Indië | p5 | MMKB19:000471028:mpeg21:a00059 | Molatov veroorzaakt Opschudding in Finland | Koninklijke Bibliotheek
1925/05/07 | Deli courant | p2 | MMKB15:000084006:mpeg21:a00003 | TELEGRAMMEN. | Koninklijke Bibliotheek
1931/03/31 | Utrechtsche courant | p5 | MMUTRA04:253333076:mpeg21:a00045 | GEMENGD BUITENLANDSCH NIEUWS. | Het Utrechts Archief

QUERY: "doode bemanning" AND date within "1940-01-01 1941-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: spookschip AND date within "1940-09-01 1941-03-31" | collection: DDD_artikel | numberOfRecords: 52 
1940/09/21 | Nieuwe Haarlemsche courant | p4 | MMNHA03:179210035:mpeg21:a00070 | WAAR DE FILMBAND ROLT CINEMA PALACE | Noord-Hollands Archief
1940/09/21 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179210036:mpeg21:a00040 | Haarlem, 21 Sept. | Noord-Hollands Archief
1940/09/20 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179210034:mpeg21:a00039 | Haarlem, 20 Sept. | Noord-Hollands Archief
1940/09/21 | Haarlem's dagblad | p6 | ddd:010990393:mpeg21:a0157 | Avonturen op het spookschip. | Koninklijke Bibliotheek C 232
1940/09/24 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179210040:mpeg21:a00040 | Haarlem, 24 Sept. | Noord-Hollands Archief
1940/09/25 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179210042:mpeg21:a00039 | Haarlem, 25 Sept. | Noord-Hollands Archief
1940/09/20 | Het nationale dagblad : voor het Nederlandsche volk | p6 | ddd:011132340:mpeg21:a0134 | HAARLEM | Koninklijke Bibliotheek NBM Mfm MMK 0021
1940/09/21 | Het nationale dagblad : voor het Nederlandsche volk | p6 | ddd:011132341:mpeg21:a0160 | HAARLEM | Koninklijke Bibliotheek NBM Mfm MMK 0021
1941/03/29 | Limburger koerier : provinciaal dagblad | p5 | ddd:010326730:mpeg21:a0287 | Schaesberg. | KB C 51
1940/09/21 | Haarlem's dagblad | p2 | ddd:010990393:mpeg21:a0090 | ZONDAG 22 SEPTEMBER | Koninklijke Bibliotheek C 232
1940/09/23 | Haarlem's dagblad | p6 | ddd:010990394:mpeg21:a0139 | AGENDA. Heden: MAANDAG 23 SEPTEMBER. | Koninklijke Bibliotheek C 232
1940/09/25 | Haarlem's dagblad | p3 | ddd:010990396:mpeg21:a0083 | AGENDA. WOENSDAG 25 SEPTEMBER. | Koninklijke Bibliotheek C 232
1940/09/24 | Haarlem's dagblad | p2 | ddd:010990395:mpeg21:a0052 | AGENDA. Heden: DINSDAG 24 SEPTEMBER. | Koninklijke Bibliotheek C 232
1940/09/26 | De Telegraaf | p6 | ddd:110579230:mpeg21:a0116 | Bioscopen | KB C 98
1940/09/23 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179210038:mpeg21:a00039 | Haarlem, 23 Sept. | Noord-Hollands Archief
1940/09/25 | De Telegraaf | p6 | ddd:110579228:mpeg21:a0105 | HAARLEM, 25 September. Bioscopen. | KB C 98
1940/09/23 | De Telegraaf | p10 | ddd:110579225:mpeg21:a0186 | HAARLEM, 23 September. Bioscopen | KB C 98
1940/09/24 | De Telegraaf | p8 | ddd:110579227:mpeg21:a0167 | Bioscopen | KB C 98
1940/09/21 | Haarlem's dagblad | p2 | ddd:010990393:mpeg21:a0089 | AGENDA. Heden: ZATERDAG 21 SEPTEMBER. | Koninklijke Bibliotheek C 232
1940/09/23 | Oprechte Haarlemsche courant | p2 | ddd:110530257:mpeg21:a0020 | AGENDA | KB C 37
