QUERY: "straat malakka" | total 18870 | showing years 1947-1948 (capped at 6000)
  1948/01/20 | Provinciale Drentsche en Asser courant | p | MMDA03:000116334:mpeg21:a0031 | Waar zijn onze schepen ?
  1947/05/27 | Nieuwe Apeldoornsche courant | p | MMCODA01:000160966:mpeg21:a0032 | SCHEEPVAARTBERICHTEN.
  1948/12/07 | De Zaanlander | p | MMGAZS01:000107057:mpeg21:a00022 | SCHEEPSBERICHTEN
  1947/04/03 | De Zaanlander | p | MMGAZS01:000112077:mpeg21:a00061 | Zeevarend Nederland
  1948/04/05 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000069704:mpeg21:a0024 | Scheepvaartberichten. ZATERDAG 3 APRIL.
  1947/06/14 | Algemeen Indisch dagblad | p | MMNIOD04:000092382:mpeg21:a0017 | ZEEROVERIJ IN STRAAT MALAKKA.
  1947/05/12 | Nieuwe courant | p | MMNIOD04:000100369:mpeg21:a0047 | M.W.O. UITGEREIKT
  1947/06/12 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p2 | ddd:010897470:mpeg21:a0041 | Zeeroverij in Straat Malakka Politie staat machteloos
  1947/04/29 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p1 | ddd:010897436:mpeg21:a0027 | M.W.O. uitgereikt
  1948/12/07 | Limburgsch dagblad | p2 | ddd:010416184:mpeg21:a0066 | ANDERE VERSIE
  1947/06/17 | Nieuwe Apeldoornsche courant | p | MMCODA01:000161271:mpeg21:a0020 | KORTE BERICHTEN
  1947/11/01 | Het Parool | p | ABCDDD:010835242:mpeg21:a0133 | SCHEEPSTIJDINGEN
  1948/03/25 | Trouw | p | ABCDDD:010870648:mpeg21:a0124 | GROTE VAART.
  1947/08/11 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p4 | ddd:010897519:mpeg21:a0093 | Advertentie
  1948/09/17 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862982:mpeg21:a0041 | Advertentie
  1948/05/17 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010863028:mpeg21:a0047 | Advertentie
  1948/08/17 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862896:mpeg21:a0050 | Advertentie
  1948/06/10 | De Nederlander | p4 | MMKB19:000082134:mpeg21:a00041 | Navigare Necesse Est
  1947/02/04 | De waarheid | p2 | ddd:010852260:mpeg21:a0038 | Nederland ter zee
  1947/01/18 | De waarheid | p2 | ddd:010852189:mpeg21:a0058 | Nederland ter zeë
  1948/12/06 | Nijmeegsch dagblad | p3 | MMRANM03:048380082:mpeg21:a00059 | SCHEEPSTIJDINGEN
  1948/03/25 | Nijmeegsch dagblad | p2 | MMRANM03:048378072:mpeg21:a00035 | SCHEEPSTIJDINGEN
  1948/01/20 | Nijmeegsch dagblad | p2 | MMRANM03:048378016:mpeg21:a00034 | ' SCHEEPSTIJDINGEN
  1948/01/21 | Nieuwe provinciale Groninger courant | p3 | MMRHCG04:235025017:mpeg21:a00068 | WAAR ZIJN ONZE SCHEPEN?
  1948/01/02 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017770001:mpeg21:a00043 | Scheepstijdingen
  1948/01/07 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017770005:mpeg21:a00045 | Scheepstijdingen
  1948/01/15 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017770012:mpeg21:a00034 | Scheepstijdingen
  1947/06/17 | Provinciale Overijsselsche en Zwolsche courant | p2 | MMHCO02:163845139:mpeg21:a00027 | Onze scheepvaart in het Verre Oosten J.C.J.L. + K.P.M. = J.C.P.L.
  1948/03/09 | Nieuwsblad van het Zuiden | p3 | MMKB19:000614058:mpeg21:a00042 | De wereld rond
  1947/09/15 | De Nederlander | p3 | MMKB19:000080065:mpeg21:a00033 | Scheepvaart
  1947/09/19 | De Nederlander | p4 | MMKB19:000080069:mpeg21:a00039 | Scheepvaart
  1948/07/13 | De Nederlander | p4 | MMKB19:000084012:mpeg21:a00040 | Navigare Necesse Est
  1948/03/04 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017770054:mpeg21:a00048 | Scheepstijdingen
  1947/03/03 | Nieuw Utrechtsch dagblad | p4 | MMKB27:017768052:mpeg21:a00080 | Scheepstijdingen
  1948/02/05 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017770030:mpeg21:a00038 | Scheepstijdingen
  1947/02/07 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017768032:mpeg21:a00033 | Scheepstijdingen
  1947/06/23 | Trouw | p | ABCDDD:010871163:mpeg21:a0109 | Scheepvaart GROTE VAART.
  1947/03/31 | Trouw | p | ABCDDD:010871130:mpeg21:a0117 | Scheepsbewegingen GROOTE VAART.
  1947/08/14 | Trouw | p | ABCDDD:010871215:mpeg21:a0093 | GROTE VAART
  1947/08/04 | Trouw | p | ABCDDD:010871205:mpeg21:a0094 | SCHEEPSBEWEGINGEN Grote Vaart
  1947/09/02 | Trouw | p | ABCDDD:010871230:mpeg21:a0101 | SCHEEPVAART GROTE VAART
  1947/09/08 | Trouw | p | ABCDDD:010871235:mpeg21:a0117 | SCHEEPVAART GROTE VAART.
  1948/06/19 | Het Parool | p | ABCDDD:010830962:mpeg21:a0115 | SCHEEPSTIJDINGEN
  1948/06/15 | Trouw | p | ABCDDD:010870712:mpeg21:a0032 | GROTE VAART
  1948/01/02 | Trouw | p | ABCDDD:010870579:mpeg21:a0035 | GROTE VAART.
  1948/03/25 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000069570:mpeg21:a0086 | Scheepvaartberichten. WOENSDAG 24 MAART.
  1948/02/05 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000065832:mpeg21:a0034 | KERKNIEUWS.
  1948/12/06 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000071247:mpeg21:a0028 | Scheepvaartberichten. 6 December.
  1948/11/03 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000070715:mpeg21:a0025 | Scheepvaartberichten. 3 November.
  1948/11/03 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000070721:mpeg21:a0038 | Scheepvaartberichten. 3 November.
