QUERY: "krampachtige houding" AND date within "1947-06-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall-eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: elsevier AND "raadsel van de zee" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1876/02/10 | Het vaderland | p2 | MMKB23:001400034:mpeg21:a00007 | TELEGRAMMEN. | Koninklijke Bibliotheek
1877/10/11 | Opregte Haarlemsche Courant | p1 | MMKB12:000007088:mpeg21:a00004 | FRANKRIJK. | Koninklijke Bibliotheek
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1924/04/19 | Limburgsch dagblad | p12 | ddd:010932999:mpeg21:a0159 | FEUILLETON. GERECLASSEERD | Koninklijke Bibliotheek C 101
1899/12/29 | Centraal blad voor Israëlieten in Nederland | p1 | MMKB19:000563115:mpeg21:a00002 | FEUILLETON. | Universiteitsbibliotheek Amsterdam
1924/06/22 | De Maasbode | p | MMKB04:000194878:mpeg21:a0056 | INGEZONDEN. | Koninklijke Bibliotheek
1919/10/13 | De Maasbode | p | MMKB04:000191448:mpeg21:a0082 | GERECLASSEERD. | Koninklijke Bibliotheek
1934/08/18 | Eindhovensch dagblad | p | MMRHCE01:000059163:mpeg21:a0056 | EINDHOVENSCH DAGBLAD Zaterdag 18 Augustus 1934 Derde Blad BUITENLAND VERKIEZINGSREDE VAN H | Regionaal Historisch Centrum Eindhoven
1980/05/28 | Het vrĳe volk : democratisch-socialistisch dagblad | p4 | ddd:010960547:mpeg21:a0179 | FOCUS FEITEN•MENINGEN•COMMENTAREN•ANALYSES Kans op contracoup in Suriname zeer concreet DO | Gemeentearchief Rotterdam
1919/09/27 | De avondpost | p1 | MMKB27:017874049:mpeg21:a00001 | Buitenlandsch Overzicht | Koninklijke Bibliotheek
1929/09/06 | Nieuw Israelietisch weekblad | p2 | ddd:010874380:mpeg21:a0086 | PROTESTVERGADERING TEGEN DE PALESTINA-POGROMS SCHERPE CRITIEK OP HET BRITSCHE BEWIND PROTE | Universiteitsbibliotheek Amsterdam ROS V
1920/01/30 | Nieuw Israelietisch weekblad | p1 | ddd:010859768:mpeg21:a0052 | Vergadering van den Kerkeraad der Ned. Israël Hoofdsynagoge | Koninklijke Bibliotheek 1632 C 2

QUERY: "raadsel van de zee" AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: bounty AND titanic AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "dode bemanning" AND date within "1947-06-01 1949-06-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "doode bemanning" AND date within "1947-06-01 1949-06-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: medico AND "S.O.S." AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 2 
