QUERY: "orang medan" | collection: DDD_artikel | numberOfRecords: 8 
1905/11/28 | Het vaderland | p3 | MMKB23:001469098:mpeg21:a00063 | Advertentie | Koninklijke Bibliotheek
1906/08/13 | Het vaderland | p8 | MMKB23:001492264:mpeg21:a00118 | Advertentie | Koninklijke Bibliotheek
1823/02/10 | Utrechtsche courant | p2 | MMKB23:001784018:mpeg21:a00009 | Advertentie | Universiteitsbibliotheek Utrecht
1929/05/14 | Het Vaderland : staat- en letterkundig nieuwsblad | p2 | ddd:010012170:mpeg21:a0175 | Verkooping van Huizen, enz. Gunning van Onroerende Goederen in het  Venduhuis der Notariss | KB NBM C 44 [Microfilm]
1839/07/12 | Dagblad van 's Gravenhage | p3 | ddd:010056361:mpeg21:a0007 | Advertentie | KB C 94
1847/02/25 | Algemeen Handelsblad | p1 | ddd:010075533:mpeg21:a0005 | Belgische Post. BRUSSEL, Dingsdag 23 Februarij. | KB C 21
1890/04/27 | Bataviaasch handelsblad | p4 | ddd:110615118:mpeg21:a0013 | HELDENMOED VAN EEN AAP | Koninklijke Bibliotheek 1640 C 1
1890/05/04 | Bataviaasch handelsblad | p2 | ddd:110615119:mpeg21:a0005 | HELDENMOED VAN EEN AAP. | Koninklijke Bibliotheek 1640 C 1
1858/08/09 | Opregte Haarlemsche Courant | p4 | ddd:010543936:mpeg21:a0020 | Advertentie | KB C 37
1847/03/12 | Leydse courant | p4 | ddd:010923233:mpeg21:a0018 | BELGIE. BRUSSEL, 9 Maart. | Regionaal Archief Leiden
1904/08/23 | Het vaderland | p3 | MMKB23:001466091:mpeg21:a00078 | Advertentie | Koninklijke Bibliotheek
1794/01/29 | Leeuwarder courant | p5 | ddd:010577438:mpeg21:a0006 | Advertentie | KBDK
1894/11/15 | De Telegraaf | p2 | ddd:110537759:mpeg21:a0108 | Advertentie | KB C 98
1840/01/14 | Algemeen Handelsblad | p2 | ddd:010071773:mpeg21:a0006 | STADSNIEUWS, ENZ. | KB C21
1867/11/04 | Nieuwe Rotterdamsche courant : staats-, handels-, nieuws- en advertentieblad | p2 | ddd:010116074:mpeg21:a0008 | Gemengde Berigten. | KB 1615AC
