QUERY: kortegolfzenders AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 79 
1948/02/17 | De Volkskrant | p | ABCDDD:010880666:mpeg21:a0069 | „MUZIEK VOOR DE GEEST IN ROUW” van Rudolf Escher Doorleefde verklanking door Van Beinum | Koninklijke Bibliotheek
1948/04/05 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069706:mpeg21:a0002 | KORT NIEUWS. Binnenland. | Stadsarchief Enschede
1948/04/05 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069704:mpeg21:a0002 | KORT NIEUWS. Binnenland. | Stadsarchief Enschede
1947/11/19 | Helmondsche courant | p | MMRHCE01:000049163:mpeg21:a0025 | Studio-gebouwen komen onder beheer der Stichting | Regionaal Historisch Centrum Eindhoven
1948/11/12 | Het Rotterdamsch parool | p3 | MMSARO02:164871114:mpeg21:a00061 | Mysterieuze krachten in de radio Sprekende matrassen Zingende fornuizen | Stadsarchief Rotterdam
1948/06/25 | Provinciale Overijsselsche en Zwolsche courant | p2 | MMHCO02:163846147:mpeg21:a00020 | Voor de 17e maal TT te Assen Grote strijd tussen Britten en Italianen verwacht Zeshonderd  | Historisch Centrum Overijssel
1948/11/13 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017771116:mpeg21:a00067 | Mysterieuze krachten inde radio | Koninklijke Bibliotheek
1948/05/08 | De Tĳd : godsdienstig-staatkundig dagblad | p5 | ddd:011201100:mpeg21:a0092 | Technische metingen per helicoptere | Koninklijke Bibliotheek C 236
1948/04/06 | Provinciale Drentsche en Asser courant | p | MMDA03:000130591:mpeg21:a0062 | Onze Korte golf | Drents Archief
1948/04/06 | Provinciale Drentsche en Asser courant | p | MMDA03:000130593:mpeg21:a0067 | Onze Korte golf | Drents Archief
1948/05/28 | Opregte Steenwijker courant | p | MMGASL01:000420046:mpeg21:a00014 | VARIA | Gemeentearchief Steenwijkerland

QUERY: "600 metergolf" | collection: DDD_artikel | numberOfRecords: 71 
1933/02/13 | Leeuwarder nieuwsblad : goedkoop advertentieblad | p1 | ddd:010746081:mpeg21:a0074 | De geworpen bom. Zes maal tevoren gesommeerd. | Tresoar
