id	play_index	play_title	n_segments	n_words	n_verse_lines	n_prose_words
K046085.000	29	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	45	8	0
K046085.000	30	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	42	8	0
K046085.000	31	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	40	6	0
K046085.000	32	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	113	20	0
K046340.000	0	TIMON of ATHENS,	21	13548	1516	1955
K046880.000	0	The tragedy of the Lady Jane Gray: As it is acted at the Theatre-Royal	5	15862	2097	78
K046880.000	1	The tragedy of the Lady Jane Gray: As it is acted at the Theatre-Royal	1	78	0	78
K049483.000	0	ULYSSES.	5	19020	2462	0
K049485.000	0	The Ambitious Step-mother.	10	17897	2260	0
K049942.000	0	TAMERLANE.	7	18894	2439	6
K050786.000	0	THE
BRITON.	44	13305	1980	0
K100402.000	0	THE TRAGEDY OF Sir THOMAS OVERBURY.	5	11119	1505	6
K109300.000	0	THE FAIR PENITENT.	6	15386	1927	143
K109300.000	1	The fair penitent. A tragedy: Written by N. Rowe, Esq;.	1	9	0	9
K109300.000	2	The fair penitent. A tragedy: Written by N. Rowe, Esq;.	1	5	0	5
K109300.000	3	The fair penitent. A tragedy: Written by N. Rowe, Esq;.	1	58	0	58
K109300.000	4	The fair penitent. A tragedy: Written by N. Rowe, Esq;.	1	68	0	68
K120974.000	0	THE NON-JUROR.	5	25663	16	25532
K120974.000	1	The non-juror: A comedy. As it is acted at the Theatre-Royal, by His M	1	210	0	210
K121177.000	0	THE Double-Dealer.	5	22136	48	21802
K132743.000	0	SOPHONISBA. A TRAGEDY.	26	16155	2246	65
