id	play_index	play_title	n_segments	n_words	n_verse_lines	n_prose_words
A11954	17	The Second Part of Henry the Fourth, Containing his Death: and the Cor	17	24958	1532	13292
A11954	18	The Life of Henry the Fift.	5	25408	1725	12172
A11954	19	The first Part of Henry the Sixt.	10	20575	2504	1482
A11954	20	The second Part of Henry the Sixt, with the death of the Good Duke HVM	1	24505	2482	5111
A11954	21	The third Part of Henry the Sixt, with the death of the Duke of YORKE.	1	23359	2625	2686
A11954	22	The Tragedy of Richard the Third: with the Landing of Earle Richmond, 	18	28204	3157	3586
A11954	23	The Famous History of the Life of King HENRY the Eight.	17	23183	2948	1620
A11954	24	Mr. VVilliam Shakespeares comedies, histories, & tragedies Published a	1	25378	2095	9395
A11954	25	The Tragedy of Coriolanus.	5	26608	2542	7777
A11954	26	The Lamentable Tragedy of Titus Andronicus.	5	19839	2390	1419
A11954	27	THE TRAGEDIE OF ROMEO and IVLIET.	1	23918	2436	4982
A11954	28	THE LIFE OF TYMON OF ATHENS.	1	17812	1702	5430
A11954	29	THE TRAGEDIE OF IVLIVS CAESAR.	5	19210	2098	3343
A11954	30	THE TRAGEDIE OF MACBETH.	27	16493	2020	2161
A11954	31	THE TRAGEDIE OF HAMLET, Prince of Denmarke.	5	27898	2444	9442
A11954	32	THE TRAGEDIE OF KING LEAR.	23	23169	2150	7122
A11954	33	THE TRAGEDIE OF Othello, the Moore of Venice.	14	25831	2505	7277
A11954	34	THE TRAGEDIE OF Anthonie, and Cleopatra.	1	23826	2613	5009
A11954	35	THE TRAGEDIE OF CYMBELINE.	28	26814	2995	4788
A12128	0	THE BIRD IN A CAGE.	5	18316	1070	10491
A12129	0	CHANGES OR, Loue in a Maze.	5	19001	2366	2531
A12130	0	THE CONSTANT MAID.	5	15782	1898	1977
A12133	0	THE CORONATION.	5	15918	2124	1396
A12138	0	THE GRATEFVLL SERVANT.	5	18929	1896	5961
A12140	0	HIDE PARKE.	5	16027	2369	86
A12141	0	THE HVMOROVS COVRTIER.	5	15859	2383	102
A12142	0	The Lady of Pleasure.	5	20311	3017	57
A12143	0	LOVES CRVELTY.	5	16459	1858	3546
A12145	0	THE MAIDES
REVENG.	5	17658	2031	2926
A12148	0	THE OPPORTVNITIE.	5	18068	2076	3491
A12150	0	The royall master as it vvas acted in the nevv Theater in Dublin: and 	5	17489	2615	0
A12152	0	THE
SCHOOLE OF
COMPLEMENT.	5	21411	901	14790
A12154	0	THE TRAYTOR.	5	18938	2083	4183
A12155	0	The Wedding.	5	17851	1990	4934
A12157	0	THE VVITTY FAIRE ONE.	5	16771	640	11982
A13840	0	The atheist's tragedie: or The honest man's reuenge As in diuers place	5	20128	1328	11015
A13843	0	The reuengers tragædie As it hath beene sundry times acted, by the Kin	4	19540	2590	1284
A14869	0	The Deuil's Law Case. OR, When Women goe to Law, the Deuill is full of	5	22507	3022	984
A14872	0	The tragedy of the Dutchesse of Malfy As it was presented priuatly, at	19	23268	3327	167
A14875	0	THE TRAGEDY OF PAVLO GIORDANO Vrsini Duke of Brachiano, and Vittoria C	1	24141	3013	4265
A16923	0	The antipodes a comedie. Acted in the yeare 1638. by the Queenes Majes	48	21783	2574	2853
A16924	0	THE NORTHERN
LASSE.	29	26895	282	24832
A16927	0	The sparagus garden a comedie. Acted in the yeare 1635. by the then Co	46	25133	735	19231
A18400	0	All Fooles.	5	18618	1659	5835
A18403	0	Bussy d'Ambois a tragedie: as it hath been often presented at Paules.	5	19645	2299	1827
A18404	0	BYRONS CONSPIRACIE.	1	16211	2013	672
A18404	1	THE TRAGEDIE OF Charles Duke of Byron.	1	18424	2372	277
A18415	0	MAY-DAY.	5	22811	129	21800
A18421	0	THE REVENGE
OF
Bussy D'Ambois.
A
TRAGEDIE.	5	19492	2610	65
A18425	0	ONELY A IVST MAN IS A FREE MAN.	5	16642	2022	1142
A18426	0	The VViddowes Teares. A COMEDIE.	5	21148	702	15901
A19757	0	A Christian turn'd Turke.	5	18395	1577	6240
A19876	0	THE CRVELL
BROTHER.	5	17319	2456	0
A19881	0	THE TRAGEDY OF ALBOVINE, KING OF THE LOMBARDS.	5	19116	2477	1268
A19883	0	THE VVITS.	5	21073	2592	1717
A20066	0	IF THIS BE NOT
A GOOD PLAY, THE
DIVELL IS IN IT.	1	21010	2499	3442
A20076	0	THE COMEDIE OF Olde Fortunatus.	1	22849	1818	8674
A20083	0	A pleasant Comedie of the Gentle Craft.	1	18379	854	11703
A20088	0	MATCH MEE IN LONDON.	5	17665	2071	3899
A20092	0	THE VVHORE of Babylon.	1	20847	2627	1964
A20867	0	~ IOHN DRVMS Entertainment, or the Comedie of Pasquill and Katherine.	5	15791	1113	6252
A21136	0	The merry Deuill of Edmonton.	1	11374	1025	3889
A27177	0	THE MAD LOVER.	5	18124	2707	420
A27177	1	THE SPANISH CURAT.	21	22486	3094	232
A27177	2	THE LITTLE FRENCH LAWYER.	5	20834	3031	40
A27177	3	The Custome of the Countrey.	9	22694	3163	75
A27177	4	THE NOBLE GENTLEMAN.	5	18800	2538	246
A27177	5	THE CAPTAINE.	20	23864	3271	210
A27177	6	BEGGARS BVSH.	16	18927	2667	256
