route,waypoint,km_from_island,stades_177.6,stades_185,z_dem_m,lat,lon,source
R3m,Milan,436.5,2458,2359,,45.4641943,9.1896346,Nominatim/OSM relation/44915 (administrative)
R4,Island (ii): Aygues-Rhone confluence,0.0,0,0,29,44.12,4.73,Aygues (Eygues) mouth near Caderousse (manual)
R4,Avignon,20.7,117,112,31,43.9492493,4.8059012,Nominatim/OSM relation/102478 (administrative)
R4,Cavaillon,43.8,246,237,77,43.8356808,5.0383522,Nominatim/OSM relation/73936 (administrative)
R4,Pertuis,86.6,487,468,220,43.6951468,5.5032671,Nominatim/OSM relation/71963 (administrative)
R4,Manosque,115.1,648,622,393,43.8338026,5.7826657,Nominatim/OSM relation/365373 (administrative)
R4,Sisteron,161.2,908,871,490,44.1963467,5.9443791,Nominatim/OSM relation/186893 (administrative)
R4,Tallard,195.1,1099,1055,609,44.4618971,6.0550731,Nominatim/OSM relation/196622 (administrative)
R4,Chorges,216.7,1220,1172,873,44.5450837,6.2754561,Nominatim/OSM relation/367132 (administrative)
R4,Embrun,236.4,1331,1278,873,44.5641764,6.4958189,Nominatim/OSM relation/76329 (administrative)
