route,waypoint,km_from_island,stades_177.6,stades_185,z_dem_m,lat,lon,source
R5c,Crissolo,324.6,1828,1754,1827,44.7030562,7.119704,Nominatim/OSM relation/43463 (administrative)
R5c,Paesana,336.9,1897,1821,920,44.6697772,7.2512548,Nominatim/OSM relation/43399 (administrative)
R5c,Saluzzo,357.7,2014,1934,356,44.6446052,7.4926009,Nominatim/OSM node/63626805 (town)
R5c,Carmagnola,386.4,2176,2089,245,44.8455856,7.7192711,Nominatim/OSM relation/43663 (administrative)
R5c,Turin,411.7,2318,2225,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R6,Island (ii): Aygues-Rhone confluence,0.0,0,0,29,44.12,4.73,Aygues (Eygues) mouth near Caderousse (manual)
R6,Avignon,20.7,117,112,31,43.9492493,4.8059012,Nominatim/OSM relation/102478 (administrative)
R6,Cavaillon,43.8,246,237,77,43.8356808,5.0383522,Nominatim/OSM relation/73936 (administrative)
R6,Pertuis,86.6,487,468,220,43.6951468,5.5032671,Nominatim/OSM relation/71963 (administrative)
R6,Manosque,115.1,648,622,393,43.8338026,5.7826657,Nominatim/OSM relation/365373 (administrative)
R6,Sisteron,161.2,908,871,490,44.1963467,5.9443791,Nominatim/OSM relation/186893 (administrative)
R6,Tallard,195.1,1099,1055,609,44.4618971,6.0550731,Nominatim/OSM relation/196622 (administrative)
R6,Le Lauzet-Ubaye,228.2,1285,1233,903,44.428458,6.4339749,Nominatim/OSM relation/454762 (administrative)
R6,Barcelonnette,247.4,1393,1338,1137,44.3862043,6.6513554,Nominatim/OSM relation/363726 (administrative)
R6,Jausiers,255.4,1438,1380,1220,44.4194297,6.7340119,Nominatim/OSM relation/363687 (administrative)
R6,Larche,269.7,1519,1458,1683,44.4511952,6.84629,Nominatim/OSM relation/375147 (administrative)
R6,Col de Larche,275.0,1548,1486,1996,44.4218328,6.8984272,Nominatim/OSM node/928715494 (yes)
R6,Argentera,279.4,1573,1510,1730,44.3946,6.9375,Argentera village; commune centroid was at 2234 m (manual)
R6,Pietraporzio,289.4,1629,1564,1234,44.3437676,7.0334623,Nominatim/OSM relation/43029 (administrative)
R6,Vinadio,302.7,1704,1636,922,44.308,7.173,Vinadio village in the Stura valley; commune centroid was at 1975 m (manual)
R6,Demonte,313.4,1765,1694,840,44.3243071,7.3033518,Nominatim/OSM relation/43012 (administrative)
R6,Borgo San Dalmazzo,329.6,1856,1781,639,44.3286517,7.4874561,Nominatim/OSM node/63626393 (town)
R6,Cuneo,337.9,1903,1827,540,44.389633,7.5479007,Nominatim/OSM relation/43083 (administrative)
R6,Savigliano,367.6,2070,1987,321,44.644037,7.655929,Nominatim/OSM node/63625935 (town)
R6,Carmagnola,390.7,2200,2112,245,44.8455856,7.7192711,Nominatim/OSM relation/43663 (administrative)
R6,Turin,416.0,2342,2249,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R6v,Island (ii): Aygues-Rhone confluence,0.0,0,0,29,44.12,4.73,Aygues (Eygues) mouth near Caderousse (manual)
R6v,Avignon,20.7,117,112,31,43.9492493,4.8059012,Nominatim/OSM relation/102478 (administrative)
R6v,Cavaillon,43.8,246,237,77,43.8356808,5.0383522,Nominatim/OSM relation/73936 (administrative)
R6v,Pertuis,86.6,487,468,220,43.6951468,5.5032671,Nominatim/OSM relation/71963 (administrative)
R6v,Manosque,115.1,648,622,393,43.8338026,5.7826657,Nominatim/OSM relation/365373 (administrative)
R6v,Sisteron,161.2,908,871,490,44.1963467,5.9443791,Nominatim/OSM relation/186893 (administrative)
R6v,Tallard,195.1,1099,1055,609,44.4618971,6.0550731,Nominatim/OSM relation/196622 (administrative)
R6v,Chorges,216.7,1220,1172,873,44.5450837,6.2754561,Nominatim/OSM relation/367132 (administrative)
R6v,Embrun,236.4,1331,1278,873,44.5641764,6.4958189,Nominatim/OSM relation/76329 (administrative)
R6v,Guillestre,254.4,1433,1375,1009,44.6597849,6.6493945,Nominatim/OSM relation/80451 (administrative)
R6v,Col de Vars,269.0,1515,1454,2115,44.5388042,6.7028384,Nominatim/OSM node/454117813 (yes)
R6v,Jausiers,285.1,1606,1541,1220,44.4194297,6.7340119,Nominatim/OSM relation/363687 (administrative)
R6v,Larche,299.5,1686,1619,1683,44.4511952,6.84629,Nominatim/OSM relation/375147 (administrative)
