term,date,title,url,verified,snippet
objective point,1847-01-05,"Image 2 of Richmond daily Whig (Richmond, Va.), January 5, 1847",http://www.loc.gov/resource/sn84024656/1847-01-05/ed-1/?sp=2,True,"Monterey, but os a natural c necijurnce from it, he a.to gained umc again lo concentrate at San Luis. With the combined maicnal of the two armies the objective point, San Luis, might have been gained, and, by a decisive ae with Ainpudia\u2019a forces alone, at that point, the cam paign might have been ended, and p"
objective point,1847-01-09,"Image 2 of The daily union (Washington [D.C.]), January 9, 1847",http://www.loc.gov/resource/sn82003410/1847-01-09/ed-1/?sp=2,True,"t passes \""he lien- Sierra Madre, and linving San Luis I'otusi as a base hev im- ea''?\""g Luis should then have been, in the j which CUI\""P \""Pi, 'he objective point, and all ot'our energies I a w nicn Ijoc,, exeitt-d on tins line. As it tnriis out, Gen. iBted111. ny takes New Mexico without (iring a gun, nthua mi"
objective point,1847-01-14,"Image 2 of Staunton spectator, and general advertiser (Staunton, Va.), January 14, 1847",http://www.loc.gov/resource/sn84024719/1847-01-14/ed-1/?sp=2,True,"ngest passes in the Sierra Madre and having San Luis Potosi as a base of operations I San Lu is should then have been, in (lie plan of campaign, llte objective point, and all of our energies should have Ixten exerted on this line. As it turns out, (ion. Kearney Likes New Mexico without firing a gun, Chihuahua is t"
objective point,1847-01-15,"Image 2 of Alexandria gazette (Alexandria, D.C.), January 15, 1847",http://www.loc.gov/resource/sn85025007/1847-01-15/ed-1/?sp=2,True,"ongest passes in the Sierra Madre and having San Luis Potosi a* a base of bis operations San Luis >hould then have been, in the plan of campaign, the objective point. and all of our energies should have been exerted on this line. As i\u2019 turns out, Gen. Kearney takes New Mexico without firing a gun; Chihuahua i"
objective point,1847-01-23,"Image 1 of Arkansas state gazette (Little Rock, Ark.), January 23, 1847",http://www.loc.gov/resource/sn82016481/1847-01-23/ed-1/?sp=1,False,
objective point,1847-01-23,"Image 1 of Boon's Lick times (Fayette, Mo.), January 23, 1847",http://www.loc.gov/resource/sn83016957/1847-01-23/ed-1/?sp=1,True,"rong est passes in the Sierra Madre, and having ban L.uis fotosi as a base of operation? oan Luis should then have been, in the plan of campaign, the objective point, and all of our energies should have been exerted on this line. As it turns out. General Kear ney takes New Mexico without firing s gun, Chihuahua is"
