term,date,title,url,verified,snippet
stampeded,1844-07-20,"Image 2 of The daily Madisonian (Washington City [i.e. Washington, D.C.]), July 20, 1844",http://www.loc.gov/resource/sn84020074/1844-07-20/ed-1/?sp=2,True,"ankets, tinmunition, trinkets, &c to induce them to commitrav. ges oil our frontier. Eirly in this month the ui |ans were at Copano, and attempted to stampede a drove of mules belonging to Mr. Gourlay. Indian signals have been daily seen all along the coast. \""Pic Carancabuas are missing, and are suppose I "
stampeded,1844-07-20,"Image 3 of Daily national intelligencer (Washington City [D.C.]), July 20, 1844",http://www.loc.gov/resource/sn83026172/1844-07-20/ed-1/?sp=3,True,"blankets, ammunition, trinkets, &c. to induce them to commit ravages on our frontier. Early in this month the Lipans were at Copano, and attempted to stampede a drove of mules be longing to Mr. Gourlay. Indian signals have been daily seen all along the coast. The Carancahuas are missing, and are supposed to"
stampeded,1844-07-31,"Image 3 of Edgefield advertiser (Edgefield, S.C.), July 31, 1844",http://www.loc.gov/resource/sn84026897/1844-07-31/ed-1/?sp=3,True,"n type we have received the Madisonian of Wednes day afternoon, with the following notice issued by the Postmaster General: \""Printed newspapers duly stampede ad dressed toany part of Canada, andt marked by the sender via Boston, will not itn fo ture be liably to any charge for the con. veyance by packet. T"
stampeded,1844-08-02,"Image 1 of Bloomington herald (Bloomington, I. T. [Iowa]), August 2, 1844",http://www.loc.gov/resource/sn85050801/1844-08-02/ed-1/?sp=1,True,"blankets, ammunition, trinket?, &c to induce them to commit ravages on our frontier. Ear ly in the month the Lipans were at Co pano, and attempted to stampede a drove of mules belonging to Mr. Gourlay. Iu dian signals have been daily seen all along the coast. The Carancahu^a are missing, and are suppos^tl t"
stampeded,1844-09-14,"Image 2 of Grant County herald (Lancaster, W.T. [i.e. Wis.]), September 14, 1844",http://www.loc.gov/resource/sn87082160/1844-09-14/ed-1/?sp=2,False,
stampeded,1844-09-27,"Image 2 of The Ottawa free trader (Ottawa, Ill.), September 27, 1844",http://www.loc.gov/resource/sn84038582/1844-09-27/ed-1/?sp=2,True,"ere lo run together a literal race on horseback, on the day of election, they would requiro a track at least one mi'e, wide. Hurrah for the political stampede Grant Coun ty Herald. In Hartford they are showing a negro, girl fourteen years of ago \""whose weight is five hundred pounds with arms as big as a ma"
stampeded,1844-10-22,"Image 1 of The New Hampshire gazette (Portsmouth [N.H.]), October 22, 1844",http://www.loc.gov/resource/sn83025588/1844-10-22/ed-1/?sp=1,False,
stampeded,1845-01-04,"Image 2 of Wisconsin herald, and Grant County advertiser (Lancaster, Wis.), January 4, 1845",http://www.loc.gov/resource/sn87082161/1845-01-04/ed-1/?sp=2,True,"make more music than a choir; 'That when be played, the very trees Hobbled cotillions on their kiioes; And that the maple, elm and oak Into a general stampede broke; Ths lady trees al! had their gallants. All promenade I To partners balance If faith in poets\u2019 tales be lawful, Tho way they shurid it dow"
stampeded,1845-03-13,"Image 2 of Hawk-eye (Burlington, Iowa), March 13, 1845",http://www.loc.gov/resource/sn85049816/1845-03-13/ed-1/?sp=2,True,"tely out done, Vy the blowing hot snd 1,lowing cold, of the editorials on the Constitution. The panic continued to in crease\u2014it is IIMV like the Stampede o! dmught animal* in a prau ic caravan. Any Lj party stand with antlers thrown back and no.trils dilated, to catch the next freight of odors borne bv"
stampeded,1845-03-21,"Image 1 of The Ottawa free trader (Ottawa, Ill.), March 21, 1845",http://www.loc.gov/resource/sn84038582/1845-03-21/ed-1/?sp=1,True," delecting the tracks of some of your horses, when the violent shying of my horse caused mc to raise my eyes. And, by George 1 it was enough to havo 'stampeded' a whole regiment of horse! On the left stood a verji tall skeletonlike figure, dressed in skins one foot advanced, as if ho had stopped in the act o"
