n,initial
799,F
800,I
801,F
802,I
803,T
804,S
805,A
806,R
807,I
808,T
809,C
810,F
811,T
812,A
813,O
814,C
815,A
816,O
817,M
818,V
819,L
820,A
821,A
822,Y
823,T
824,F
825,O
826,O
827,G
828,F
829,S
830,O
831,O
832,L
833,A
834,D
835,T
836,I
837,W
838,P
839,T
840,L
841,F
842,U
843,I
844,A
845,C
846,W
847,H
848,H
849,A
850,G
851,H
852,B
853,D
854,U
855,O
856,O
857,H
858,P
859,A
860,W
861,W
862,A
863,U
864,H
865,H
866,P
867,O
868,S
869,R
870,O
871,C
872,B
873,O
874,T
875,A
876,D
877,T
878,L
879,O
880,O
881,P
882,H
883,I
884,A
885,T
886,T
887,T
888,L
889,A
890,O
891,F
892,M
893,T
894,C
895,T
896,W
897,O
898,D
899,D
900,A
901,T
902,A
903,B
904,W
905,C
906,O
907,C
908,A
909,P
910,S
911,P
912,I
913,T
914,M
915,B
916,A
917,A
918,T
919,U
920,I
921,H
922,O
923,A
924,C
925,N
926,H
927,H
928,C
929,O
930,F
931,C
932,T
933,C
934,O
935,T
936,H
937,S
938,T
939,B
940,A
941,A
942,T
943,C
944,T
945,B
946,T
947,E
948,O
949,T
950,F
951,A
952,B
953,O
954,T
955,F
956,T
957,B
958,T
959,H
960,H
961,H
962,E
963,D
964,I
965,A
966,U
967,A
968,H
969,E
970,T
971,B
972,O
973,T
974,I
975,O
976,O
977,F
978,T
979,M
980,I
981,S
982,W
983,K
984,R
985,O
986,W
987,I
988,A
989,U
990,D
991,O
992,A
993,A
994,X
995,A
996,C
997,I
998,E
999,S
1000,O
1001,T
1002,O
1003,W
1004,H
1005,P
1006,F
1007,R
1008,I
1009,T
1010,M
1011,H
1012,T
1013,O
1014,R
1015,P
1016,H
1017,B
1018,A
1019,O
1020,B
1021,R
1022,I
1023,A
1024,P
1025,W
1026,C
1027,I
1028,T
1029,M
1030,B
1031,E
1032,A
1033,W
1034,M
1035,D
1036,A
1037,T
1038,I
1039,U
1040,T
1041,B
1042,T
1043,R
1044,O
1045,A
1046,F
1047,P
1048,N
1049,H
1050,W
1051,B
1052,W
1053,I
1054,A
1055,T
1056,O
1057,B
1058,B
1059,W
1060,H
1061,W
1062,T
1063,F
1064,T
1065,T
1066,T
1067,O
1068,A
1069,B
1070,T
1071,L
1072,T
1073,E
1074,A
1075,U
1076,J
1077,O
1078,U
1079,W
1080,H
1081,R
1082,T
1083,O
1084,T
1085,C
1086,O
1087,O
1088,E
1089,A
1090,S
1091,H
1092,W
1093,H
1094,A
1095,T
1096,T
1097,N
1098,J
1099,A
1100,M
1101,A
1102,W
1103,H
1104,C
1105,T
1106,B
1107,T
1108,T
1109,O
1110,O
1111,C
1112,K
1113,T
1114,D
1115,T
1116,U
1117,W
1118,W
1119,I
1120,I
1121,O
1122,C
1123,A
1124,C
1125,T
1126,T
1127,H
1128,B
1129,D
1130,T
1131,T
1132,V
1133,O
1134,J
1135,A
1136,O
1137,C
1138,W
1139,M
1140,T
1141,A
1142,I
1143,T
1144,N
1145,W
1146,D
1147,O
1148,S
1149,A
1150,H
1151,T
1152,A
1153,W
1154,H
1155,T
1156,R
1157,O
1158,M
1159,E
1160,I
1161,W
1162,I
1163,P
1164,F
1165,W
1166,T
1167,T
1168,R
1169,O
1170,T
1171,U
1172,S
1173,O
1174,A
1175,I
1176,G
1177,C
1178,A
1179,A
1180,T
1181,T
1182,S
1183,J
1184,O
1185,T
1186,W
1187,F
1188,T
1189,R
1190,O
1191,O
1192,I
1193,D
1194,I
1195,T
1196,N
1197,A
1198,B
1199,A
1200,O
1201,T
1202,G
1203,P
1204,O
1205,T
1206,C
1207,S
1208,P
1209,A
1210,D
1211,T
1212,T
1213,U
1214,C
1215,A
1216,A
1217,O
1218,R
1219,O
1220,T
1221,B
1222,F
1223,A
1224,I
1225,S
1226,T
1227,T
1228,A
1229,A
1230,F
1231,A
1232,A
1233,T
1234,T
1235,B
1236,C
1237,A
1238,T
1239,A
1240,P
1241,C
1242,B
1243,T
1244,A
1245,T
1246,S
1247,O
1248,G
1249,B
1250,I
1251,A
1252,O
1253,T
1254,B
1255,T
1256,D
1257,A
1258,T
1259,A
1260,F
1261,A
1262,I
1263,S
1264,T
1265,H
1266,F
1267,P
1268,T
1269,L
1270,W
1271,C
1272,P
1273,C
1274,A
1275,E
1276,C
1277,A
1278,T
1279,D
1280,A
1281,O
1282,A
1283,A
1284,T
1285,W
1286,I
1287,S
1288,M
1289,O
1290,R
1291,D
1292,A
1293,F
1294,T
1295,S
1296,O
1297,T
1298,D
1299,W
1300,I
1301,F
1302,R
1303,O
1304,T
1305,P
1306,O
1307,D
1308,M
1309,W
1310,M
1311,P
1312,T
1313,E
1314,O
1315,O
1316,L
1317,O
1318,F
1319,A
1320,O
1321,S
1322,H
