word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
believe,2,,1.902e-04,42,1780,2.221e-04,1.796e-04,1.059
believes,1,,1.060e-05,42,1780,1.335e-05,1.420e-05,0.747
believing,2,,1.836e-05,42,1780,2.442e-05,1.797e-05,1.022
belive,1,,1.716e-07,31,1786,9.494e-08,5.659e-08,3.033
belong,1,proper,4.259e-05,42,1780,4.164e-05,3.828e-05,1.113
best,7,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
between,3,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
bill,1,,4.175e-04,42,1780,4.400e-04,4.801e-04,0.870
born,2,proper,8.710e-05,42,1780,9.099e-05,1.220e-04,0.714
both,4,,4.471e-04,42,1780,4.405e-04,4.075e-04,1.097
brig,1,proper,1.693e-05,42,1780,1.287e-05,1.070e-05,1.582
brigadier,1,proper,2.844e-05,41,1780,6.953e-06,1.272e-05,2.236
brother,3,proper,1.141e-04,42,1780,1.181e-04,1.015e-04,1.124
brunaugh,1,proper,0.000e+00,0,1843,1.590e-10,3.988e-09,0.000
busi,1,proper,8.284e-07,37,1780,8.260e-07,9.228e-07,0.898
business,2,,1.966e-04,42,1780,1.917e-04,2.643e-04,0.744
but,7,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
buy,2,,1.536e-05,42,1780,1.881e-05,2.853e-05,0.538
by,12,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
caffery,1,proper,1.680e-08,6,1800,3.302e-09,1.369e-07,0.123
came,1,proper,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
can,4,proper,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
cannot,4,,0.000e+00,0,,0.000e+00,0.000e+00,
capacity,1,,4.143e-05,42,1780,3.952e-05,5.432e-05,0.763
capt,1,proper,1.234e-05,42,1780,4.618e-06,4.197e-06,2.940
captain,3,,1.433e-04,42,1780,1.213e-04,1.190e-04,1.204
care,2,,1.740e-04,42,1780,1.460e-04,1.549e-04,1.123
carolina,2,proper,7.162e-05,42,1780,6.930e-05,5.731e-05,1.250
carrying,1,,5.100e-05,42,1780,4.547e-05,5.503e-05,0.927
carswell,1,proper,4.448e-08,21,1789,2.398e-07,1.538e-07,0.289
cash,4,,1.606e-05,42,1780,2.096e-05,4.987e-05,0.322
cents,1,proper,5.688e-05,40,1780,8.023e-05,1.193e-04,0.477
change,1,,1.148e-04,42,1780,1.440e-04,1.549e-04,0.741
character,1,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
charleston,1,proper,1.719e-05,42,1780,1.943e-05,1.939e-05,0.886
choice,1,,5.968e-05,42,1780,4.782e-05,3.949e-05,1.511
choose,1,,3.692e-05,42,1780,3.627e-05,2.707e-05,1.364
circumstance,1,proper,7.506e-05,42,1780,6.651e-05,2.820e-05,2.661
citizens,1,,1.294e-04,42,1780,1.242e-04,1.047e-04,1.236
city,5,,3.057e-04,42,1780,3.389e-04,5.155e-04,0.593
civil,1,,1.278e-04,42,1780,9.570e-05,9.731e-05,1.313
claims,1,,7.808e-05,42,1780,1.048e-04,1.177e-04,0.663
class,1,,7.054e-05,42,1780,1.078e-04,1.708e-04,0.413
closed,1,,2.096e-05,42,1780,3.920e-05,5.829e-05,0.360
clude,1,,2.851e-07,31,1780,2.754e-07,1.569e-07,1.817
coffee,1,proper,1.543e-05,42,1780,1.733e-05,2.077e-05,0.743
cola,1,,1.890e-07,28,1785,2.914e-07,2.745e-07,0.689
collisions,1,,6.752e-07,32,1783,1.574e-06,1.653e-06,0.409
colonel,2,,1.172e-04,42,1780,6.945e-05,8.079e-05,1.451
coming,1,,7.824e-05,42,1780,8.563e-05,1.032e-04,0.758
command,4,,1.352e-04,42,1780,1.080e-04,9.915e-05,1.364
commissaries,1,proper,4.596e-06,42,1780,1.446e-06,9.363e-07,4.909
commissary,1,proper,3.074e-05,42,1780,6.929e-06,6.857e-06,4.483
commissioner,2,proper,2.838e-05,42,1780,3.291e-05,6.281e-05,0.452
commissions,1,proper,1.772e-05,42,1780,1.210e-05,1.408e-05,1.259
common,1,proper,3.618e-04,42,1780,3.371e-04,2.879e-04,1.257
company,1,proper,1.978e-04,42,1780,2.417e-04,4.534e-04,0.436
compare,1,,1.696e-05,42,1780,2.168e-05,2.373e-05,0.715
comparing,1,,1.026e-05,42,1780,9.600e-06,8.458e-06,1.213
compelled,2,,3.572e-05,42,1780,5.291e-05,4.790e-05,0.746
compensate,1,,4.489e-06,42,1780,4.830e-06,4.191e-06,1.071
complete,1,,7.571e-05,42,1780,8.565e-05,1.188e-04,0.638
completing,1,,5.894e-06,42,1780,6.383e-06,7.576e-06,0.778
comply,1,,2.095e-05,42,1780,1.438e-05,1.206e-05,1.738
con,1,,7.159e-05,42,1780,4.550e-05,3.716e-05,1.926
concert,1,,1.177e-05,42,1780,1.194e-05,1.004e-05,1.173
concluded,2,,4.767e-05,42,1780,4.434e-05,2.956e-05,1.613
confidence,2,,7.733e-05,42,1780,8.773e-05,5.449e-05,1.419
conformably,2,,4.363e-06,40,1780,2.838e-06,1.365e-06,3.197
congress,2,,3.397e-04,42,1780,2.637e-04,2.075e-04,1.637
connected,1,,5.464e-05,42,1780,9.177e-05,9.571e-05,0.571
contrary,1,proper,1.402e-04,42,1780,1.095e-04,7.155e-05,1.960
convey,1,,3.054e-05,42,1780,2.983e-05,2.475e-05,1.234
conveyance,1,,2.532e-05,42,1780,2.546e-05,2.709e-05,0.935
copies,1,,4.833e-05,42,1780,4.421e-05,4.742e-05,1.019
copy,3,,1.071e-04,42,1780,7.346e-05,7.831e-05,1.368
corporation's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
cotton,1,proper,3.151e-05,42,1780,5.712e-05,7.380e-05,0.427
council,1,,1.799e-04,42,1780,1.162e-04,1.196e-04,1.505
country,5,,5.606e-04,42,1780,6.018e-04,4.454e-04,1.259
county,2,proper,4.053e-04,42,1780,3.145e-04,4.538e-04,0.893
croft,1,,8.306e-07,37,1781,5.626e-07,7.605e-07,1.092
crop,3,,1.992e-05,41,1780,2.767e-05,4.453e-05,0.447
crops,1,,1.264e-05,42,1780,1.854e-05,3.056e-05,0.414
cts,7,,3.065e-06,39,1780,5.338e-06,8.343e-06,0.367
cuba,2,proper,4.664e-06,39,1780,8.571e-06,1.399e-05,0.333
d,4,,1.575e-04,42,1780,1.021e-04,1.436e-04,1.097
d'r,1,,0.000e+00,0,,0.000e+00,0.000e+00,
dared,1,,7.825e-06,42,1780,1.213e-05,1.067e-05,0.733
daughter,1,,6.848e-05,42,1780,7.774e-05,7.548e-05,0.907
daughters,1,,2.039e-05,42,1780,2.463e-05,2.087e-05,0.977
day,2,,7.668e-04,42,1780,7.343e-04,7.330e-04,1.046
days,3,,2.864e-04,42,1780,2.919e-04,3.044e-04,0.941
de,1,,2.942e-04,42,1780,2.610e-04,2.523e-04,1.166
deal,2,,4.164e-05,42,1780,4.363e-05,6.331e-05,0.658
dear,3,,1.371e-04,42,1780,1.189e-04,1.015e-04,1.351
decide,1,,3.036e-05,42,1780,3.392e-05,2.974e-05,1.021
decision,1,,4.707e-05,42,1780,6.957e-05,6.932e-05,0.679
declared,1,,1.040e-04,42,1780,9.022e-05,7.560e-05,1.376
decline,2,,1.884e-05,42,1780,1.916e-05,1.823e-05,1.034
declined,1,,1.750e-05,42,1780,1.997e-05,1.984e-05,0.882
deem,1,,1.830e-05,42,1780,2.738e-05,2.392e-05,0.765
delicacy,1,,1.520e-05,42,1780,1.470e-05,9.272e-06,1.640
deliver,2,,5.735e-05,42,1780,4.114e-05,3.255e-05,1.762
delivered,1,,1.226e-04,42,1780,1.005e-04,8.291e-05,1.479
delivering,1,,1.083e-05,42,1780,9.010e-06,9.022e-06,1.200
demand,1,,7.433e-05,42,1780,7.931e-05,8.942e-05,0.831
desire,1,,1.172e-04,42,1780,1.253e-04,1.084e-04,1.082
desired,1,,6.628e-05,42,1780,6.342e-05,6.085e-05,1.089
detained,1,,1.805e-05,42,1780,1.301e-05,9.190e-06,1.964
determined,2,,1.202e-04,42,1780,1.047e-04,9.319e-05,1.290
died,2,,1.209e-04,42,1780,1.299e-04,1.425e-04,0.849
directed,1,,1.709e-04,42,1780,1.139e-04,8.659e-05,1.974
direction,1,,8.486e-05,42,1780,1.013e-04,1.249e-04,0.679
dirret,1,,0.000e+00,0,1823,4.115e-10,9.452e-11,0.000
discover,1,,4.366e-05,42,1780,3.893e-05,2.451e-05,1.781
distinct,1,,5.272e-05,42,1780,6.654e-05,6.293e-05,0.838
do,6,,8.530e-04,42,1780,1.032e-03,1.106e-03,0.771
docu,1,,1.875e-07,27,1789,2.863e-07,1.934e-07,0.969
documents,1,,2.115e-05,42,1780,3.276e-05,2.547e-05,0.830
dol,1,proper,2.406e-06,40,1780,1.641e-06,1.103e-06,2.181
done,1,,2.803e-04,42,1780,2.957e-04,3.043e-04,0.921
donelson,1,,1.334e-07,19,1789,5.300e-07,1.472e-06,0.091
doubt,2,,1.393e-04,42,1780,1.611e-04,1.432e-04,0.973
duly,1,,4.916e-05,42,1780,4.093e-05,4.419e-05,1.113
duncan,1,proper,4.544e-06,39,1781,7.908e-06,7.763e-06,0.585
during,1,,3.203e-04,42,1780,3.597e-04,4.679e-04,0.685
dynasty,1,proper,2.073e-06,33,1783,4.562e-06,5.450e-06,0.380
e,1,,2.000e-04,42,1780,1.362e-04,1.802e-04,1.110
each,3,,5.437e-04,42,1780,5.388e-04,6.330e-04,0.859
earl,5,proper,5.234e-05,42,1780,3.519e-05,2.638e-05,1.984
earl's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
earle,4,proper,2.100e-06,37,1780,2.175e-06,2.661e-06,0.789
east,2,proper,1.303e-04,42,1780,1.289e-04,1.496e-04,0.871
eastern,1,,4.900e-05,42,1780,5.247e-05,6.251e-05,0.784
eaton,1,proper,6.248e-06,41,1780,7.345e-06,7.717e-06,0.810
effect,1,,2.097e-04,42,1780,2.525e-04,2.248e-04,0.933
effort,1,,2.271e-05,42,1780,4.403e-05,5.159e-05,0.440
either,2,,3.368e-04,42,1780,3.088e-04,2.680e-04,1.257
elisabeth,2,proper,5.043e-07,33,1781,3.687e-07,6.568e-07,0.768
embark,1,,6.164e-06,42,1780,5.346e-06,3.072e-06,2.007
employed,1,,1.506e-04,42,1780,1.499e-04,1.226e-04,1.228
en,1,,3.957e-05,42,1780,2.915e-05,2.954e-05,1.340
enclosures,1,,2.495e-06,42,1780,2.216e-06,1.472e-06,1.694
encouragement,1,,2.954e-05,42,1780,2.629e-05,1.543e-05,1.914
engaged,1,proper,8.435e-05,42,1780,9.277e-05,8.781e-05,0.961
engraving,1,,4.587e-06,42,1780,6.651e-06,1.024e-05,0.448
enterprize,1,proper,8.814e-06,42,1780,4.590e-06,4.738e-07,18.604
entitled,1,,2.139e-04,42,1780,1.929e-04,1.833e-04,1.167
ernment,1,,1.107e-06,38,1781,1.553e-06,1.664e-06,0.665
escort,2,,4.233e-06,42,1780,4.450e-06,5.696e-06,0.743
esteem,1,proper,5.231e-05,42,1780,3.020e-05,1.452e-05,3.603
esteemed,1,proper,2.628e-05,42,1780,2.187e-05,1.224e-05,2.148
etc,1,,5.728e-06,42,1780,2.594e-06,2.513e-05,0.228
evacuation,2,,8.242e-06,42,1780,3.571e-06,3.625e-06,2.274
even,1,,4.640e-04,42,1780,5.572e-04,4.884e-04,0.950
event,1,,7.312e-05,42,1780,6.303e-05,4.358e-05,1.678
ever,1,,3.394e-04,42,1780,3.771e-04,3.092e-04,1.098
every,4,,1.063e-03,42,1780,9.820e-04,6.860e-04,1.549
exceeding,1,,5.003e-05,42,1780,3.914e-05,3.732e-05,1.340
exclusively,1,,1.455e-05,42,1780,2.782e-05,2.583e-05,0.563
execution,3,,1.383e-04,42,1780,1.041e-04,8.259e-05,1.675
exertions,1,,4.159e-05,42,1780,3.388e-05,9.904e-06,4.200
exhibited,2,,4.260e-05,42,1780,4.666e-05,3.363e-05,1.267
exhibiting,1,,1.042e-05,42,1780,1.353e-05,9.075e-06,1.149
expected,3,,9.872e-05,42,1780,8.953e-05,7.013e-05,1.408
expedient,1,,3.974e-05,42,1780,2.857e-05,1.543e-05,2.576
expenses,3,,4.004e-05,42,1780,6.522e-05,9.999e-05,0.400
expressed,1,,7.843e-05,42,1780,8.570e-05,6.827e-05,1.149
exps,4,,8.374e-08,16,1783,1.163e-08,3.234e-08,2.589
extraordinary,2,,6.809e-05,42,1780,6.664e-05,4.019e-05,1.694
f,2,,1.816e-04,42,1780,1.321e-04,1.230e-04,1.476
family,2,,1.668e-04,42,1780,1.746e-04,1.656e-04,1.007
far,1,,3.211e-04,42,1780,3.837e-04,3.728e-04,0.861
father,2,,2.447e-04,42,1780,2.874e-04,2.283e-04,1.072
favor,1,,6.637e-05,42,1780,9.863e-05,1.238e-04,0.536
favorably,1,,1.784e-06,40,1781,5.181e-06,1.206e-05,0.148
favour,1,,1.188e-04,42,1780,7.003e-05,1.578e-05,7.531
favourable,2,,3.911e-05,42,1780,2.541e-05,5.592e-06,6.994
favoured,1,,2.008e-05,42,1780,1.278e-05,2.599e-06,7.725
february,1,proper,1.093e-04,42,1780,7.208e-05,1.045e-04,1.045
feelings,1,,4.961e-05,42,1780,1.071e-04,4.709e-05,1.054
fellow,2,,6.926e-05,42,1780,7.630e-05,6.225e-05,1.113
few,2,,2.972e-04,42,1780,3.732e-04,3.625e-04,0.820
find,2,,2.718e-04,42,1780,2.850e-04,2.772e-04,0.981
firm,1,,3.386e-05,42,1780,4.386e-05,6.269e-05,0.540
first,2,,8.954e-04,42,1780,9.919e-04,1.031e-03,0.869
fixed,1,,8.596e-05,42,1780,8.460e-05,8.201e-05,1.048
florida,2,proper,1.757e-05,42,1780,2.845e-05,2.872e-05,0.612
follows,1,,8.981e-05,42,1780,9.972e-05,1.645e-04,0.546
for,24,,6.912e-03,42,1780,6.620e-03,7.011e-03,0.986
forbes,2,,6.089e-06,41,1780,3.459e-06,4.982e-06,1.222
fore,1,,2.733e-05,42,1780,2.098e-05,1.687e-05,1.620
