,jefferson_1,jefferson_2,jefferson_3,jefferson_4,randolph_1,randolph_2,randolph_3,randolph_4,jackson_1,jackson_2,jackson_3,jackson_4,jqadams_1,jqadams_2,jqadams_3,jqadams_4,ejames_1,ejames_2,ejames_3,ejames_4,flint_1,flint_2,flint_3,flint_4,hall_1,hall_2,hall_3,hall_4,paulding_1,paulding_2,paulding_3,paulding_4,pike_1,pike_2,pike_3,pike_4,biddle_1,biddle_2,biddle_3,biddle_4,gregg_1,gregg_2,gregg_3,gregg_4,pattie_1,pattie_2,pattie_3,pattie_4,tjames_1,tjames_2,tjames_3,tjames_4,irving_1,irving_2,irving_3,irving_4,bagby_1,bagby_2,bagby_3,bagby_4,cooke_1,cooke_2,cooke_3,cooke_4,cooke_lee_1,cooke_lee_2,cooke_lee_3,cooke_lee_4,davis_1,davis_2,davis_3,davis_4,page_1,page_2,page_3,page_4,cable_1,cable_2,cable_3,cable_4,eggleston_1,eggleston_2,eggleston_3,eggleston_4,twain_1,twain_2,twain_3,twain_4,twain_letters_1,twain_letters_2,twain_letters_3,twain_letters_4,lee_1,lee_2,lee_3,lee_4,cabell_1,cabell_2,cabell_3,cabell_4,christian_1,christian_2,christian_3,christian_4,pollock_1,pollock_2,pollock_3,pollock_4,shsp_1,shsp_2,shsp_3,shsp_4,poe_goldbug_1,poe_goldbug_2,poe_letters_1,beale_letters,beale_letter1,beale_b2,narrative,morriss,narrative_A,narrative_B,beale_letters_2000,narrative_2000
jefferson_1,0.0000,0.7411,0.9303,0.8106,0.8726,0.9104,0.9497,0.9912,1.0070,1.0477,0.9360,1.1267,0.8789,0.9378,0.9815,0.9921,1.1260,1.1058,1.0087,1.0316,0.7549,1.1313,0.9844,1.0963,1.0646,1.0833,1.0452,0.8852,0.9532,1.0464,0.9022,0.9612,1.2025,1.2298,0.9604,1.0251,1.0175,1.0573,1.2149,0.9972,0.8158,1.1694,1.0151,0.9037,1.1073,1.1747,0.8937,0.9027,1.0687,1.0003,1.1085,0.9875,1.0661,1.2184,1.2417,1.2724,0.7209,1.0204,0.8533,1.1153,0.9775,0.9955,1.0529,0.9191,0.8194,1.0996,1.0992,0.9070,0.6837,0.9556,0.8127,0.8373,1.1376,1.1897,1.2569,1.2181,1.1564,1.1058,1.1828,1.1068,0.8920,1.0543,0.9014,1.0363,1.0774,1.0917,0.9439,1.0591,0.9935,0.9551,1.0892,0.8390,0.9581,0.9992,0.8592,0.9285,0.8124,0.9292,0.9915,0.9381,0.8973,1.1416,1.1882,1.0933,0.9370,0.9784,0.8163,0.9777,1.0881,1.1264,1.0239,1.1262,1.0657,0.9155,0.8789,0.9305,0.9320,0.9068,0.8214,0.8521,0.7882,0.9132,0.9513,0.7897
jefferson_2,0.7411,0.0000,0.7880,0.7811,0.8123,1.0304,1.0972,1.0147,0.8765,0.8549,0.8864,1.2645,0.9041,0.9983,0.8744,1.1326,1.2298,0.9087,0.9814,1.1624,0.9162,1.1439,0.9602,1.0576,0.9858,0.9800,0.8976,0.9962,1.0200,0.8944,1.0614,1.0488,1.0983,1.0531,0.7982,1.0759,1.0508,1.3310,1.1615,1.0883,0.9898,0.8198,0.8403,0.8774,0.9530,1.1662,0.7929,0.9376,1.0562,1.0509,1.1580,1.0245,1.0260,1.0558,1.0213,1.0613,1.0231,1.1990,0.9217,1.0270,1.0982,0.8589,1.1734,0.9891,0.9051,1.0681,1.1202,1.0034,0.9433,1.0156,0.8604,0.8050,1.1358,1.0755,1.1600,1.2523,1.2236,1.1410,1.2404,1.1090,0.9574,0.9361,1.2347,0.8888,1.0781,1.0611,0.9408,0.9236,1.0248,0.9322,1.0948,0.9255,0.7780,0.7985,0.7555,1.0513,1.0328,0.9928,0.9851,0.9392,0.8845,1.1225,1.0794,1.0549,0.7881,0.9786,0.9436,1.1142,1.1025,1.2387,1.0023,1.0614,1.0779,0.9278,0.8223,0.6604,0.7016,0.8903,0.7967,1.0236,0.8043,0.8573,0.7153,0.7997
jefferson_3,0.9303,0.7880,-0.0000,0.8110,0.9120,1.0879,1.0005,1.1005,0.8668,1.0214,0.9906,1.1351,1.0100,0.9038,0.8280,1.0967,0.8522,0.8483,0.9566,1.0120,0.8412,0.8596,0.9260,1.0850,0.7626,0.9496,0.9069,0.8820,1.2582,1.1402,1.1262,1.0343,1.0164,0.8882,0.8185,0.9935,0.9158,0.8617,0.8525,0.9475,1.0835,0.7420,0.7574,0.8240,0.8341,0.8812,0.8087,1.0347,1.0354,0.8253,0.8530,1.0926,0.9540,0.9547,1.0259,0.9540,1.1596,1.1145,1.0019,1.1219,1.0897,1.0448,1.1411,1.0667,0.9886,1.1039,0.8413,1.0653,0.7383,0.9041,0.8484,0.6713,1.0365,1.1483,1.2374,1.0807,1.2423,1.2073,1.2158,1.1722,1.1402,0.8234,1.3211,1.0424,1.2562,1.3082,1.2362,0.8177,1.0587,1.0889,1.2839,1.0990,1.0131,0.9421,0.8959,1.0598,1.1393,1.0909,1.0206,1.1141,1.0959,1.2189,1.0614,1.1612,0.9509,1.0180,1.0707,1.0861,0.9992,1.1500,0.9868,0.9025,1.1760,1.1282,0.9562,0.7870,0.8085,1.0287,1.0469,0.9270,1.1166,0.9637,0.8262,1.1237
jefferson_4,0.8106,0.7811,0.8110,0.0000,0.8463,0.9933,1.0772,0.9084,0.7279,0.8800,0.9686,1.2424,0.8423,0.8565,0.9586,1.0617,1.0602,1.1860,0.9100,1.2178,0.9816,1.2520,0.8769,1.1379,0.8972,0.9507,1.0778,0.5678,0.6774,0.6489,0.9004,0.7914,1.1977,0.9949,0.8357,0.9808,1.1190,1.2483,1.0012,1.0353,0.7240,0.9585,0.7617,0.7489,1.0057,1.1773,1.0149,0.9763,1.2520,1.1240,1.1223,1.1113,1.1874,1.3074,1.2070,1.2324,0.7707,1.2105,0.9758,0.9197,1.1073,1.0941,1.2589,1.1409,0.9024,1.1447,1.1416,1.1976,0.6515,0.9962,0.8899,0.8227,1.0788,1.0436,1.2276,1.0820,0.9927,1.2043,1.0216,1.0197,0.7576,0.9080,1.1515,1.0443,1.0858,0.9379,0.8953,0.6510,0.9203,0.9857,1.1123,0.8323,0.9945,1.0317,0.7854,1.3721,1.3039,1.2638,1.1513,1.1969,0.8470,1.2500,1.2561,1.1593,0.8082,0.9749,0.9822,1.0467,1.1972,1.2398,1.0522,1.0706,1.0539,0.8671,1.0079,0.6633,0.7074,1.1790,0.8510,1.1728,0.8969,0.8563,0.7603,0.8975
randolph_1,0.8726,0.8123,0.9120,0.8463,0.0000,0.4090,0.5524,0.6325,0.6452,0.4634,0.6381,1.1030,0.9678,0.9148,1.0616,0.9735,1.1193,1.2476,1.0726,1.1279,0.9468,1.1354,1.0294,1.0800,1.1049,1.1050,1.1070,0.8705,1.0013,0.9901,0.9691,0.9895,1.1418,1.1035,0.7407,1.0375,1.2475,1.1318,1.0339,1.1144,0.9740,1.1200,0.9561,0.9611,1.0928,1.2671,1.0828,0.8679,1.1666,1.2183,1.0712,0.8773,1.2443,1.2417,1.3127,1.3226,0.9857,1.0807,1.0747,0.8534,1.2310,1.1333,1.2897,1.1305,0.8234,1.2117,1.2374,1.0680,1.0887,1.0703,1.1899,0.8077,1.2688,1.1236,1.1126,1.2975,1.1076,0.9347,1.0427,0.7822,1.0998,1.1221,1.1101,1.0341,1.2105,1.0243,1.0825,0.9516,0.7123,0.8058,1.0248,0.6487,0.5827,0.7757,0.3980,1.1857,1.1551,1.0447,1.1804,1.2569,1.0965,1.2905,1.2843,1.2174,0.8654,1.0783,1.0825,1.0981,1.1183,1.2304,1.0330,0.8748,0.7595,0.9638,0.6419,0.6865,0.7905,1.0576,0.7691,0.8855,0.9025,0.7170,0.8666,0.9096
randolph_2,0.9104,1.0304,1.0879,0.9933,0.4090,0.0000,0.4050,0.6911,0.5556,0.5247,0.6387,0.9795,0.9458,0.8776,0.9887,0.7162,1.0285,1.2605,1.0204,0.9874,0.9809,1.1611,1.0865,0.9868,1.2092,1.0424,1.2947,0.8009,1.0046,1.0525,0.9305,0.8673,1.0557,0.9004,0.8518,0.9855,1.2208,1.0681,1.0648,1.1240,0.9370,1.2313,1.0105,0.9847,1.2247,1.2290,1.1286,0.7584,1.1753,1.2263,1.0989,0.9044,1.2273,1.2957,1.3314,1.3160,0.8935,0.9217,1.1124,0.8187,1.3058,1.1954,1.3084,1.0555,0.8466,1.2638,1.2441,1.0077,1.0529,0.9881,1.2562,0.8146,1.3405,1.2471,1.0968,1.2281,1.1201,0.9038,0.9887,0.7842,1.1548,1.2719,0.9755,1.0970,1.1128,1.0696,1.0812,1.0192,0.7513,0.9111,1.0150,0.7796,0.6238,0.9545,0.5413,1.1246,1.1566,1.1180,1.1501,1.1974,1.1480,1.1764,1.3058,1.1463,0.8467,1.0224,1.0108,1.0313,1.2003,1.2127,0.9974,0.9772,0.7003,1.0423,0.6710,0.9138,1.0111,1.0553,0.8356,1.0025,0.9184,0.8103,1.0801,0.9265
randolph_3,0.9497,1.0972,1.0005,1.0772,0.5524,0.4050,-0.0000,0.5849,0.6515,0.6288,0.5803,1.0212,1.1520,1.0432,1.0795,0.8543,1.0543,1.1035,1.1127,1.0391,1.0508,0.8638,1.1751,0.8363,1.0485,1.0305,1.3391,0.9448,1.0644,1.1475,0.8389,0.9308,0.9532,1.0054,0.9855,1.0783,1.1628,1.0204,0.9945,1.1291,0.9881,1.2299,1.0595,0.9184,1.1352,1.1659,1.1974,0.7988,1.1252,1.0898,1.0646,0.8745,1.2788,1.0917,1.1287,1.1382,0.9793,0.9804,1.0006,0.9106,1.4174,1.3557,1.3906,1.0780,0.8740,1.2457,1.1316,1.0510,1.1555,0.9318,1.1917,0.9620,1.2566,1.1705,1.1111,1.0856,1.2147,0.9659,0.8966,0.8527,1.2547,1.2595,1.1401,1.2532,1.1642,1.0532,1.0820,0.8698,0.7208,0.7527,0.9904,0.8895,0.6111,1.0058,0.6113,1.1849,1.2338,1.1457,1.1267,1.1940,1.0131,1.1744,1.2120,1.0909,0.7376,1.0215,0.8074,0.9869,1.0201,0.9851,0.9051,0.8513,0.7725,0.9489,0.7062,0.9574,1.0248,1.1174,1.0358,1.0122,1.1142,0.9478,1.0644,1.1206
randolph_4,0.9912,1.0147,1.1005,0.9084,0.6325,0.6911,0.5849,0.0000,0.9019,0.6214,0.7577,0.9630,0.8851,1.0599,1.1091,0.9973,1.0910,1.1944,1.1176,1.0947,1.0398,0.9888,1.0922,1.0193,1.1795,0.8859,1.3416,0.7905,0.8546,0.7924,0.7035,0.8497,0.9850,0.9663,1.0548,1.1824,1.3714,1.0348,0.9813,1.1322,0.6643,1.1282,0.9854,0.9664,1.2038,1.2678,1.2774,0.8993,1.2663,1.2166,1.1210,0.9171,1.1438,1.1498,1.1130,1.1685,0.7941,1.0485,0.7860,0.7955,1.4179,1.1589,1.4987,1.1768,1.0887,1.2754,1.2367,1.0657,1.1920,1.1092,1.2578,1.2097,1.1916,0.9550,1.0477,1.1472,1.0453,0.7997,0.7399,0.8241,1.0485,1.1517,0.8633,1.1152,1.0474,0.7747,0.8541,0.8884,0.5781,0.7321,0.9376,0.6941,0.7395,1.1062,0.7761,1.1246,1.1787,0.9338,1.1165,1.1583,1.1083,1.2695,1.2588,1.2763,0.9352,1.1654,0.9579,1.1693,1.1555,1.0047,1.0828,0.8723,0.6503,0.8072,0.7808,0.8035,0.8387,1.1341,0.9578,0.8860,1.0016,0.9295,0.8610,1.0102
jackson_1,1.0070,0.8765,0.8668,0.7279,0.6452,0.5556,0.6515,0.9019,0.0000,0.4392,0.4468,1.0458,1.0319,0.8017,0.9230,0.8472,1.1263,1.2805,1.0877,1.0623,1.0393,1.2172,0.9913,1.0028,1.1371,1.2019,1.1424,0.7601,0.9709,0.9125,1.0939,0.7806,1.1512,0.9394,0.7019,0.9473,1.0650,1.0571,1.1500,1.0972,0.9624,1.1691,1.0274,0.8335,1.1347,1.2796,1.0597,0.9078,1.0843,1.1501,1.0968,1.0069,1.2616,1.3234,1.2620,1.3298,0.8485,1.1085,1.1298,0.9444,1.2688,0.9403,1.2139,0.9769,0.7905,1.0380,1.0533,0.8264,0.9939,0.7925,1.1121,0.6205,1.2659,1.1760,1.1116,1.2922,1.2665,1.1269,1.1348,0.8999,1.1313,1.0230,1.1302,1.2349,1.3387,1.2559,1.1877,0.8015,0.8426,1.0099,1.0178,0.8371,0.7115,0.7696,0.5898,1.1362,1.1406,1.1765,0.9864,1.2297,1.0173,1.3441,1.2006,1.1692,0.8299,0.9768,0.9446,0.9920,1.2055,1.2760,0.8037,1.0443,0.9829,1.1402,0.7957,0.7028,0.8360,0.9943,0.8158,0.8734,0.9153,0.7810,0.8989,0.9155
jackson_2,1.0477,0.8549,1.0214,0.8800,0.4634,0.5247,0.6288,0.6214,0.4392,0.0000,0.4547,1.0373,0.9386,0.8892,0.9994,0.9406,1.0991,1.3129,1.2251,1.1862,0.9854,1.2086,1.0918,0.9473,1.2563,1.1726,1.2833,0.9145,0.8815,1.0191,1.0790,0.9209,1.1605,1.0663,0.7121,1.0597,1.3253,1.1666,1.1393,1.2054,0.9444,1.3089,1.0717,1.0294,1.0137,1.2204,1.0640,0.8731,1.2117,1.3303,1.2340,0.8026,1.2426,1.2718,1.2482,1.3687,0.8435,1.1627,1.1078,0.5882,1.3341,1.0660,1.3843,1.1216,0.9615,1.1279,1.2303,0.9592,1.1754,0.9336,1.2294,0.8144,1.3341,1.0076,0.9254,1.2847,1.1060,0.9202,0.8779,0.6484,1.0961,1.1174,1.0021,1.1800,1.1829,0.8895,0.9354,0.7815,0.6118,0.7990,0.8858,0.5120,0.5166,0.7031,0.5052,1.1374,1.3237,1.1202,1.2673,1.3335,1.0871,1.3690,1.3243,1.2170,0.9061,1.1214,1.0441,1.1787,1.1885,1.2296,0.8852,0.8690,0.6889,0.9599,0.7200,0.6441,0.7615,1.0297,0.8064,0.8483,0.9088,0.7719,0.8075,0.9110
