n,word_hyphen_split,initial_hyphen_split,word_hyphen_joined,initial_hyphen_joined
1205,people,P,these,T
1206,of,O,colonies,C
1207,these,T,solemnly,S
1208,colonies,C,publish,P
1209,solemnly,S,and,A
1210,publish,P,declare,D
1211,and,A,that,T
1212,declare,D,these,T
1213,that,T,united,U
1214,these,T,colonies,C
1215,united,U,are,A
1216,colonies,C,and,A
1217,are,A,of,O
1218,and,A,right,R
1219,of,O,ought,O
1220,right,R,to,T
1221,ought,O,be,B
1222,to,T,free,F
1223,be,B,and,A
1224,free,F,independent,I
1225,and,A,states,S
1226,independent,I,that,T
1227,states,S,they,T
1228,that,T,are,A
1229,they,T,absolved,A
1230,are,A,from,F
1231,absolved,A,all,A
1232,from,F,allegiance,A
1233,all,A,to,T
1234,allegiance,A,the,T
1235,to,T,british,B
1236,the,T,crown,C
1237,british,B,and,A
1238,crown,C,that,T
1239,and,A,all,A
1240,that,T,political,P
1241,all,A,connection,C
1242,political,P,between,B
1243,connection,C,them,T
1244,between,B,and,A
1245,them,T,the,T
1246,and,A,state,S
1247,the,T,of,O
1248,state,S,great,G
1249,of,O,britain,B
1250,great,G,is,I
1251,britain,B,and,A
1252,is,I,ought,O
1253,and,A,to,T
1254,ought,O,be,B
1255,to,T,totally,T
1256,be,B,dissolved,D
1257,totally,T,and,A
1258,dissolved,D,that,T
1259,and,A,as,A
1260,that,T,free,F
1261,as,A,and,A
1262,free,F,independent,I
1263,and,A,states,S
1264,independent,I,they,T
1265,states,S,have,H
1266,they,T,full,F
1267,have,H,power,P
1268,full,F,to,T
1269,power,P,levy,L
1270,to,T,war,W
1271,levy,L,conclude,C
1272,war,W,peace,P
1273,conclude,C,contract,C
1274,peace,P,alliances,A
1275,contract,C,establish,E
1276,alliances,A,commerce,C
1277,establish,E,and,A
1278,commerce,C,to,T
1279,and,A,do,D
1280,to,T,all,A
1281,do,D,other,O
1282,all,A,acts,A
1283,other,O,and,A
1284,acts,A,things,T
1285,and,A,which,W
1286,things,T,independent,I
1287,which,W,states,S
1288,independent,I,may,M
1289,states,S,of,O
1290,may,M,right,R
1291,of,O,do,D
1292,right,R,and,A
1293,do,D,for,F
1294,and,A,the,T
1295,for,F,support,S
1296,the,T,of,O
1297,support,S,this,T
1298,of,O,declaration,D
1299,this,T,with,W
1300,declaration,D,a,A
1301,with,W,firm,F
1302,a,A,reliance,R
1303,firm,F,on,O
1304,reliance,R,the,T
1305,on,O,protection,P
1306,the,T,of,O
1307,protection,P,divine,D
1308,of,O,providence,P
1309,divine,D,we,W
1310,providence,P,mutually,M
1311,we,W,pledge,P
1312,mutually,M,to,T
1313,pledge,P,each,E
1314,to,T,other,O
1315,each,E,our,O
1316,other,O,lives,L
1317,our,O,our,O
1318,lives,L,fortunes,F
1319,our,O,and,A
1320,fortunes,F,our,O
1321,and,A,sacred,S
1322,our,O,honor,H
1323,sacred,S,,
1324,honor,H,,
