n,word_hyphen_split,initial_hyphen_split,word_hyphen_joined,initial_hyphen_joined
287,is,I,now,N
288,now,N,the,T
289,the,T,necessity,N
290,necessity,N,which,W
291,which,W,constrains,C
292,constrains,C,them,T
293,them,T,to,T
294,to,T,alter,A
295,alter,A,their,T
296,their,T,former,F
297,former,F,systems,S
298,systems,S,of,O
299,of,O,government,G
300,government,G,the,T
301,the,T,history,H
302,history,H,of,O
303,of,O,the,T
304,the,T,present,P
305,present,P,king,K
306,king,K,of,O
307,of,O,great,G
308,great,G,britain,B
309,britain,B,is,I
310,is,I,a,A
311,a,A,history,H
312,history,H,of,O
313,of,O,repeated,R
314,repeated,R,injuries,I
315,injuries,I,and,A
316,and,A,usurpations,U
317,usurpations,U,all,A
318,all,A,having,H
319,having,H,in,I
320,in,I,direct,D
321,direct,D,object,O
322,object,O,the,T
323,the,T,establishment,E
324,establishment,E,of,O
325,of,O,an,A
326,an,A,absolute,A
327,absolute,A,tyranny,T
328,tyranny,T,over,O
329,over,O,these,T
330,these,T,states,S
331,states,S,to,T
332,to,T,prove,P
333,prove,P,this,T
334,this,T,let,L
335,let,L,facts,F
336,facts,F,be,B
337,be,B,submitted,S
338,submitted,S,to,T
339,to,T,a,A
340,a,A,candid,C
341,candid,C,world,W
342,world,W,he,H
343,he,H,has,H
344,has,H,refused,R
345,refused,R,his,H
346,his,H,assent,A
347,assent,A,to,T
348,to,T,laws,L
349,laws,L,the,T
350,the,T,most,M
351,most,M,wholesome,W
352,wholesome,W,and,A
353,and,A,necessary,N
354,necessary,N,for,F
355,for,F,the,T
356,the,T,public,P
357,public,P,good,G
358,good,G,he,H
359,he,H,has,H
360,has,H,forbidden,F
361,forbidden,F,his,H
362,his,H,governors,G
363,governors,G,to,T
364,to,T,pass,P
365,pass,P,laws,L
366,laws,L,of,O
367,of,O,immediate,I
368,immediate,I,and,A
369,and,A,pressing,P
370,pressing,P,importance,I
371,importance,I,unless,U
372,unless,U,suspended,S
373,suspended,S,in,I
374,in,I,their,T
375,their,T,operation,O
376,operation,O,till,T
377,till,T,his,H
378,his,H,assent,A
379,assent,A,should,S
380,should,S,be,B
381,be,B,obtained,O
382,obtained,O,and,A
383,and,A,when,W
384,when,W,so,S
385,so,S,suspended,S
386,suspended,S,he,H
387,he,H,has,H
388,has,H,utterly,U
389,utterly,U,neglected,N
390,neglected,N,to,T
391,to,T,attend,A
392,attend,A,to,T
393,to,T,them,T
394,them,T,he,H
395,he,H,has,H
396,has,H,refused,R
397,refused,R,to,T
398,to,T,pass,P
399,pass,P,other,O
400,other,O,laws,L
401,laws,L,for,F
402,for,F,the,T
403,the,T,accommodation,A
404,accommodation,A,of,O
405,of,O,large,L
406,large,L,districts,D
407,districts,D,of,O
408,of,O,people,P
409,people,P,unless,U
410,unless,U,those,T
411,those,T,people,P
412,people,P,would,W
413,would,W,relinquish,R
414,relinquish,R,their,T
415,their,T,right,R
416,right,R,of,O
417,of,O,representation,R
418,representation,R,in,I
419,in,I,the,T
420,the,T,legislature,L
421,legislature,L,a,A
422,a,A,right,R
423,right,R,inestimable,I
424,inestimable,I,to,T
425,to,T,them,T
426,them,T,and,A
427,and,A,formidable,F
428,formidable,F,to,T
429,to,T,tyrants,T
430,tyrants,T,only,O
431,only,O,he,H
432,he,H,has,H
433,has,H,called,C
434,called,C,together,T
435,together,T,legislative,L
436,legislative,L,bodies,B
437,bodies,B,at,A
438,at,A,places,P
439,places,P,unusual,U
440,unusual,U,uncomfortable,U
441,uncomfortable,U,and,A
442,and,A,distant,D
443,distant,D,from,F
444,from,F,the,T
445,the,T,depositary,D
446,depositary,D,of,O
447,of,O,their,T
448,their,T,public,P
449,public,P,records,R
450,records,R,for,F
451,for,F,the,T
452,the,T,sole,S
453,sole,S,purpose,P
454,purpose,P,of,O
455,of,O,fatiguing,F
456,fatiguing,F,them,T
457,them,T,into,I
458,into,I,compliance,C
459,compliance,C,with,W
460,with,W,his,H
461,his,H,measures,M
462,measures,M,he,H
463,he,H,has,H
464,has,H,dissolved,D
465,dissolved,D,representative,R
466,representative,R,houses,H
467,houses,H,repeatedly,R
468,repeatedly,R,for,F
469,for,F,opposing,O
470,opposing,O,with,W
471,with,W,manly,M
472,manly,M,firmness,F
473,firmness,F,his,H
474,his,H,invasions,I
475,invasions,I,on,O
476,on,O,the,T
477,the,T,rights,R
478,rights,R,of,O
479,of,O,the,T
480,the,T,people,P
481,people,P,he,H
482,he,H,has,H
483,has,H,refused,R
484,refused,R,for,F
485,for,F,a,A
486,a,A,long,L
487,long,L,time,T
488,time,T,after,A
489,after,A,such,S
490,such,S,dissolutions,D
491,dissolutions,D,to,T
492,to,T,cause,C
493,cause,C,others,O
494,others,O,to,T
495,to,T,be,B
496,be,B,elected,E
497,elected,E,whereby,W
498,whereby,W,the,T
499,the,T,legislative,L
500,legislative,L,powers,P
501,powers,P,incapable,I
502,incapable,I,of,O
503,of,O,annihilation,A
504,annihilation,A,have,H
505,have,H,returned,R
506,returned,R,to,T
507,to,T,the,T
508,the,T,people,P
509,people,P,at,A
510,at,A,large,L
511,large,L,for,F
512,for,F,their,T
513,their,T,exercise,E
514,exercise,E,the,T
515,the,T,state,S
516,state,S,remaining,R
517,remaining,R,in,I
518,in,I,the,T
519,the,T,meantime,M
520,meantime,M,exposed,E
521,exposed,E,to,T
522,to,T,all,A
523,all,A,the,T
524,the,T,danger,D
525,danger,D,of,O
526,of,O,invasion,I
527,invasion,I,from,F
528,from,F,without,W
529,without,W,and,A
530,and,A,convulsions,C
531,convulsions,C,within,W
532,within,W,he,H
533,he,H,has,H
534,has,H,endeavored,E
535,endeavored,E,to,T
536,to,T,prevent,P
537,prevent,P,the,T
538,the,T,population,P
539,population,P,of,O
540,of,O,these,T
541,these,T,states,S
542,states,S,for,F
543,for,F,that,T
544,that,T,purpose,P
545,purpose,P,obstructing,O
546,obstructing,O,the,T
547,the,T,laws,L
