position,cipher_number,expected_letter,dec_straight_pamphlet_text,dec_pamphlet_numbering_forward,dec_pamphlet_numbering_backward,dec_nara_straight,dec_gillogly_table1
626,15,d,d,d,d,d,d
627,64,t,t,t,t,t,t
628,73,h,h,h,h,h,h
629,138,e,e,e,e,e,e
630,807,v,r,v,v,r,i
631,85,e,e,e,e,e,e
632,78,s,s,s,s,s,s
633,110,s,s,s,s,s,s
634,33,e,e,e,e,e,e
635,420,l,t,l,l,l,l
636,505,s,h,s,t,r,r
637,53,r,r,r,r,r,r
638,37,e,e,e,e,e,e
639,38,s,s,s,s,s,s
640,22,t,t,t,t,t,t
641,31,o,o,o,o,o,o
642,10,n,n,n,n,n,n
643,110,s,s,s,s,s,s
644,106,o,o,o,o,o,o
645,101,l,l,l,l,l,l
646,140,i,i,i,i,i,i
647,15,d,d,d,d,d,d
648,38,s,s,s,s,s,s
649,3,t,t,t,t,t,t
650,5,o,o,o,o,o,o
651,44,n,n,n,n,n,n
652,7,e,e,e,e,e,e
653,98,a,a,a,a,a,a
654,287,n,i,n,n,n,n
655,135,d,d,d,d,d,d
656,150,a,a,a,a,a,a
657,96,r,r,r,r,r,r
658,33,e,e,e,e,e,e
659,84,c,c,c,c,c,c
660,125,o,o,o,o,o,o
661,807,v,r,v,v,r,i
662,191,e,e,e,e,s,s
663,96,r,r,r,r,r,r
664,511,e,l,e,e,f,f
665,118,d,d,d,d,d,d
666,440,w,u,u,u,u,u
667,370,i,p,i,i,i,i
668,643,t,s,t,t,s,a
669,466,h,r,h,h,h,h
670,106,o,o,o,o,o,o
671,41,t,t,t,t,t,t
672,107,h,h,h,h,h,h
673,603,e,a,e,e,a,t
674,220,r,r,r,r,t,t
675,275,s,s,s,s,s,s
676,30,p,p,p,p,p,p
677,150,a,a,a,a,a,a
678,105,p,p,p,p,p,p
679,49,e,e,e,e,e,e
680,53,r,r,r,r,r,r
681,287,n,i,n,n,n,n
682,250,u,t,tu,u,u,u
683,208,m,m,m,m,a,a
684,134,b,b,b,b,b,b
685,7,e,e,e,e,e,e
686,53,r,r,r,r,r,r
687,12,o,o,o,o,o,o
688,47,n,n,n,n,n,n
689,85,e,e,e,e,e,e
690,63,d,d,d,d,d,d
691,138,e,e,e,e,e,e
692,110,s,s,s,s,s,s
693,21,c,c,c,c,c,c
694,112,r,r,r,r,r,r
695,140,i,i,i,i,i,i
696,485,b,f,ab,b,a,a
697,486,e,a,el,e,l,l
698,505,s,h,s,t,r,r
699,14,t,t,t,t,t,t
700,73,h,h,h,h,h,h
701,84,e,c,c,c,c,c
702,575,e,a,e,e,a,o
703,1005,x,h,h,h,p,p
704,150,a,a,a,a,a,a
705,200,c,c,c,c,a,a
706,16,t,t,t,t,t,t
707,42,l,l,l,l,l,l
708,5,o,o,o,o,o,o
709,4,c,c,c,c,c,c
710,25,a,a,a,a,a,a
711,42,l,l,l,l,l,l
712,8,i,i,i,i,i,i
713,16,t,t,t,t,t,t
714,811,y,f,f,f,f,t
715,125,o,o,o,o,o,o
716,160,f,f,f,f,o,o
717,32,t,t,t,t,t,t
718,205,h,h,h,h,s,s
719,603,e,a,e,e,a,t
720,807,v,r,v,v,r,i
721,81,a,a,a,a,a,a
722,96,u,r,r,r,r,r
723,405,l,o,l,l,l,l
724,41,t,t,t,t,t,t
725,600,s,o,s,s,o,t
726,136,o,o,o,o,o,o
727,14,t,t,t,t,t,t
728,20,h,h,h,h,h,h
729,28,a,a,a,a,a,a
730,26,t,t,t,t,t,t
731,353,n,a,n,n,n,n
732,302,o,h,o,o,o,o
733,246,d,a,a,d,d,d
734,8,i,i,i,i,i,i
735,131,f,f,f,f,f,f
736,160,f,f,f,f,o,o
737,140,i,i,i,i,i,i
738,84,c,c,c,c,c,c
739,440,u,u,u,u,u,u
740,42,l,l,l,l,l,l
741,16,t,t,t,t,t,t
742,811,y,f,f,f,f,t
743,40,w,w,w,w,w,w
744,67,i,i,i,i,i,i
745,101,l,l,l,l,l,l
746,102,l,l,l,l,l,l
747,194,b,b,b,b,c,c
748,138,e,e,e,e,e,e
749,205,h,h,h,h,s,s
750,51,a,a,a,a,a,a
751,63,d,d,d,d,d,d
752,241,i,i,i,t,t,t
753,540,n,o,n,n,o,t
754,122,f,f,f,f,f,f
755,8,i,i,i,i,i,i
756,10,n,n,n,n,n,n
757,63,d,d,d,d,d,d
758,140,i,i,i,i,i,i
759,47,n,n,n,n,n,n
760,48,g,g,g,g,g,g
761,140,i,i,i,i,i,i
762,288,t,n,t,t,t,t
