word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
assuring,1,,5.653e-06,42,1780,4.637e-06,3.170e-06,1.783
at,21,,3.874e-03,42,1780,3.970e-03,4.249e-03,0.912
attach,1,,7.755e-06,42,1780,1.059e-05,9.703e-06,0.799
attended,2,,1.065e-04,42,1780,8.429e-05,5.318e-05,2.002
attention,4,,1.778e-04,42,1780,1.800e-04,1.641e-04,1.083
authenticate,1,,4.882e-07,34,1782,5.166e-07,3.970e-07,1.230
avoid,2,,4.909e-05,42,1780,4.752e-05,3.909e-05,1.256
await,2,,4.034e-06,41,1780,6.208e-06,7.210e-06,0.559
aware,1,,1.958e-05,42,1780,4.373e-05,3.370e-05,0.581
away,1,,1.904e-04,42,1780,2.322e-04,2.452e-04,0.777
band,1,,2.014e-05,42,1780,2.641e-05,3.737e-05,0.539
barely,1,,6.804e-06,42,1780,6.970e-06,7.485e-06,0.909
based,1,,1.057e-05,41,1780,1.378e-05,3.700e-05,0.286
battle,1,,7.152e-05,42,1780,8.160e-05,8.759e-05,0.817
be,28,,8.153e-03,42,1780,7.276e-03,6.350e-03,1.284
beale,7,,5.862e-07,33,1783,1.106e-06,1.595e-06,0.368
beale's,6,,0.000e+00,0,,0.000e+00,0.000e+00,
bearing,1,,3.562e-05,42,1780,4.731e-05,6.431e-05,0.554
became,3,,1.232e-04,42,1780,1.553e-04,1.598e-04,0.771
become,1,,1.952e-04,42,1780,2.208e-04,2.108e-04,0.926
been,6,,2.056e-03,42,1780,2.339e-03,2.234e-03,0.921
before,3,,9.457e-04,42,1780,9.351e-04,8.471e-04,1.116
begin,1,,4.627e-05,42,1780,4.179e-05,4.432e-05,1.044
behind,1,,5.588e-05,42,1780,6.656e-05,8.248e-05,0.677
being,2,,1.121e-03,42,1780,9.612e-04,8.729e-04,1.284
believed,2,,5.666e-05,42,1780,8.294e-05,6.398e-05,0.886
beneficiaries,1,,2.238e-06,26,1780,1.925e-06,2.327e-06,0.962
benefit,5,,8.199e-05,42,1780,9.562e-05,8.631e-05,0.950
benefited,1,,3.600e-06,42,1780,4.872e-06,7.415e-06,0.485
best,4,,2.374e-04,42,1780,2.573e-04,3.087e-04,0.769
better,1,,2.135e-04,42,1780,2.259e-04,2.452e-04,0.871
between,1,,4.937e-04,42,1780,5.028e-04,5.395e-04,0.915
beyond,2,,1.033e-04,42,1780,1.297e-04,1.284e-04,0.805
bitter,1,,1.707e-05,42,1780,2.526e-05,2.547e-05,0.670
blessing,1,,3.324e-05,42,1780,3.962e-05,2.179e-05,1.526
blessings,1,,3.232e-05,42,1780,3.302e-05,1.383e-05,2.337
boarder,1,,1.728e-07,29,1784,2.939e-07,5.971e-07,0.289
boast,1,,1.493e-05,42,1780,1.522e-05,8.758e-06,1.705
book,1,,1.574e-04,42,1780,1.612e-04,1.997e-04,0.788
born,1,,8.710e-05,42,1780,9.099e-05,1.220e-04,0.714
box,6,,2.137e-05,42,1780,2.473e-05,5.526e-05,0.387
brick,1,,1.081e-05,42,1780,1.374e-05,2.943e-05,0.367
bring,1,,1.440e-04,42,1780,1.407e-04,1.183e-04,1.217
bringing,1,,3.497e-05,42,1780,3.612e-05,3.604e-05,0.970
brought,1,,2.812e-04,42,1780,2.718e-04,2.511e-04,1.120
building,1,,6.951e-05,42,1780,7.406e-05,1.502e-04,0.463
built,1,,6.561e-05,42,1780,6.530e-05,9.027e-05,0.727
buoyant,1,,5.540e-07,32,1783,2.201e-06,1.873e-06,0.296
business,5,,1.966e-04,42,1780,1.917e-04,2.643e-04,0.744
but,25,,3.615e-03,42,1780,3.816e-03,3.321e-03,1.089
by,22,,6.917e-03,42,1780,6.706e-03,6.497e-03,1.065
called,1,,4.286e-04,42,1780,4.393e-04,3.731e-04,1.149
came,2,,2.544e-04,42,1780,2.703e-04,3.050e-04,0.834
can,10,,1.244e-03,42,1780,1.346e-03,1.297e-03,0.959
cannot,1,,0.000e+00,0,,0.000e+00,0.000e+00,
cared,1,,2.180e-06,40,1780,5.053e-06,1.132e-05,0.193
career,2,,1.260e-05,42,1780,2.354e-05,2.756e-05,0.457
careful,2,,2.442e-05,42,1780,3.006e-05,5.273e-05,0.463
carefully,2,,3.185e-05,42,1780,3.824e-05,5.977e-05,0.533
carry,1,,9.350e-05,42,1780,8.483e-05,8.453e-05,1.106
case,3,,4.775e-04,42,1780,5.548e-04,6.424e-04,0.743
century,1,,4.794e-05,42,1780,6.460e-05,8.489e-05,0.565
certain,4,,3.609e-04,42,1780,3.010e-04,3.148e-04,1.147
change,1,,1.148e-04,42,1780,1.440e-04,1.549e-04,0.741
changed,1,,4.365e-05,42,1780,5.265e-05,6.046e-05,0.722
