,jefferson_1,jefferson_2,jefferson_3,jefferson_4,randolph_1,randolph_2,randolph_3,randolph_4,jackson_1,jackson_2,jackson_3,jackson_4,jqadams_1,jqadams_2,jqadams_3,jqadams_4,ejames_1,ejames_2,ejames_3,ejames_4,flint_1,flint_2,flint_3,flint_4,hall_1,hall_2,hall_3,hall_4,paulding_1,paulding_2,paulding_3,paulding_4,pike_1,pike_2,pike_3,pike_4,biddle_1,biddle_2,biddle_3,biddle_4,gregg_1,gregg_2,gregg_3,gregg_4,pattie_1,pattie_2,pattie_3,pattie_4,tjames_1,tjames_2,tjames_3,tjames_4,irving_1,irving_2,irving_3,irving_4,bagby_1,bagby_2,bagby_3,bagby_4,cooke_1,cooke_2,cooke_3,cooke_4,cooke_lee_1,cooke_lee_2,cooke_lee_3,cooke_lee_4,davis_1,davis_2,davis_3,davis_4,page_1,page_2,page_3,page_4,cable_1,cable_2,cable_3,cable_4,eggleston_1,eggleston_2,eggleston_3,eggleston_4,twain_1,twain_2,twain_3,twain_4,twain_letters_1,twain_letters_2,twain_letters_3,twain_letters_4,lee_1,lee_2,lee_3,lee_4,cabell_1,cabell_2,cabell_3,cabell_4,christian_1,christian_2,christian_3,christian_4,pollock_1,pollock_2,pollock_3,pollock_4,shsp_1,shsp_2,shsp_3,shsp_4,poe_goldbug_1,poe_goldbug_2,poe_letters_1,beale_letters,beale_letter1,beale_b2,narrative,morriss,narrative_A,narrative_B,beale_letters_2000,narrative_2000
jefferson_1,0.0000,0.7090,0.7811,0.8743,0.8820,0.9296,0.9380,0.8307,0.8204,0.8645,0.7569,0.7774,0.7238,0.8329,0.7941,0.8484,0.9314,0.9337,1.0006,0.9326,0.7717,0.8510,0.8211,0.8815,0.8154,0.8363,0.8210,0.8381,0.7450,0.7972,0.7889,0.7192,1.0699,0.9100,0.8612,0.8693,1.0296,1.0148,1.0602,0.9818,0.7679,0.8662,0.8710,0.8558,0.8742,1.0435,0.8358,0.7995,0.9113,0.9425,0.9432,0.8827,0.8330,0.8914,0.9202,0.9701,0.7910,0.8685,0.8194,0.9401,0.7564,0.8014,0.9019,0.9754,0.7831,0.9249,0.8431,0.7989,0.8332,0.8290,0.8654,0.8267,0.8982,0.9711,0.9392,0.9831,0.7433,0.9375,0.9161,0.8739,0.8491,0.8429,0.8009,0.8437,0.8525,0.9817,0.8277,0.8486,0.8585,0.8465,0.9495,0.8348,0.9205,0.8054,0.8412,0.8582,0.8041,0.8388,0.8714,0.8397,0.8650,0.9217,0.9056,0.9644,0.8767,0.8005,0.7557,1.0477,0.7785,0.9144,0.8250,0.8348,0.8636,0.7938,0.8948,0.8525,0.8592,1.2034,0.7419,1.0579,0.8314,0.8198,0.8828,0.8314
jefferson_2,0.7090,0.0000,0.7144,0.8543,0.9470,1.0051,0.9976,0.8315,0.7878,0.8682,0.7536,0.7914,0.6955,0.7981,0.7461,0.8803,0.8667,0.8896,0.9933,0.9581,0.8110,0.8442,0.8514,0.8857,0.8034,0.7995,0.7835,0.8430,0.8078,0.8044,0.8615,0.8027,1.0217,0.9436,0.8270,0.8363,1.0006,1.0411,1.0445,1.0544,0.7520,0.8849,0.8918,0.7925,0.8389,1.0476,0.8339,0.8254,0.8859,0.9843,0.9357,0.8941,0.8506,0.9112,0.9175,0.9560,0.8596,0.9327,0.8592,1.0075,0.8095,0.7617,0.8608,0.9572,0.7515,0.9585,0.8827,0.8434,0.8029,0.7980,0.7382,0.7704,0.9774,1.0082,1.0298,1.0508,0.8364,0.9816,0.9802,0.9001,0.8941,0.8788,0.8717,0.8069,0.9355,1.0658,0.8557,0.8599,0.8950,0.9141,1.0189,0.9309,0.8765,0.7828,0.8432,0.8848,0.8516,0.8774,0.9092,0.8515,0.8987,0.9492,0.9547,1.0079,0.8025,0.7687,0.7795,1.0571,0.8055,0.8946,0.8117,0.8211,0.9255,0.8655,0.8943,0.7328,0.7550,1.1283,0.7477,1.1173,0.8213,0.8150,0.7740,0.8149
jefferson_3,0.7811,0.7144,0.0000,0.8666,1.0194,1.0958,1.0416,0.9210,0.8586,0.9653,0.8206,0.8452,0.8362,0.7985,0.8180,0.8848,0.8632,0.8724,0.9947,0.9767,0.8418,0.8233,0.8654,0.9338,0.7847,0.8016,0.8465,0.8868,0.8728,0.8542,0.8976,0.8662,1.0585,0.9268,0.8343,0.8570,0.9828,1.0168,0.9800,0.9797,0.8208,0.8135,0.8726,0.8448,0.8814,0.9530,0.8946,0.8389,0.8769,0.9190,0.9114,0.9292,0.8676,0.8782,0.9103,0.9305,0.9280,0.9707,0.8739,1.0054,0.8130,0.8403,0.8930,1.0159,0.8450,0.9881,0.8887,0.8762,0.7881,0.8086,0.7712,0.7757,0.9640,1.1276,1.0765,1.0445,0.8969,1.0902,1.0237,0.9895,0.9599,0.8609,0.9420,0.8284,1.0036,1.1159,0.9556,0.8842,0.9441,0.9877,1.1426,1.0090,0.9781,0.8930,0.9433,0.9112,0.8661,0.9736,0.9708,0.9143,0.9674,0.9858,1.0064,1.0499,0.8984,0.8578,0.8603,1.1243,0.8204,0.9730,0.9192,0.8469,0.9812,0.8957,0.9848,0.8090,0.7946,1.2124,0.7987,1.0792,0.9020,0.8502,0.8131,0.8978
jefferson_4,0.8743,0.8543,0.8666,0.0000,1.0075,1.1332,1.1697,0.9077,0.8655,0.9821,0.9511,0.9449,0.8331,0.8883,0.8812,0.9784,0.9760,1.0228,1.0105,1.0265,0.9382,1.0471,0.9069,1.0599,0.8710,0.9510,0.9662,0.7614,0.8472,0.8451,1.0054,0.8966,1.2166,1.0759,0.9347,0.8932,1.0730,1.1812,1.1136,1.1052,0.8375,1.0076,0.8760,0.8728,1.0401,1.1695,1.0135,0.9554,1.0709,1.0686,1.1586,1.0389,0.9455,1.0774,1.0652,1.1027,0.8759,0.9670,0.9890,1.0728,0.9053,0.9183,1.0488,1.0142,0.9044,1.0821,1.0338,1.0104,0.7194,0.8901,0.8700,0.8667,1.0897,1.1247,1.1465,1.1809,0.9021,1.1075,1.0616,0.9977,1.0211,1.0385,1.0033,0.9541,1.0793,1.1335,1.0015,0.8434,0.9645,1.0647,1.1251,0.9936,1.0453,1.0156,0.9880,1.0389,0.9868,1.0793,1.0175,1.0142,1.0245,1.1410,1.1029,1.1226,0.9749,0.9365,0.8754,1.1319,0.9296,1.0978,0.9708,1.0145,1.0359,0.9400,1.0805,0.9484,0.9564,1.1967,0.8780,1.3367,0.9563,0.8988,0.9810,0.9551
randolph_1,0.8820,0.9470,1.0194,1.0075,0.0000,0.8014,0.8011,0.7821,0.9188,0.8494,0.8147,1.0209,0.9181,0.9976,0.9682,0.9672,1.0767,1.1368,1.1844,1.1179,1.0139,1.0985,1.0308,1.0885,0.9842,0.9959,1.0357,0.9395,0.9061,0.9791,0.9368,0.9209,1.3252,1.0748,0.9354,1.0168,1.2510,1.2140,1.2210,1.1756,0.8938,1.0587,0.9936,0.9842,1.0822,1.2370,1.0564,0.9112,1.1103,1.1338,1.1548,1.0092,1.0988,1.0986,1.1558,1.1591,0.9737,1.0142,1.0206,1.0227,0.9517,0.9781,1.1402,1.1925,0.9643,1.1448,1.0981,0.9703,1.0170,1.0442,1.0924,0.9835,1.1308,1.2067,1.1310,1.2186,0.9604,1.0264,1.1037,0.8975,1.1161,1.0299,1.0537,1.0698,1.0954,1.1585,1.0455,1.0200,0.8757,0.9184,1.0140,0.8823,0.8421,0.9340,0.7983,1.1354,0.9908,1.1070,1.0567,1.0988,1.0509,1.1439,1.1228,1.0745,1.0535,1.0166,1.0092,1.2376,1.0235,1.0773,1.0198,0.9747,0.9414,1.0116,0.9547,0.9355,0.9694,1.3632,0.8801,1.1840,0.9584,0.9196,1.0107,0.9548
randolph_2,0.9296,1.0051,1.0958,1.1332,0.8014,0.0000,0.7611,0.8583,0.8923,0.8445,0.8303,1.0306,0.9709,1.0291,1.0205,0.9458,1.1033,1.1520,1.2052,1.1805,1.0440,1.0663,1.0636,1.0271,1.0346,1.0308,1.1129,0.9863,0.9222,1.0358,0.9812,0.9070,1.2425,1.0690,0.9778,1.0357,1.2447,1.1867,1.1787,1.1675,0.9661,1.1359,1.1405,1.0532,1.0944,1.1945,1.0575,0.9128,1.1140,1.1075,1.1060,1.0107,1.0789,1.0891,1.1378,1.1233,1.0289,1.0354,1.0759,1.0341,0.9831,1.0072,1.1059,1.1865,0.9499,1.1495,1.0959,1.0348,1.0924,1.0158,1.1446,0.9756,1.1918,1.1696,1.0740,1.1463,0.9346,1.0533,1.0577,0.9747,1.1548,1.0582,1.0453,1.0713,1.1248,1.1658,1.0545,1.0568,0.8920,0.9441,1.0354,0.9219,0.8991,0.9388,0.8705,1.1028,1.0397,1.1617,1.1174,1.0492,1.1186,1.1628,1.1376,1.1223,1.0718,1.1015,0.9650,1.2444,1.0765,1.0459,1.0575,0.9452,0.9196,1.0165,0.9629,0.9919,1.0292,1.3977,0.9462,1.2255,1.0520,0.9856,1.0597,1.0476
randolph_3,0.9380,0.9976,1.0416,1.1697,0.8011,0.7611,0.0000,0.8640,0.9162,0.8609,0.8420,0.9843,0.9952,1.0539,1.0147,0.9496,1.0960,1.1162,1.2353,1.1459,1.1011,1.0290,1.1151,1.0529,1.0279,1.0159,1.1253,1.0592,0.9483,1.0625,0.9713,0.9789,1.1890,0.9904,1.0059,1.0594,1.2454,1.1850,1.1774,1.2134,1.0139,1.1349,1.1200,1.0872,1.0780,1.1850,1.0511,0.9641,1.0691,1.1102,1.1346,0.9710,1.1165,1.1017,1.1276,1.1644,0.9537,1.0299,1.0066,1.0689,0.9829,1.0263,1.0919,1.1902,0.9483,1.1930,1.0811,1.0400,1.1262,1.0306,1.0916,1.0090,1.1252,1.1934,1.1417,1.1092,1.0164,1.0282,1.0960,0.9491,1.1575,1.0769,1.0587,1.0993,1.1019,1.2289,1.0471,1.0213,0.9359,0.9117,1.0424,0.9398,0.9201,0.9842,0.9426,1.1405,1.0615,1.1617,1.1045,1.0617,1.0273,1.0938,1.1003,1.0950,1.0390,1.0659,0.9381,1.1552,1.0178,0.9255,1.0288,0.9152,0.9540,0.9911,0.9818,0.9916,1.0293,1.3776,0.9713,1.1954,1.0813,0.9949,1.0670,1.0765
randolph_4,0.8307,0.8315,0.9210,0.9077,0.7821,0.8583,0.8640,0.0000,0.9098,0.8192,0.8093,0.8309,0.8108,0.8904,0.9142,0.9056,0.9679,0.9485,1.1085,1.0332,0.9185,0.9500,0.9371,0.9483,0.8760,0.8107,0.9962,0.8754,0.7292,0.8094,0.8370,0.8193,1.1067,0.9520,0.9271,0.9407,1.1401,1.0171,1.0289,1.0281,0.7742,0.9901,0.9549,0.9058,0.9536,1.0805,0.9631,0.8255,1.0139,1.0084,1.0530,0.8818,0.9552,0.9375,0.9809,0.9632,0.7916,0.9031,0.8209,0.8653,0.8669,0.8402,0.9875,1.0911,0.8764,1.0652,0.9781,0.9336,0.9283,0.9595,0.9674,0.9482,0.9628,1.0288,1.0078,1.0630,0.8337,0.9015,0.8766,0.8539,0.9869,0.9763,0.9134,0.9517,0.9402,0.9534,0.8589,0.8740,0.7707,0.8135,0.8792,0.8560,0.8580,0.9287,0.8455,0.9659,0.8841,0.9443,0.8881,0.9233,0.9233,1.0153,1.0288,1.0446,0.9452,0.9689,0.8744,1.1827,0.8747,0.8988,0.8987,0.8424,0.8371,0.8589,0.9728,0.8756,0.8868,1.2620,0.8465,1.1572,0.9141,0.8910,0.9117,0.9150
jackson_1,0.8204,0.7878,0.8586,0.8655,0.9188,0.8923,0.9162,0.9098,0.0000,0.7882,0.6842,0.8676,0.7855,0.8238,0.8727,0.8769,0.9423,1.0184,1.0554,0.9676,0.8952,0.9315,0.8889,0.9011,0.8808,0.9230,0.9495,0.8415,0.8734,0.8958,0.9863,0.8558,1.1577,0.9546,0.8374,0.8499,0.9999,1.0803,1.1017,1.0893,0.8370,0.9885,0.9263,0.8565,1.0058,1.1109,0.9361,0.8786,0.9532,0.9876,1.0010,0.9599,0.9646,1.0245,1.0362,1.1003,0.9257,0.9532,0.9562,1.0674,0.8738,0.8525,1.0243,0.9587,0.8428,1.0092,0.9340,0.8508,0.8217,0.8270,0.8845,0.7800,1.0352,1.1205,1.1090,1.1147,0.8723,1.0564,1.0245,0.9424,1.0360,0.9753,0.9331,0.9651,1.0660,1.1437,0.9794,0.9092,0.9785,0.9955,1.0432,0.9539,0.9366,0.8504,0.8658,1.0356,0.9334,0.9915,0.9296,0.9434,0.9441,1.0272,0.9599,1.0586,0.9043,0.8852,0.8291,0.9730,0.9312,0.9868,0.8393,0.9002,0.9819,0.9408,0.9703,0.8338,0.8791,1.1899,0.8260,1.1217,0.9165,0.8638,0.9072,0.9143
jackson_2,0.8645,0.8682,0.9653,0.9821,0.8494,0.8445,0.8609,0.8192,0.7882,0.0000,0.7564,0.9055,0.8774,0.9687,0.9364,0.9918,1.0296,1.0894,1.1583,1.0343,0.9423,1.0518,0.9596,0.9976,1.0137,0.9881,1.0537,0.9590,0.8964,1.0017,0.9941,0.9111,1.2090,1.0168,0.9398,1.0132,1.1713,1.1443,1.1022,1.1404,0.8998,1.0703,1.0462,0.9687,1.0167,1.2056,1.0500,0.9155,1.0824,1.0925,1.1196,0.9095,1.0127,1.0790,1.1135,1.1619,0.8978,1.0134,0.9925,0.9210,0.9681,0.9237,1.1116,1.0760,0.9164,1.0942,1.0602,0.9649,1.0205,0.9597,1.0099,0.9338,1.1554,1.1257,1.0545,1.1619,0.9561,1.0714,1.0618,0.8542,1.1349,1.0249,0.9793,1.0091,1.0653,1.0661,1.0031,0.9590,0.8593,0.8713,0.9939,0.8352,0.8409,0.8817,0.7962,1.0345,1.0054,1.0538,1.0698,1.0168,1.0388,1.1087,1.0668,1.0680,0.9889,0.9760,0.8869,1.1421,0.9890,1.0023,0.9671,0.8857,0.8797,0.9376,0.9435,0.8534,0.9006,1.2650,0.8524,1.1370,0.9314,0.9003,0.9351,0.9295
