key	group	n_segments	n_words
jac_rowley_alls_lost_by_lust	JAC	5	15859
jac_field_amends_for_ladies	JAC	6	17830
jac_field_woman_weathercock	JAC	5	16110
jac_brome_antipodes	JAC	48	21913
jac_brome_northern_lass	JAC	29	27353
jac_brome_sparagus_garden	JAC	46	25328
jac_davenant_cruel_brother	JAC	5	17437
jac_davenant_albovine	JAC	5	19168
jac_davenant_wits	JAC	5	21152
jac_tourneur_atheists_tragedy	JAC	5	20301
jac_middleton_revengers_tragedy	JAC	4	19810
jac_daborne_christian_turned_turk	JAC	5	18560
jac_anon_merry_devil	JAC	1	11417
jac_middleton_puritan	JAC	4	18573
ad_chances_1682	ADAPT	28	17839
ad_pilgrim_1700	ADAPT	6	17188
ad_valentinian_1685	ADAPT	14	22024
ad_prophetess_1690	ADAPT	5	16577
ad_bonduca_1696	ADAPT	6	13630
ad_philaster_1695	ADAPT	5	18511
ad_trick_for_trick_1678	ADAPT	6	13959
ad_commonwealth_women_1686	ADAPT	11	17963
ad_island_princess_1687	ADAPT	12	13397
ad_island_princess_1699	ADAPT	14	10616
ad_sham_lawyer_1697	ADAPT	5	26073
ad_unhappy_kindness_1697	ADAPT	5	16227
ad_humorous_lieutenant_1697	ADAPT	25	23713
ad_rule_a_wife_1697	ADAPT	5	18259
ad_loyal_subject_1700	ADAPT	28	25366
ad_night_walker_1661	ADAPT	5	19666
ad_island_princess_1669	ADAPT	5	18603
ad_macbeth_1674	ADAPT	9	16348
ad_tempest_1670	ADAPT	5	23098
ad_timon_1678	ADAPT	5	22835
ad_lear_1681	ADAPT	5	17494
ad_richard2_1681	ADAPT	17	15831
ad_caius_marius_1680	ADAPT	14	20421
ad_injured_princess_1682	ADAPT	13	17624
ad_titus_1687	ADAPT	7	16967
ad_troilus_1679	ADAPT	11	22594
ad_coriolanus_1682	ADAPT	10	17188
ad_misery_civil_war_1680	ADAPT	6	21627
ad_henry6_1681	ADAPT	7	22790
ad_sauny_scot_1698	ADAPT	5	19162
ad_measure_1700	ADAPT	8	13639
ad_henry4_1700	ADAPT	17	20592
ad_hamlet_1676	ADAPT	5	28693
ad_julius_caesar_1684	ADAPT	5	19278
ad_marina_1738	ADAPT	6	10747
ad_tempest_opera_1756	ADAPT	20	5059
ad_timon_1772	ADAPT	21	12870
r18_rowe_ambitious_stepmother	R18	10	17923
r18_rowe_tamerlane	R18	7	18999
r18_rowe_fair_penitent	R18	6	15429
r18_rowe_ulysses	R18	5	19258
r18_rowe_lady_jane_gray	R18	5	15698
r18_addison_cato	R18	8	15350
r18_addison_drummer	R18	5	17648
r18_hill_fatal_extravagance	R18	2	5834
r18_hill_athelwold	R18	7	15523
r18_thomson_sophonisba	R18	26	16377
r18_thomson_edward_eleonora	R18	29	12079
r18_congreve_mourning_bride	R18	7	16752
r18_congreve_love_for_love	R18	5	29378
r18_congreve_double_dealer	R18	5	22699
r18_centlivre_cruel_gift	R18	9	17974
r18_centlivre_perjured_husband	R18	14	13360
r18_centlivre_basset_table	R18	5	16208
r18_centlivre_busie_body	R18	15	19824
r18_centlivre_wonder	R18	10	20217
r18_centlivre_artifice	R18	13	26099
r18_dennis_liberty_asserted	R18	35	18670
r18_manley_lucius	R18	5	13549
r18_philips_briton	R18	44	13857
r18_savage_overbury	R18	5	11493
r18_tcibber_henry6_civil_wars	R18	5	18227
r18_lillo_london_merchant	R18	58	16455
r18_ccibber_non_juror	R18	5	26031
r18_dryden_all_for_love	R18	5	20557
src_shelton_quixote_1652	SRC	1	205956
df_double_falsehood	DF	14	14880
