# We Proceeded On (Lewis and Clark Trail Heritage Foundation quarterly) — index of items whose article text/title/author matched death-related search terms, built 2026-09-14 from the WPO search engine at https://lewisandclark.org/search-wpo/ (POST search1=<term>&type1=<Article Text|Article Titles|Authors>).
# Columns: status (OPEN = PDF online at https://lewisandclark.org<href>; PRINT = issue younger than one year, print only) | href | citation as given by the index | search terms that matched (t:=article text, ti:=title, a:=author)
status	href	citation	matched_terms
OPEN	/wpo/pdf/vol3no2.pdf#page=12	"Secretary Anderson Commended in Letters To Montana Magazine," May 1977, Vol.3 No. 2, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol3no3.pdf#page=3	"News Note," July 1977, Vol.3 No. 3, Page 3.	t:Chuinard
OPEN	/wpo/pdf/vol3no4.pdf#page=4	"Resolution Drafted At Annual Meeting Seeks Procedure For Liaison With Dept. Of Interior," October 1977, Vol.3 No. 4, Page 4.	t:Chuinard
OPEN	/wpo/pdf/vol3no4.pdf#page=6	"Western History Assoc. Meets in Oregon," October 1977, Vol.3 No. 4, Page 6.	t:Chuinard
OPEN	/wpo/pdf/vol3no4.pdf#page=13	"Oregon-Washington Groups Hold 5th Annual Symposium," October 1977, Vol.3 No. 4, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol3no4.pdf#page=15	"Listing of 9th Annual Meeting Registrants," October 1977, Vol.3 No. 4, Page 15.	t:Chuinard,t:Phelps
OPEN	/wpo/pdf/vol4no1.pdf#page=3	"Ft. Manuel, Place of Death of Sacagawea, Now National Historic Site," February 1978, Vol.4 No. 1, Page 3.	ti:death
OPEN	/wpo/pdf/vol4no1.pdf#page=4	"'Thomas Jefferson' Makes An Appearance At Washington State's Committee Meeting," February 1978, Vol.4 No. 1, Page 4.	t:Chuinard
OPEN	/wpo/pdf/vol4no1.pdf#page=4	"Program Highlights Announced For 10th Annual Meeting," February 1978, Vol.4 No. 1, Page 4.	t:Chuinard
OPEN	/wpo/pdf/vol4no1.pdf#page=6	Paul R. Cutright, "Well-Traveled Plants of Lewis and Clark," February 1978, Vol.4 No. 1, Page 6.	a:Cutright,t:suicide
OPEN	/wpo/pdf/vol4no2.pdf#page=8	Judith Adler, "Scannon Is Alive And Well, And Is Returning To Oregon," May 1978, Vol.4 No. 2, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol4no2.pdf#page=9	"Oregon Committee Meets," May 1978, Vol.4 No. 2, Page 9.	t:Chuinard
OPEN	/wpo/pdf/vol4no2.pdf#page=10	"Interior Secretary Andrus Creates New 'Heritage Conservation & Recreation Service'," May 1978, Vol.4 No. 2, Page 10.	t:Chuinard
OPEN	/wpo/pdf/vol4no2.pdf#page=11	"Oregon Foundation's March Meeting," May 1978, Vol.4 No. 2, Page 11.	t:Chuinard
OPEN	/wpo/pdf/vol4no3.pdf#page=3	"News Notes," July 1978, Vol.4 No. 3, Page 3.	t:Chuinard
OPEN	/wpo/pdf/vol4no3.pdf#page=6	Paul R. Cutright and Michael J. Brodhead, "Dr. Elliott Coues and Sergeant Charles Floyd," July 1978, Vol.4 No. 3, Page 6.	a:Cutright
OPEN	/wpo/pdf/vol4no3.pdf#page=11	"Oregon Committee Meets," July 1978, Vol.4 No. 3, Page 11.	t:Chuinard
OPEN	/wpo/pdf/vol4no3.pdf#page=12	"New Material Added To Chatters' Collection," July 1978, Vol.4 No. 3, Page 12.	t:Neelly
OPEN	/wpo/pdf/vol4no3.pdf#page=15	Robert E. Lange, "The Expedition's Brothers: Joseph and Reuben Field," July 1978, Vol.4 No. 3, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol4no4.pdf#page=4	"Listing of 10th Annual Meeting Registrants," October 1978, Vol.4 No. 4, Page 4.	t:Chuinard
OPEN	/wpo/pdf/vol4no4.pdf#page=6	Donald Jackson, "Zebulon Pike: The Poor Man's Lewis and Clark," October 1978, Vol.4 No. 4, Page 6.	a:Jackson,t:Wilkinson
OPEN	/wpo/pdf/vol4no4.pdf#page=16	"News Notes," October 1978, Vol.4 No. 4, Page 16.	t:Chuinard
OPEN	/wpo/pdf/vol5no1.pdf#page=1	"Congressional Action Provides For Addition of Expedition's Salt Cairn To National Park Service's Fort Clatsop National Memorial," February 1979, Vol.5 No. 1, Page 1.	t:Chuinard
OPEN	/wpo/pdf/vol5no1.pdf#page=2	"President Doumit's Message," February 1979, Vol.5 No. 1, Page 2.	t:Chuinard
OPEN	/wpo/pdf/vol5no1.pdf#page=4	"President Doumit's Appointment of Foundation Committees," February 1979, Vol.5 No. 1, Page 4.	t:Chuinard
OPEN	/wpo/pdf/vol5no1.pdf#page=6	Paul R. Cutright, "Dr. Elijah Harry Criswell (1888-1967)," February 1979, Vol.5 No. 1, Page 6.	a:Cutright
OPEN	/wpo/pdf/vol5no1.pdf#page=7	"Foundation Notes Death Of Mrs. John C. Higgins (Obituary)," February 1979, Vol.5 No. 1, Page 7.	t:Chuinard,ti:death
OPEN	/wpo/pdf/vol5no1.pdf#page=8	"Higgins Trust Extends Support For 1979," February 1979, Vol.5 No. 1, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol5no1.pdf#page=12	Robert E. Lange, "President Thomas Jefferson Seeks A Secretary: Meriwether Lewis Responds," February 1979, Vol.5 No. 1, Page 12.	t:Wilkinson
OPEN	/wpo/pdf/vol5no1.pdf#page=16	E.G. 'Frenchy' Chuinard, "Up-Dating Lewis & Clark Literature," February 1979, Vol.5 No. 1, Page 16.	a:Chuinard
OPEN	/wpo/pdf/vol5no2.pdf#page=3	Mitchell Doumit, "President Doumit's Message," May 1979, Vol.5 No. 2, Page 3.	t:Chuinard
OPEN	/wpo/pdf/vol5no2.pdf#page=4	"Walla Walla, Washington Hosts L. & C. Events," May 1979, Vol.5 No. 2, Page 4.	t:Chuinard
OPEN	/wpo/pdf/vol5no2.pdf#page=7	"OHS - NPS Salt Cairn Property Transfer To Be June 23rd Event," May 1979, Vol.5 No. 2, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol5no2.pdf#page=12	"Oregon Committee's Executive Order," May 1979, Vol.5 No. 2, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol5no3.pdf#page=1	"'Living History' at Fort Clatsop," July 1979, Vol.5 No. 3, Page 1.	t:Chuinard
OPEN	/wpo/pdf/vol5no3.pdf#page=7	"Principals at Salt Cairn Property Transfer Ceremony," July 1979, Vol.5 No. 3, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol5no4.pdf#page=3	Robert E. Lange, "WPO Editor Notes Our Five Volume Milestone," October 1979, Vol.5 No. 4, Page 3.	t:Chuinard
OPEN	/wpo/pdf/vol5no4.pdf#page=8	"Listing of 11th Annual Meeting Registrants," October 1979, Vol.5 No. 4, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol5no4.pdf#page=9	"President Saindon's Appointment of Foundation Committees," October 1979, Vol.5 No. 4, Page 9.	t:Chuinard
OPEN	/wpo/pdf/vol5no4.pdf#page=11	"Recent Meetings," October 1979, Vol.5 No. 4, Page 11.	t:Chuinard
OPEN	/wpo/pdf/vol5no4.pdf#page=18	Robert A. Saindon, "ONLY ONE MAN DIED: The Medical Aspects of the Lewis and Clark Expedition (Book Review)," October 1979, Vol.5 No. 4, Page 18.	t:Chuinard
OPEN	/wpo/pdf/vol6no1.pdf#page=2	Robert A. Saindon, "President Saindon's Message," February 1980, Vol.6 No. 1, Page 2.	t:Chuinard
OPEN	/wpo/pdf/vol6no1.pdf#page=13	"Oregon Committee Meets For Christmas Party At NPS Fort Clatsop," February 1980, Vol.6 No. 1, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol6no1.pdf#page=16	Jeanette D. Taranik, "The Patrick Gass Photographs and Portraits: a Sequel," February 1980, Vol.6 No. 1, Page 16.	t:Chuinard
OPEN	/wpo/pdf/vol6no2.pdf#page=1	"Foundation's August 20-22, 1980 Twelfth Annual Meeting Program Announced Activities Planned in Both Omaha, Nebraska and Sioux City, Iowa," May 1980, Vol.6 No. 2, Page 1.	t:Chuinard
OPEN	/wpo/pdf/vol6no2.pdf#page=2	"President Saindon's Message," May 1980, Vol.6 No. 2, Page 2.	t:Chuinard
OPEN	/wpo/pdf/vol6no2.pdf#page=6	E.G. 'Frenchy' Chuinard, "Clark's Nutcracker - A Story About My Friend and a Bird," May 1980, Vol.6 No. 2, Page 6.	a:Chuinard,t:Alexander Wilson
OPEN	/wpo/pdf/vol6no2.pdf#page=11	Stephen E. Ambrose, "Those Tremendous Mountains (Book Review)," May 1980, Vol.6 No. 2, Page 11.	t:Chuinard,t:Vardis
OPEN	/wpo/pdf/vol6no2.pdf#page=17	"Governor Proclaims 175th," May 1980, Vol.6 No. 2, Page 17.	t:Chuinard
OPEN	/wpo/pdf/vol6no2.pdf#page=22	"Lewis And Clark Nature Trail Dedicated in Oregon State Park," May 1980, Vol.6 No. 2, Page 22.	t:Chuinard
OPEN	/wpo/pdf/vol6no2.pdf#page=23	"Recent Meetings," May 1980, Vol.6 No. 2, Page 23.	t:Chuinard
OPEN	/wpo/pdf/vol6no3.pdf#page=8	Robert E. Lange, "Nicholas Biddle: a biographical sketch," August 1980, Vol.6 No. 3, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol6no3.pdf#page=9	Paul R. Cutright and Harold B. Billian, "Andalusia, Country Home of Nicholas Biddle," August 1980, Vol.6 No. 3, Page 9.	a:Cutright
OPEN	/wpo/pdf/vol6no3.pdf#page=10	"Oregon-Washington L. & C. Symposium," August 1980, Vol.6 No. 3, Page 10.	t:Chuinard
OPEN	/wpo/pdf/vol6no3.pdf#page=12	Wilbur P. Werner, "Disaster at Montana's Two Medicine River Fight Site," August 1980, Vol.6 No. 3, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol6no3.pdf#page=15	"Partners For Fifty Years," August 1980, Vol.6 No. 3, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol6no4.pdf#page=5	"News Notes," November 1980, Vol.6 No. 4, Page 5.	t:Chuinard
OPEN	/wpo/pdf/vol6no4.pdf#page=6	"12th Annual Meeting Visits the Floyd Monument," November 1980, Vol.6 No. 4, Page 6.	t:Chuinard
OPEN	/wpo/pdf/vol6no4.pdf#page=7	"12th Annual Meeting Exceeds Expectations," November 1980, Vol.6 No. 4, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol6no4.pdf#page=13	"Mt. Hood National Forest (Oregon) Features Lewis and Clark and a Variety of Other Interpretation," November 1980, Vol.6 No. 4, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol6no4.pdf#page=14	Gary E. Moulton, "The Journals of the Lewis and Clark Expedition: Beginning Again," November 1980, Vol.6 No. 4, Page 14.	t:Chuinard
OPEN	/wpo/pdf/vol7no1.pdf#page=15	E.G. 'Frenchy' Chuinard, "Updating Lewis & Clark In Recent Periodicals," February 1981, Vol.7 No. 1, Page 15.	a:Chuinard,t:Chuinard,t:suicide
OPEN	/wpo/pdf/vol7no2.pdf#page=9	"Oregon Committee Meets In Astoria," May 1981, Vol.7 No. 2, Page 9.	t:Chuinard
OPEN	/wpo/pdf/vol7no2.pdf#page=9	"News Note," May 1981, Vol.7 No. 2, Page 9.	t:Chuinard
OPEN	/wpo/pdf/vol7no2.pdf#page=14	"NPS To Administer L. & C. National Historic Trail. Charter and Appointments Announced For Advisory Council. HCRS Agency Abolished," May 1981, Vol.7 No. 2, Page 14.	t:Chuinard
OPEN	/wpo/pdf/vol7no2.pdf#page=15	"Anecdote - From The Journals And Literature About The Expedition," May 1981, Vol.7 No. 2, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol7no3.pdf#page=12	James P. Ronda, "Frazer's Razor: The Ethnohistory of a Common Object," August 1981, Vol.7 No. 3, Page 12.	t:Grinder
OPEN	/wpo/pdf/vol7no3.pdf#page=16	"Recent Meeting," August 1981, Vol.7 No. 3, Page 16.	t:Chuinard
OPEN	/wpo/pdf/vol7no4.pdf#page=5	"Attendees (Members & Guests) 13th Annual Meeting," November 1981, Vol.7 No. 4, Page 5.	t:Chuinard
OPEN	/wpo/pdf/vol7no4.pdf#page=6	"People Pictures Taken During The 13th Annual Meeting & 'Traveling Meeting Tour'," November 1981, Vol.7 No. 4, Page 6.	t:Chuinard
OPEN	/wpo/pdf/vol7no4.pdf#page=12	James P. Ronda, "The Names of the Nations: Lewis and Clark as Ethnographers," November 1981, Vol.7 No. 4, Page 12.	t:suicide
OPEN	/wpo/pdf/vol7no4.pdf#page=17	"Recent Meetings," November 1981, Vol.7 No. 4, Page 17.	t:Chuinard
OPEN	/wpo/pdf/vol8no1.pdf#page=5	E.G. 'Frenchy' Chuinard, "Sergeant Patrick Gass: Irishman? Scotsman?," February 1982, Vol.8 No. 1, Page 5.	a:Chuinard
OPEN	/wpo/pdf/vol8no1.pdf#page=10	"Resolution Designates Chuinard WPO Founder," February 1982, Vol.8 No. 1, Page 10.	t:Chuinard
OPEN	/wpo/pdf/vol8no1.pdf#page=12	"Recent Meetings," February 1982, Vol.8 No. 1, Page 12.	t:Chuinard
OPEN	/wpo/pdf/vol8no1.pdf#page=13	"Historical Interpretation by Federal Agencies: National Park Service, U. S. Forest Service, and the Bureau of Land Management," February 1982, Vol.8 No. 1, Page 13.	t:Grinder
OPEN	/wpo/pdf/vol8no1.pdf#page=14	"Lewis and Clark in Missouri (Book Review)," February 1982, Vol.8 No. 1, Page 14.	t:Chuinard
OPEN	/wpo/pdf/vol8no2.pdf#page=3	"The Academy of Natural Sciences of Philadelphia," May 1982, Vol.8 No. 2, Page 3.	t:Alexander Wilson
OPEN	/wpo/pdf/vol8no2.pdf#page=11	"Untitled (Edna MacGilvra's Death)," May 1982, Vol.8 No. 2, Page 11.	ti:death
OPEN	/wpo/pdf/vol8no2.pdf#page=14	E.G. 'Frenchy' Chuinard, "Where Did the Lewis and Clark Expedition Start?," May 1982, Vol.8 No. 2, Page 14.	a:Chuinard,t:Chuinard
OPEN	/wpo/pdf/vol8no2.pdf#page=17	"Recent Meetings," May 1982, Vol.8 No. 2, Page 17.	t:Chuinard
OPEN	/wpo/pdf/vol8no2.pdf#page=19	"Updating Lewis & Clark In Recent Periodicals," May 1982, Vol.8 No. 2, Page 19.	t:Grinder,t:Phelps,t:suicide
